ell,M,atom_count,max_abs_error
0,1,3,1.2212453270876722e-15
1,2,7,8.8817841970012523e-16
2,4,15,3.4922498226563903e-10
3,8,31,1.7337051794186209e-09
4,16,63,5.1872466322322452e-09
5,32,127,1.2063216203728189e-08
