q,variance,q_from_variance,abs_recovery_error,kappa_4,kappa_6
0.1,0.272727272727272727272727,0.1,5.27109897162e-82,-0.0874887488748874887488749,0.134969277826420683563541
0.25,0.2,0.25,5.27109897162e-82,-0.0423529411764705882352941,0.0452119309262166405023548
0.5,0.111111111111111111111111,0.5,1.05421979432e-81,-0.00888888888888888888888889,0.00403124212648022171831696
0.75,0.047619047619047619047619,0.75,1.05421979432e-81,-0.000761904761904761904761905,0.0000754286468572182857897144
0.93,0.0120898100172711571675302,0.93,0.0,-0.0000127063261482392986478413,8.46410204765351590918374e-8
