root,a,t_true,t_leading,t_corrected,relative_error_leading,relative_error_corrected
1,0.37,0.012,0.011999794435527609097,0.011999999994660090621,1.71303726992e-5,4.44992448277e-10
1,0.37,0.01372032882272327,0.013720021570886437628,0.013720328812289441738,2.23939120413e-5,7.60465029405e-10
1,0.37,0.01568728525030425,0.015686826010127012691,0.015687285229917328346,2.92746749938e-5,1.29958251722e-9
1,0.37,0.01793622599750257,0.017935539587028730368,0.017936225957668297442,3.82695040718e-5,2.22088395647e-9
1,0.37,0.02050757654370108,0.020506550593816429319,0.020507576465868973444,5.00278461703e-5,3.79528562971e-9
1,0.37,0.02344755779472881,0.023446024357281754391,0.023447557642654367888,6.53985997381e-5,6.48572620838e-9
1,0.37,0.02680901691945728,0.026806724981063434174,0.026809016622326377256,8.54913255764e-5,1.10832450006e-8
1,0.37,0.03065237729574213,0.030648951702146134841,0.030652376715202583775,0.000111756212673,1.89394622683e-8
1,0.37,0.03504672464131326,0.035041604717033705037,0.035046723507070956951,0.000146088524162,3.23637177128e-8
1,0.37,0.04007104885318802,0.040063396686108650763,0.040071046637202761179,0.000190964980912,5.53014039373e-8
1,0.37,0.04581566387809565,0.045804227290248536042,0.045815659548863358964,0.000249621786067,9.44924055353e-8
1,0.37,0.05238383113656977,0.052366738978825172322,0.052383822679251334281,0.000326286897574,1.61449024484e-7
1,0.37,0.05989361568231221,0.059868072079595363311,0.059893599161727274136,0.000426482896814,2.7583215252e-7
1,0.37,0.06848000846192823,0.068441836226123205308,0.068479976193324425703,0.000557421598834,4.71212030037e-7
1,0.37,0.07829735282337728,0.078240311818899861581,0.078297289802378621888,0.000728517662737,8.04893095176e-7
1,0.37,0.08952211889045968,0.089436888803583380621,0.089521995828028269144,0.000952056183797,1.37465950243e-6
1,0.37,0.1023560756736695,0.10222873868767143004,0.10235583541399670325,0.00124405889108,2.34729273446e-6
1,0.37,0.1170299179371909,0.11683969687491082668,0.11702944898840542545,0.00162540541456,4.00708463093e-6
1,0.37,0.133807413016215,0.13352330237473884405,0.13380649800780987852,0.00212328028075,6.83824897661e-6
1,0.37,0.1529901421250343,0.15256589545632884922,0.15298835754730565266,0.00277303271186,1.16646582835e-5
1,0.37,0.1749229213825531,0.17428960346198961257,0.17491944282981241201,0.00362055421644,1.98862030956e-5
1,0.37,0.2,0.19905494068815977248,0.19999322453940858847,0.0047252965592,3.38773029571e-5
-1,0.37,0.012,0.011994138579267048243,0.011999994439272382853,0.000488451727746,4.63393968096e-7
-1,0.37,0.01372032882272327,0.013711569232151266698,0.013720317961494472905,0.000638438822071,7.91615779726e-7
-1,0.37,0.01568728525030425,0.015674195132304319766,0.015687264038656340416,0.000834441255518,1.3521554285e-6
-1,0.37,0.01793622599750257,0.017916665690398645158,0.017936184578269733751,0.00109054753807,2.30925016478e-6
-1,0.37,0.02050757654370108,0.020478350390549324124,0.020507495682329206376,0.00142513929374,3.9429998813e-6
-1,0.37,0.02344755779472881,0.023403894102464663087,0.023447399973854020896,0.00186218507899,6.73080225108e-6
-1,0.37,0.02680901691945728,0.026743792888528139567,0.026808709000322532518,0.00243291393806,1.1485655579e-5
-1,0.37,0.03065237729574213,0.030554964870601061695,0.030651776797639704559,0.00317797292527,1.9590588248e-5
-1,0.37,0.03504672464131326,0.034901273856339778332,0.035045554255149045085,0.00415019624407,3.33950226788e-5
-1,0.37,0.04007104885318802,0.03985393836335418146,0.040068769503342116533,0.00541813843279,5.6882709865e-5
-1,0.37,0.04581566387809565,0.045491722083775758152,0.045811229269960416026,0.00707054677155,9.67924015471e-5
-1,0.37,0.05238383113656977,0.051900749434878705452,0.05237521465818899984,0.00922196202931,0.000164487365544
-1,0.37,0.05989361568231221,0.059173716616034718979,0.059876902333689608121,0.0120196294392,0.000279050587149
-1,0.37,0.06848000846192823,0.067408169497596617705,0.068447661374875887849,0.0156518521012,0.000472358105363
-1,0.37,0.07829735282337728,0.076703391582548351244,0.078234927552286354586,0.0203577922286,0.000797284567612
-1,0.37,0.08952211889045968,0.087155291147657156327,0.089402092996861743516,0.0264384687509,0.00134074008843
-1,0.37,0.1023560756736695,0.098848513345077465796,0.10212639994361326002,0.0342682376743,0.00224388956439
-1,0.37,0.1170299179371909,0.11184487462680951355,0.11659310475858440104,0.0443052802375,0.00373249153982
-1,0.37,0.133807413016215,0.12616721434145176311,0.13298311169827246688,0.0570984708735,0.00616035613694
-1,0.37,0.1529901421250343,0.14177804249190018772,0.15144991194706167626,0.0732864188333,0.0100675125637
-1,0.37,0.1749229213825531,0.15855317639808739684,0.17208038973943617991,0.0935826183046,0.0162501953469
-1,0.37,0.2,0.17625219614288836235,0.19483396741460006521,0.118739019286,0.025830162927
