n,r,H
1,0,1
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
2,0,1
2,1,1
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
3,0,1
3,1,5
3,2,1
3,3,0
3,4,0
3,5,0
3,6,0
3,7,0
4,0,1
4,1,21
4,2,19
4,3,1
4,4,0
4,5,0
4,6,0
4,7,0
5,0,1
5,1,85
5,2,268
5,3,69
5,4,1
5,5,0
5,6,0
5,7,0
6,0,1
6,1,341
6,2,3568
6,3,3072
6,4,251
6,5,1
6,6,0
6,7,0
7,0,1
7,1,1365
7,2,47698
7,3,122833
7,4,35176
7,5,923
7,6,1
7,7,0
8,0,1
8,1,5461
8,2,649712
8,3,4915726
8,4,4105312
8,5,414638
8,6,3431
8,7,1
9,0,1
9,1,21845
9,2,9023385
9,3,204051186
9,4,466029138
9,5,141905658
9,6,5054305
9,7,12869
10,0,1
10,1,87381
10,2,127419681
10,3,8849413857
10,4,54944041476
10,5,44926520946
10,6,5173301299
10,7,63500565
11,0,1
11,1,349525
11,2,1823918697
11,3,399736867216
11,4,6886218018445
11,5,14490345222595
11,6,4597293354187
11,7,199120954384
12,0,1
12,1,1398101
12,2,26398702645
12,3,18698541563923
12,4,920364154307990
12,5,4982468227997168
12,6,4010285755961480
12,7,506049256785694
13,0,1
13,1,5592405
13,2,385582981615
13,3,900653139548828
13,4,130498580283240363
13,5,1856518533812384105
13,6,3676767321406630276
13,7,1202006920452923845
14,0,1
14,1,22369621
14,2,5674890516295
14,3,44458651801451163
14,4,19482086451147555715
14,5,750167381136816327009
14,6,3665547947989584654784
14,7,2914016573189097126706
15,0,1
15,1,89478485
15,2,84060883775765
15,3,2240500172425946056
15,4,3039784702880850466554
15,5,326628155352701098746754
15,6,4021822732190264086334552
15,7,7596906228685505684303180
16,0,1
16,1,357913941
16,2,1252066289632643
16,3,114922424191743943701
16,4,492560752706827973431360
16,5,151933161224857150407326456
16,6,4852631414501698163578024490
16,7,21876447294535570056977647674
17,0,1
17,1,1431655765
17,2,18738613233957420
17,3,5985232324581998309113
17,4,82451674043232981553367317
17,5,74864085012461648054019799968
17,6,6393545160122433923648391405066
17,7,70225519217221480878345625958802
18,0,1
18,1,5726623061
18,2,281620474177057788
18,3,315879022416448194306768
18,4,14196926753609833253834234271
18,5,38785037369022058785365519932029
18,6,9114388437066579228503399501842978
18,7,250855343110702869924819825369460298
19,0,1
19,1,22906492245
19,2,4248088188086420832
19,3,16866530575466182807473867
19,4,2505622329637144665242959495248
19,5,20992964918131508942275130540199819
19,6,13930145671356061786730962864633935529
19,7,989781683433076730882190539304120504540
20,0,1
20,1,91625968981
20,2,64290523406324922880
20,3,909949468518210982067804594
20,4,451961612094661562834656717586793
20,5,11808849044045066009771374112535183393
20,6,22638303920003798978360657987699277151453
20,7,4272841677566969989116553824675090843736681
21,0,1
21,1,366503875925
21,2,975830464322173456704
21,3,49546225698236313520912253881
21,4,83119035964196977662173149325587752
21,5,6873086616422767314737193291099539915969
21,6,38842229790120078246405210918147449511185438
21,7,19989184279872219478636191543250681812626807281
22,0,1
22,1,1466015503701
22,2,14850742002311881225488
22,3,2720166754877070803387321887120
22,4,15553466287791946368734041428621806909
22,5,4123833283714993415337859729361560234554415
22,6,69938435706405578609332796065411149404585895564
22,7,100454544763661089844210313749389893042401097798982
23,0,1
23,1,5864062014805
23,2,226547336492483013279388
23,3,150460342868943700305640582398675
23,4,2956170701674213341620872987452152955772
23,5,2542716284234084926763611853479838789842041315
23,6,131480179783131904488860834122155979263635828313899
23,7,538157088270103403679075374534981499963385969019094800
24,0,1
24,1,23456248059221
24,2,3463477599521304894420136
24,3,8378936691714574760295136083583638
24,4,569853226703733695582309826962545291598303
24,5,1606884756047263687471327631041826485742360239927
24,6,256951374936750896640087725039600104305898803137399039
24,7,3053136943862657337641786622511826393993693602016914335619
25,0,1
25,1,93824992236885
25,2,53055002867950934581755010
25,3,469499413001337636773678811530432959
25,4,111268258092316019949149818997526982810928542
25,5,1038404855720296275769086729313695736620536294319263
25,6,520084390018303988697882097224726345366893551501011852666
25,7,18239919743638392078090279634282946524973934716654790036543255
26,0,1
26,1,375299968947541
26,2,814196129458535463283681310
26,3,26456521357207742126707061387576658514
26,4,21982170697245757696623851205842107565331696742
26,5,684829434242673071028245754816447984397468676986481600
26,6,1086770655949851058477673660208001294368455650975675501195666
26,7,114189397911066845057839762700670701248551213409453062803542812486
27,0,1
27,1,1501199875790165
27,2,12515761528347361046998694850
27,3,1498587496065051334435366595042532586893
27,4,4389727924300248528445247637209361083501996880927
27,5,460130395880141228327157750078579370593978843204811824144
27,6,2337954220997326364282356108245929664851534437941375774471969567
27,7,745982505785800210868862067840803432894411252200835273399292730146221
28,0,1
28,1,6004799503160661
28,2,192688236724840975842818003334
28,3,85291702522613593127783758723448686998888
28,4,885319219417143304821186873567354459252785560198416
28,5,314487635289091211169497227565953949014330456657884902515620
28,6,5165514058521332022486164259639561581381657812142961484520488524429
28,7,5066913125782043646856984897546514082401297209522464460644546760101171531
29,0,1
29,1,24019198012642645
29,2,2970798117955713392918707254876
29,3,4875850342066900382194332952666368891039805
29,4,180188853474555832270608696654307598596665995683101739
29,5,218358150458550455676868890592022432784965529461303927435891182
29,6,11696171318271695407907496398055675416354836977794536197695092944343824
29,7,35668156840078653192896639377328978952449388854725996073181903391068852809940
30,0,1
30,1,96076792050570581
30,2,45863453850514034083843279513972
30,3,279881050776613993048411376882484174250086652
30,4,36985266729514528216896211540240435540099358073474658511
30,5,153837896064889224142447557994517688444556919030742203814492943925
30,6,27089904088916984596267553303862318601958573794688380664503765129692317212
30,7,259487943749366276220259346845710779043379523220952417111829062808859771161045240
31,0,1
31,1,384307168202282325
31,2,708918500049411660274524809057602
31,3,16126921349447406810820100239500202577063851049
31,4,7651398250506578039727833206572802681162083617857878537660
31,5,109856688164620195622426586973964277304857366785559376503281669612303
31,6,64073329136651207689003952102106186846825812756432636133183009761211198470781
31,7,1946124179719423249400736371989224967676983053413460541316033773015818113555972496364
32,0,1
32,1,1537228672809129301
32,2,10970490185056084630098708463002352
32,3,932550270570784096863444708624283359278506161846
32,4,1594518340484903248312139546914461273966954482307002680092160
32,5,79441673443990507089896914202695988735957373348385773682112724757767462
32,6,154526867031985448333293555979283496199207617319667893460567379549817015556442827
32,7,15013360996777762760034177501972212897868182462433949544443327031263861341102454102139997
33,0,1
33,1,6148914691236517205
33,2,169950961711323001987462092191799193
33,3,54104679354272106164050703866853027101684564787610
33,4,334567499943595957693468450286212513102570456557176103294570362
33,5,58124627137816235852326039144688575475120204035670197075726488574812780994
33,6,379494773199016789063180926816765758550378712924922648633316231201843032803158060141
33,7,118899199507614548046657910943654944959469698851800604201429776541426947063910350404337773633
34,0,1
34,1,24595658764946068821
34,2,2635480579545620444838374961705089785
34,3,3148819625588015687330026126139552048734532202418753
34,4,70650097187146576373664239318065205506453210568724162296359238500
34,5,42996127458713254256501310268504915314089188776844709227610151352883170098314
