depth_m,index_j,binary_digit_sum,thue_morse_sign
1,0,0,1
1,1,1,-1
2,0,0,1
2,1,1,-1
2,2,1,-1
2,3,2,1
3,0,0,1
3,1,1,-1
3,2,1,-1
3,3,2,1
3,4,1,-1
3,5,2,1
3,6,2,1
3,7,3,-1
4,0,0,1
4,1,1,-1
4,2,1,-1
4,3,2,1
4,4,1,-1
4,5,2,1
4,6,2,1
4,7,3,-1
4,8,1,-1
4,9,2,1
4,10,2,1
4,11,3,-1
4,12,2,1
4,13,3,-1
4,14,3,-1
4,15,4,1
5,0,0,1
5,1,1,-1
5,2,1,-1
5,3,2,1
5,4,1,-1
5,5,2,1
5,6,2,1
5,7,3,-1
5,8,1,-1
5,9,2,1
5,10,2,1
5,11,3,-1
5,12,2,1
5,13,3,-1
5,14,3,-1
5,15,4,1
5,16,1,-1
5,17,2,1
5,18,2,1
5,19,3,-1
5,20,2,1
5,21,3,-1
5,22,3,-1
5,23,4,1
5,24,2,1
5,25,3,-1
5,26,3,-1
5,27,4,1
5,28,3,-1
5,29,4,1
5,30,4,1
5,31,5,-1
6,0,0,1
6,1,1,-1
6,2,1,-1
6,3,2,1
6,4,1,-1
6,5,2,1
6,6,2,1
6,7,3,-1
6,8,1,-1
6,9,2,1
6,10,2,1
6,11,3,-1
6,12,2,1
6,13,3,-1
6,14,3,-1
6,15,4,1
6,16,1,-1
6,17,2,1
6,18,2,1
6,19,3,-1
6,20,2,1
6,21,3,-1
6,22,3,-1
6,23,4,1
6,24,2,1
6,25,3,-1
6,26,3,-1
6,27,4,1
6,28,3,-1
6,29,4,1
6,30,4,1
6,31,5,-1
6,32,1,-1
6,33,2,1
6,34,2,1
6,35,3,-1
6,36,2,1
6,37,3,-1
6,38,3,-1
6,39,4,1
6,40,2,1
6,41,3,-1
6,42,3,-1
6,43,4,1
6,44,3,-1
6,45,4,1
6,46,4,1
6,47,5,-1
6,48,2,1
6,49,3,-1
6,50,3,-1
6,51,4,1
6,52,3,-1
6,53,4,1
6,54,4,1
6,55,5,-1
6,56,3,-1
6,57,4,1
6,58,4,1
6,59,5,-1
6,60,4,1
6,61,5,-1
6,62,5,-1
6,63,6,1
7,0,0,1
7,1,1,-1
7,2,1,-1
7,3,2,1
7,4,1,-1
7,5,2,1
7,6,2,1
7,7,3,-1
7,8,1,-1
7,9,2,1
7,10,2,1
7,11,3,-1
7,12,2,1
7,13,3,-1
7,14,3,-1
7,15,4,1
7,16,1,-1
7,17,2,1
7,18,2,1
7,19,3,-1
7,20,2,1
7,21,3,-1
7,22,3,-1
7,23,4,1
7,24,2,1
7,25,3,-1
7,26,3,-1
7,27,4,1
7,28,3,-1
7,29,4,1
7,30,4,1
7,31,5,-1
7,32,1,-1
7,33,2,1
7,34,2,1
7,35,3,-1
7,36,2,1
7,37,3,-1
7,38,3,-1
7,39,4,1
7,40,2,1
7,41,3,-1
7,42,3,-1
7,43,4,1
7,44,3,-1
7,45,4,1
7,46,4,1
7,47,5,-1
7,48,2,1
7,49,3,-1
7,50,3,-1
7,51,4,1
7,52,3,-1
7,53,4,1
7,54,4,1
7,55,5,-1
7,56,3,-1
7,57,4,1
7,58,4,1
7,59,5,-1
7,60,4,1
7,61,5,-1
7,62,5,-1
7,63,6,1
7,64,1,-1
7,65,2,1
7,66,2,1
7,67,3,-1
7,68,2,1
7,69,3,-1
7,70,3,-1
7,71,4,1
7,72,2,1
7,73,3,-1
7,74,3,-1
7,75,4,1
7,76,3,-1
7,77,4,1
7,78,4,1
7,79,5,-1
7,80,2,1
7,81,3,-1
7,82,3,-1
7,83,4,1
7,84,3,-1
7,85,4,1
7,86,4,1
7,87,5,-1
7,88,3,-1
7,89,4,1
7,90,4,1
7,91,5,-1
7,92,4,1
7,93,5,-1
7,94,5,-1
7,95,6,1
7,96,2,1
7,97,3,-1
7,98,3,-1
7,99,4,1
7,100,3,-1
7,101,4,1
7,102,4,1
7,103,5,-1
7,104,3,-1
7,105,4,1
7,106,4,1
7,107,5,-1
7,108,4,1
7,109,5,-1
7,110,5,-1
7,111,6,1
7,112,3,-1
7,113,4,1
7,114,4,1
7,115,5,-1
7,116,4,1
7,117,5,-1
7,118,5,-1
7,119,6,1
7,120,4,1
7,121,5,-1
7,122,5,-1
7,123,6,1
7,124,5,-1
7,125,6,1
7,126,6,1
7,127,7,-1
8,0,0,1
8,1,1,-1
8,2,1,-1
8,3,2,1
8,4,1,-1
8,5,2,1
8,6,2,1
8,7,3,-1
8,8,1,-1
8,9,2,1
8,10,2,1
8,11,3,-1
8,12,2,1
8,13,3,-1
8,14,3,-1
8,15,4,1
8,16,1,-1
8,17,2,1
8,18,2,1
8,19,3,-1
8,20,2,1
8,21,3,-1
8,22,3,-1
8,23,4,1
8,24,2,1
8,25,3,-1
8,26,3,-1
8,27,4,1
8,28,3,-1
8,29,4,1
8,30,4,1
8,31,5,-1
8,32,1,-1
8,33,2,1
8,34,2,1
8,35,3,-1
8,36,2,1
8,37,3,-1
8,38,3,-1
8,39,4,1
8,40,2,1
8,41,3,-1
8,42,3,-1
8,43,4,1
8,44,3,-1
8,45,4,1
8,46,4,1
8,47,5,-1
8,48,2,1
8,49,3,-1
8,50,3,-1
8,51,4,1
8,52,3,-1
8,53,4,1
8,54,4,1
8,55,5,-1
8,56,3,-1
8,57,4,1
8,58,4,1
8,59,5,-1
8,60,4,1
8,61,5,-1
8,62,5,-1
8,63,6,1
8,64,1,-1
8,65,2,1
8,66,2,1
8,67,3,-1
8,68,2,1
8,69,3,-1
8,70,3,-1
8,71,4,1
8,72,2,1
8,73,3,-1
8,74,3,-1
8,75,4,1
8,76,3,-1
8,77,4,1
8,78,4,1
8,79,5,-1
8,80,2,1
8,81,3,-1
8,82,3,-1
8,83,4,1
8,84,3,-1
8,85,4,1
8,86,4,1
8,87,5,-1
8,88,3,-1
8,89,4,1
8,90,4,1
8,91,5,-1
8,92,4,1
8,93,5,-1
8,94,5,-1
8,95,6,1
8,96,2,1
8,97,3,-1
8,98,3,-1
8,99,4,1
8,100,3,-1
8,101,4,1
8,102,4,1
8,103,5,-1
8,104,3,-1
8,105,4,1
8,106,4,1
8,107,5,-1
8,108,4,1
8,109,5,-1
8,110,5,-1
8,111,6,1
8,112,3,-1
8,113,4,1
8,114,4,1
8,115,5,-1
8,116,4,1
8,117,5,-1
8,118,5,-1
8,119,6,1
8,120,4,1
8,121,5,-1
8,122,5,-1
8,123,6,1
8,124,5,-1
8,125,6,1
8,126,6,1
8,127,7,-1
8,128,1,-1
8,129,2,1
8,130,2,1
8,131,3,-1
8,132,2,1
8,133,3,-1
8,134,3,-1
8,135,4,1
8,136,2,1
8,137,3,-1
8,138,3,-1
8,139,4,1
8,140,3,-1
8,141,4,1
8,142,4,1
8,143,5,-1
8,144,2,1
8,145,3,-1
8,146,3,-1
8,147,4,1
8,148,3,-1
8,149,4,1
8,150,4,1
8,151,5,-1
8,152,3,-1
8,153,4,1
8,154,4,1
8,155,5,-1
8,156,4,1
8,157,5,-1
8,158,5,-1
8,159,6,1
8,160,2,1
8,161,3,-1
8,162,3,-1
8,163,4,1
8,164,3,-1
8,165,4,1
8,166,4,1
8,167,5,-1
8,168,3,-1
8,169,4,1
8,170,4,1
8,171,5,-1
8,172,4,1
