n,m_2n_exact,classical_kappa_2n_exact,free_r_2n_exact,boolean_b_2n_exact,free_decimal,boolean_decimal
1,1/9,1/9,1/9,1/9,0.111111111111111111111111,0.111111111111111111111111
2,19/675,-2/225,7/2025,32/2025,0.00345679012345679012345679,0.0158024691358024691358025
3,583/59535,16/3969,562/893025,4384/893025,0.000629321687522745723803925,0.00490915707846924778141709
4,132809/32531625,-16/3825,55603/379535625,6845728/3415820625,0.00014650271631286259359711,0.00200412397240560604671681
5,46840699/24405225075,256/33759,148564406/3294705385125,109557322976/115314688479375,0.0000450918636521315295217158,0.000950072574627778202355357
6,4068990560161/4133856862760625,-353792/16769025,3386539245383834/214857210441983484375,106674881656252384/214857210441983484375,0.0000157618133383439765444705,0.000496491979193116810331784
7,1204567303451311/2232691548877164375,4096/49149,11952801842398372/1971991976846507240625,2938228754452859115104/10560017036013046273546875,0.00000606128320132041545518114,0.000278240910448586998669152
8,4146897304424408411/13301767332333178846875,-7407616/16711425,1235614604226673348881677/494321940325082133954924609375,1705477420706976622322528/10370390356470254558494921875,0.00000249961513626947880629609,0.000164456434336910146143179
9,18814360006695807527868793/100028040755473167511640090625,2874867712/941355513,26265051192238604587143776199658/24128361378171196687658588309197734375,489331108460066843506272497704544/4825672275634239337531717661839546875,0.00000108855511489480840107218,0.000101401645306664330238287
10,21431473463327429953796293981397/182171989134769427819794434994453125,-22886612992/865074375,32812572783726144073114451993186243366/66262943298398687674851820618925513701171875,20784967748122827366284772784756162209056/321120417523009024885820361460946720244140625,0.000000495187372464921788584364,0.0000647263973697142321336061
11,911368783375270623395381542054690099/12012265189685856975048179723754213046875,81456529408/289406907,244224519056829455129475476743048134515116076/1046015643747596850154793841198657740925942251953125,51387062845787036349120626719666980044627125194976/1208148068528474361928786886584449690769463301005859375,0.000000233480751953037456054194,0.0000425337458084724116552136
12,3805483535214088799368825731508632105336401423/75749878923357625026812035792140968086378130859375,-247845713084416/68702695425,2250003173849332042844425471921672519258403433767168978/19833459684686691046001113741635714610793278628368136865234375,264251203571469902301302547204694516348617726779284080884704/9222558753379311336390517889860607294018874562191183642333984375,0.000000113444815459329445744785,0.0000286526993904640087473466
13,145207789035057547250789646529728411435729158593693/4265864263161561698961986212637106045311431174856953125,11038250500096/201326589,42736730559612339164490424938082408527434240476028183068031108/755696498034167266798752356006965304018453446163947646961211669921875,69484797227522140304121428752254146667241928237026246964242450336/3523237752694400331166099693945187385148652973861137321790696533203125,5.65527704187932938778591e-8,0.0000197218587290578268847559
14,682360217626740313551227884784167957464306726227507465068183/28991257095996374877911696916274356449119004879010121926615234375,-113842810733461504/116769422925,18219971368635127609412881083240594167772197828708286160321393257410135788/632102604849887370319024560755960021154835292924472332818895573693858697509765625,2999322403999154878236694726551126210121049684336817751007714698411831661033696/216811193463511368019425424339294287256108505473094010156881181776993533245849609375,2.88243889976723516917018e-8,0.0000138337986894755563785517
15,273924248263297037680241037316572843974612267333895389712392992144541/16530638923375146098866370391397246561109111877865759668800557077645703125,462559456349604806656/23067195583509,53704340344409394458115459677958628519073498468236365814476132957826425497565113097736/3585108390191272256287387019956385245390638064108275774709943788180600604037788868013916015625,176885787966052187473499749003427364659352420865000705434622899408681325812032897620182688/17925541950956361281436935099781926226953190320541378873549718940903003020188944340069580078125,1.49798372878606794873637e-8,0.00000986780697900266267520511
16,407312457614567671036647985412452329595629605197217338360762517649335584298587/34354138810330772666360272938584285483716865052546518795723431222388259928623046875,-517363777287370047488/1095216660225,573832787546870390099854155921650632342336962585198454525239027838386236475490979359440680093/72453996258712653562936125408056592110734707248857320681441731044250363014302409807240922698974609375,8251710074470017966962154079742426508012987072232247878113319458137486865590215740014936729976408736/1154844246367620985139638902879014021653000498839536834341499751114306536084966109917613066898956298828125,7.91996048772625868981178e-9,0.0000071453012823369561737678
17,27166737026726099440121501725479033285640809351680949124512223147627646789263602470887/3156147650567411354905783924240925229036265338040714513008445177799615435340881618349609375,651240297116620292096/51539607549,1066058022705377855270270197457889929625029238359396031867418004883272405361509059273898142442561418366/250711734116837700785045597261882895912317912295406408318656822798645918616308671780792208212996735870361328125,87855608710421889387209256044912300095133593940350844482704532623133496753918619366351547071727159118804512/16752102234170519097909864907953084408686696867011246374019342250636795471180624887171115730595690987701416015625,4.25212655666355514474112e-9,0.00000524445275478418561532953
18,380337188713192654120918397736914091030597304398480133472495490652980913466142231474641996592197219/60065056990904203455176369519776852726500197414189150246909435364886772260376069437916325091519482421875,-226046461411447628512221986816/593485796497700925,1009430052217335877552460218853644795896115530987816543796153544475250378948594201659610225105466288195532229240441574726578/436103762002307074901402694797510511248176930736604960127671254664302034415474410725136578787425511253047388848578034656524658203125,1699439343247876314407925228361824737567635456941398633917984742567126104094223324483795862761363133094230213281317304875517344/436103762002307074901402694797510511248176930736604960127671254664302034415474410725136578787425511253047388848578034656524658203125,2.31465568557052666176012e-9,0.00000389686925754812898208796
19,3653949214210057934727987403811233325014538232445620975889312798092725011081466942147409969754382926743479659/775033265747322885843134854470588207143742708579408645077122573499394937921673499825902002137693502378158544921875,10597244663097715899498496/824633720829,5897123390460285769388888828382582230075899406809977851312402272271158079353652019503936517379443084370184028085124836020346115836/4622143408874585829421951063841122982029717877209016952910208002271450523235101541179944231921933196867528801892753766269134912872314453125,1769845633912783342167660217261228694320132663349303930765081697180971020710371689737646198113945189419693041141524279726012816232181344/604413223407541429341470424406989199356003696531508510959964258179378500773625336826059766327203382155089207447505389553899230077362060546875,1.2758417186142946003772e-9,0.00000292820468740707649683135
