n,numerator,denominator
71,-2616450058492896551404333736860193994578575715784418236500940346792485947507375101628233170980604660153855607117386690886776858648322869873587192622790380956962948369940499747965711454339320271897345851786178408218624,107326263379525568413893587568195620715369648508301534888953368411493075735139396866520826073245293866252449201696097366279710355067275047752577498446024022996425628662109375
72,9978281739341088765741535937611503294889277167466954433776190112646596224747458789888014903640205478279542739869880460242428568021619919704053985637432156448760142855388416841538187868707072795920605360618178625700643209216,36503146238535790291804311591550739103362971362123415081784436124360278116947453388032818287209185525389712015984079960307725290511910656750794668724143696277402341365814208984375
73,522465868029318311305313754556183158200647545834160643856011274178977713120626340977385442511527118475105878130691958045002445751640616801682813391285715571589118575418343104961600186686924204561303906061548057229008080449564573696,163250648218098110095667455450638919693928498229686011248284217690628388404346494202828951092696971828141258717804561841286819814612534755993890195281520783521168460138142108917236328125
74,-2729179325770816489032467188682619813401471857105508954227840330741128546001946535773257750128265522721001624310596654878578825196700265735691359825706191392920521820903193129535779316616335508094217723121132430521011371317735798603776,73952543642798443873337357319139430621349609698047763095472750613854659947168961873881514844991728238147990199165466514102929376019478244465232258462528914935089312442578375339508056640625
75,-98464163174408228009694047579006181688435718674521597985548932895611329887173621917878160431823031030465035081728075499695205911186853462403680868651294410807860289573999226755208995304262396570345794082812883897139087860277095591575552,221857630928395331620012071957418291864048829094143289286418251841563979841506885621644544534975184714443970597496399542308788128058434733395696775387586744805267937327735126018524169921875
76,1744760939988817133111794508947956020991951686305154083997383358985456991106689835411610418878238922564675745021056424535790556846086173301988723799232995646865680106022288816638155266905825841732984282592609058134637024258414829889691607629824,331764792002167736927907952344763526562039298783236404082463421712615567635090189224179143674879216346055941411643128393570850222757943008146257979430720280248073647140208468772470951080322265625
77,71010565343573381590056533748703347292926138814838346458929465007634572499545849885116592444358590459307145161102648667859244162115953628798374670885172159128514749973097776438471985850203972758799106213606215154986577723128169442263219506211979264,1093828519231147028651312518880685347075043568088330424259881901386493526492892353872118636696076776292946438834187394313603093184432938097858212558183084763977898814621267321542836725711822509765625
78,-2592139662209216761567602220507901363322302417506193848919527052855786420242075848195510586579573068784918219302506677047293064062903031832129793171602542688418683604215059328521278665014215884922632701629360413451594283561026069573750587221157609472,3281485557693441085953937556642056041225130704264991272779645704159480579478677061616355910088230328878839316502562182940809279553298814293574637674549254291933696443863801964628510177135467529296875
79,-47646599414816674676084229202670461760709544994207887326353600649329446210221085213982762362233214854270808346309283067811353318002075210100851367393139629305995804485196063538144544831416096767869755944227569287701084748311983683721196731898456440832,4763446777296930608642812582222339414681641344900793783067227635070213744404531218475355353353882735469282878794041878462465083222530536877769635334023111068936010966899067368009127676486968994140625
80,9018445512000282496858285219598527105007165501678442619394937431069111553847265971509052707679438044927963146718940249693067433444685149061689885086027194764468373345354257105963190994683959992357325899785338628216379715408369770422067512508729979154989056,72209089697044171096416395933908443187159001147351132957516103720029370151428288740867911801491508386978859159638880835612508196570340408530109902028456340694000990247222962231650366447865962982177734375
81,351201146621908939168118159010086456894501072385463797307183048645532019298773319997140554799850480096642822120447761017207173454583418917488989594734106570444718279452680667457192728233180996358053235613692854867369169847119474391935354034683528755284017152,216627269091132513289249187801725329561477003442053398872548311160088110454284866222603735404474525160936577478916642506837524589711021225590329706085369022082002970741668886694951099343597888946533203125
82,-261400950051942262641149819472677521008754698259804399374621859054569289187556408097695567477001959466573693952201831131118198577766150873351938187350359796657810921447883730975315232172978722894660157355621825221100616326470870880420373833452137553269411757252673536,12592223627045623577046953644362285862547555031506487047697896318976960730744659203342276798552382547680630867397643026874767719051131840087258120078426025334319261734831368421969632351971813477575778961181640625
83,-10429192027668579484779647412560501353106866706155550756794973874029875672540893437240425601092242452684662423167666091703799162004192219842429445838270264248803464620193005679497400454835659903552078758569595966910271190220123651539810475763155224473234097073169629184,37776670881136870731140860933086857587642665094519461143093688956930882192233977610026830395657147643041892602192929080624303157153395520261774360235278076002957785204494105265908897055915440432727336883544921875
84,410580284464716649052900269355533888524163940110348206001121827556732840113564545671843875518536622685867316398538686663200891500009780574767459859866117654129876377689744032585516634093593680048494451437903795562886199555560806670662338218617704784838028647345372004352,113330012643410612193422582799260572762927995283558383429281066870792646576701932830080491186971442929125677806578787241872909471460186560785323080705834228008873355613482315797726691167746321298182010650634765625
85,84745272210966486843938977166956557996631701870362828428257452205968925648374151392708328843490972438907688872356220534804762146765326387030808327750200269133857350378360474859929153210840910657090390967095639730888500281031103490492366043305241173631289258711542408833755250688,1717787766991168796207522489408598209293940981071031423199067696582018107258468993168997886714945014196714903157048276846028228658163274475514652136875208198450556956009018786060883560072542251713457517325878143310546875
86,-3417209017845952900845438207781790787117907812033205908909896942872984153894087814440935465155812132574502755571793761314565259894581159305905237583280690968910623684584802834698583807071360480048448015037243796445087430219219696751674668031213823555636297580873839200320930971648,5153363300973506388622567468225794627881822943213094269597203089746054321775406979506993660144835042590144709471144830538084685974489823426543956410625624595351670868027056358182650680217626755140372551977634429931640625
87,-259010151664105586724014175848459798370814263551058165702784149126821848180482827359058474363730396926747240959984073541932520503820741455177021111862874840875874052330701116433290490755298102502155571402422348887473444057420072832765970709458463153586271392056123049391969705297707008,28029142993994901247718144459680096981049234988136019732339187605128789456136438561538538517527757796647797074813556733296642607015250149616972578917392772174117737851199159532155437049703671921208486310206353664398193359375
88,1751104154328690382110933480103009244334042940858468780796952284997680696134561659567488566078404193453118485619834716264688050073696412824419975734125781464184110115208837577358042849369730855060392376460528369886568867042244167750065388943454501008621202967090133446427030666807642209386496,13772259555814364702572548870986114052123446857595573975583521525718056343219919769404768593279851432171878331695015168688971828169978237265047561513955525571613621081875963031922234771557147716845395790951442904770374298095703125
89,589273646160804636971212026743616018391996709215656164611664278207531947337747632793204430466109432556565925435637039351443780261842480349208416821839359306737613916700373211167876385021619098757046379458619310743371902664846658164862459068295159285421673521400092854144455560942230456477155328,325145084295965218847691045084585214361001375811930289945297921237604547581235497164643015050041709898666518874364923330352682725926007949344383734872950016755921575976462953318859716563283965662915213673331891186535358428955078125
90,-572398430776984041925790530092252269332688713904478484652970114540004843808442460947524499330348552104020359239763114143501838349675515565699154631648927748237831264463722021703147074767048256086936617264188372768667192942687024552759409624453451534202107954440841618351794373083430219192113037312,22435010816421600100490682110836379790909094931023190006225556565394713783105249304360368038452877983007989802331179709794335108088894548504762477706233551156158588742375943779001320442866593630741149743459900491870939731597900390625
