s,onset,residue,modulus,certified_example_prime
2,3,749,5000,5749
3,4,16249,50000,16249
4,5,331249,500000,331249
5,6,2281249,5000000,2281249
6,7,20781249,50000000,1420781249
7,8,275781249,500000000,
8,9,1925781249,5000000000,
9,10,1425781249,50000000000,
10,11,286425781249,500000000000,
11,12,3336425781249,5000000000000,
12,13,24836425781249,50000000000000,
