n,B,height,residue
2,4,1,3
2,4,2,11
2,4,3,59
2,4,4,59
2,4,5,827
2,4,6,2875
2,4,7,15163
2,4,8,31547
3,6,1,5
3,6,2,29
3,6,3,29
3,6,4,1109
3,6,5,3701
3,6,6,34805
3,6,7,128117
3,6,8,687989
4,8,1,7
4,8,2,55
4,8,3,119
4,8,4,3703
4,8,5,7799
4,8,6,138871
4,8,7,1711735
4,8,8,8003191
5,10,1,9
5,10,2,89
5,10,3,289
5,10,4,5289
5,10,5,45289
5,10,6,745289
5,10,7,2745289
5,10,8,92745289
6,12,1,11
6,12,2,131
6,12,3,563
6,12,4,16115
6,12,5,57587
6,12,6,1799411
6,12,7,25687283
6,12,8,419837171
7,14,1,13
7,14,2,181
7,14,3,965
7,14,4,25661
7,14,5,332989
7,14,6,4635581
7,14,7,49812797
7,14,8,155226301
8,16,1,15
8,16,2,239
8,16,3,1519
8,16,4,13807
8,16,5,669167
8,16,6,669167
8,16,7,67778031
8,16,8,3557438959
9,18,1,17
9,18,2,305
9,18,3,2249
9,18,4,43073
9,18,5,567953
9,18,6,8126225
9,18,7,552321809
9,18,8,1776761873
10,20,1,19
10,20,2,379
10,20,3,3179
10,20,4,43179
10,20,5,1963179
10,20,6,1963179
10,20,7,129963179
10,20,8,20609963179
