alpha,zero_count,number_of_ratios,maximum_gap,median_gap
1.5,10,45,0.11903523057093748,0.017816697131601944
1.5,20,190,0.06023619317490515,0.0042913237598264375
1.5,40,780,0.0303030682442853,0.0010495901149758513
1.5,80,3160,0.015198468376063317,0.0002618340430324273
