alpha,minimum_polynomial,argmin_x,argmin_q
0.002,-0.2848689848695347,0.11099723918655195,0.3331624816610537
0.002151797306226267,-0.2843678884253249,0.11097725914946951,0.3331324948867485
0.002315115823541309,-0.2838278865242039,0.11095576323488669,0.33310023001325995
0.0024908299963489968,-0.28324588859101496,0.11093261537679426,0.3330654821154457
0.002679880638205676,-0.2826185477425076,0.11090771687893301,0.333028102236032
0.002883279969149454,-0.28194223789873885,0.11088089362457093,0.33298782804266425
0.0031021170353559744,-0.28121302861364494,0.11085203876378168,0.3329444980229913
0.0033375635401387987,-0.2804266573654388,0.11082097361778866,0.33289784261510114
0.0035908801175148345,-0.2795784990137449,0.11078754319595821,0.33284762759550834
0.0038634230819249403,-0.27866353209275196,0.11075153960001817,0.3327935389998102
0.0041566516902492336,-0.277676301565724,0.11071279724902629,0.33273532612126755
0.00447213595499958,-0.27661087761643355,0.11067106800739805,0.33267261385241503
0.004811565050522864,-0.275460809995681,0.11062615093266538,0.3326050975746845
0.005176756357223774,-0.274219077376296,0.11057778359006187,0.3325323797618239
0.005569665192231909,-0.27287803109387365,0.11052571358782569,0.3324540774119423
0.005992395278613412,-0.27142933256538715,0.1104696306117884,0.33236971975766444
0.0064472100091816755,-0.2698638835777061,0.1104092389885035,0.33227885726976897
0.0069365445652160695,-0.2681717485250763,0.11034420073425855,0.332180975876492
0.007463018954975201,-0.26634206754279344,0.11027415613204603,0.3320755277524166
0.008029452041815602,-0.26436295933356924,0.11019869913038545,0.3319618940938635
0.008638876637025904,-0.2622214123092439,0.1101174218028919,0.33183945184816693
0.009294555738186687,-0.2599031624695147,0.11002985525542829,0.3317074844730343
0.01,-0.2573925562074546,0.10993550720921047,0.33156523824009426
0.010758986531131333,-0.25467239596485225,0.10983385569043942,0.33141191241480655
0.011575579117706543,-0.25172376635009464,0.10972430523854552,0.3312465927953758
0.012454149981744982,-0.24852583797405892,0.10960623473742222,0.3310683233675826
0.013399403191028387,-0.24505564584605466,0.10947895937610717,0.3308760483566424
0.014416399845747262,-0.24128783869120873,0.10934176496954684,0.33066866342238543
0.015510585176779862,-0.23719439499659423,0.10919382887951659,0.33044489537518446
0.016687817700693993,-0.23274430094840604,0.10903431070488113,0.33020343836017385
0.017954400587574172,-0.2279031846757107,0.10886225294299431,0.3299428025324909
0.019317115409624698,-0.22263290034909033,0.10867666564152374,0.32966144093831135
0.020783258451246168,-0.21689105467462344,0.108476418437318,0.3293575844539154
0.022360679774997894,-0.21063046715375755,0.10826033454976348,0.3290293825021764
0.024057825252614316,-0.20379855411804293,0.10802710836756658,0.328674775983139
0.025883781786118883,-0.19633662496398419,0.10777531283160814,0.328291505877944
0.027848325961159555,-0.18817907717159255,0.1075034276285125,0.3278771532579123
0.02996197639306707,-0.1792524745428139,0.10720976883473697,0.3274290286989487
0.032236050045908356,-0.16947449059777409,0.10689250830876562,0.3269441975456448
0.03468272282608036,-0.15875269615290133,0.10654966126613447,0.3264194560165409
0.037315094774876004,-0.14698316670992728,0.10617905608926882,0.3258512790971808
0.04014726020907801,-0.13404888132464432,0.10577832243885686,0.3252357951377075
0.04319438318512952,-0.11981788000709503,0.1053448775267461,0.32456875623933074
0.04647277869093342,-0.10414114131728791,0.10487589307045414,0.32384547714991196
0.05,-0.08685013553795695,0.10436826184665113,0.3230607711354802
0.050625,-0.08374030478142735,0.10427798082483473,0.3229210132909203
0.051250000000000004,-0.08061661340728143,0.10418760363834995,0.32278104597133633
0.051875000000000004,-0.07747905417283629,0.10409713885646109,0.32264088218398657
0.052500000000000005,-0.0743276198509184,0.10400656688160503,0.32250049128893593
0.053125000000000006,-0.07116230322971973,0.10391589742486466,0.3223598880519483
0.053750000000000006,-0.06798309711284212,0.10382512645582519,0.32221906594089866
0.05437500000000001,-0.06478999431931953,0.10373426913857482,0.32207804820970776
0.055,-0.06158298768356385,0.10364330791382696,0.3219368073299898
0.055625,-0.058362070055414605,0.1035522488122646,0.321795352378285
0.05625,-0.055127234300080374,0.10346109515545579,0.3216536882354309
0.056875,-0.05187847329814321,0.1033698498181867,0.3215118190956387
0.0575,-0.04861577994558175,0.10327849094473512,0.32136971068340453
0.058125,-0.045339147153693915,0.10318704307945813,0.3212274008851955
0.058750000000000004,-0.04204856784919997,0.10309549538793904,0.32108487256166246
0.059375000000000004,-0.038744034974128816,0.1030038537976645,0.3209421346561783
0.060000000000000005,-0.035425541485928136,0.10291211765382803,0.32079918586839967
0.060625000000000005,-0.03209308035729119,0.1028202767687221,0.3206560100305655
0.06125,-0.02874664457635312,0.10272834829681675,0.32051263359938986
0.061875,-0.025386227146513285,0.10263631858392672,0.32036903499546693
0.0625,-0.022011821086500127,0.102544188457538,0.32022521521194736
0.063125,-0.018623419430411126,0.1024519713431145,0.32008119492265474
0.06375,-0.015221015227639967,0.1023596568800649,0.31993695766520147
0.064375,-0.011804601542843685,0.1022672412802814,0.3197924972232485
0.065,-0.008374171456108748,0.1021747229534874,0.31964781080665544
0.065625,-0.00492971806268816,0.10208212906336749,0.31950294061771556
0.06625,-0.0014712344732048521,0.10198941682113587,0.31935781941442404
0.066875,0.0020012861864424636,0.10189662749577268,0.31921251149629565
0.0675,0.0054878507750428795,0.10180373204818294,0.3190669711019662
0.068125,0.00898846613612303,0.10171074391762014,0.31892121898302744
0.06875,0.01250313909795242,0.10161765708996312,0.31877524541589347
0.069375,0.016031876473495466,0.10152447623669152,0.3186290574268008
0.07,0.0195746850604257,0.10143119583368286,0.31848264604791715
0.07062500000000001,0.02313157164117996,0.1013378239445598,0.3183360236362825
0.07125000000000001,0.02670254298292729,0.1012443569358426,0.31818918419054193
0.07187500000000001,0.03028760583761425,0.10115079310719534,0.31804212473695265
0.07250000000000001,0.033886766941849444,0.10105714088928071,0.3178948582303286
0.073125,0.037500033017058065,0.10096338664652967,0.3177473629261613
0.07375000000000001,0.04112741076939308,0.10086954494632047,0.31759966143924095
0.074375,0.04476890688971924,0.10077559974566416,0.3174517282133839
0.07500000000000001,0.04842452805376407,0.10068154706934411,0.317303556660407
0.075625,0.052094280921918035,0.10058742359281363,0.31715520426569327
0.07625,0.05577817213941305,0.10049320070323572,0.31700662564564125
0.076875,0.05947620833616263,0.10039886947889265,0.3168578064035864
0.0775,0.06318839612693505,0.10030445702899621,0.31670878899865756
0.078125,0.06691474211120951,0.10020994552739065,0.3165595449949198
0.07875,0.07065525287331376,0.10011532801623439,0.31641006307675235
0.079375,0.07440993498224469,0.10002064048643347,0.3162603998075533
0.08,0.07817879499190905,0.09992584402940077,0.3161104933870446
0.080625,0.08196183944092894,0.09983094508219599,0.31596035365563824
0.08125,0.08575907485267731,0.09973597611205022,0.31581003168368516
0.081875,0.08957050773537745,0.09964089171504355,0.31565945529168543
0.0825,0.09339614458206036,0.09954572111641351,0.31550867042985287
0.083125,0.09723599187045373,0.09945045336144233,0.31535765943043514
0.08375,0.1010900560631951,0.09935509448714179,0.3152064315446971
0.084375,0.10495834360763467,0.09925963709807821,0.31505497472358407
0.085,0.10884086093595524,0.09916409021394998,0.31490330295814617
0.085625,0.1127376144651322,0.09906844770279798,0.3147514061966967
0.08625,0.11664861059696818,0.098972713078454,0.3145992896979489
0.08687500000000001,0.12057385571802737,0.09887688306811927,0.3144469479389477
0.0875,0.12451335619968784,0.09878096331961879,0.31429438957706324
0.08812500000000001,0.1284671183981665,0.09868494146233583,0.31414159460717045
0.08875,0.1324351486544444,0.09858883010223977,0.3139885827577808
0.08937500000000001,0.13641745329434496,0.09849261816650716,0.31383533607053743
0.09,0.14041403862848423,0.09839631910972758,0.31368187564749034
0.09062500000000001,0.1444249109522664,0.09829994214368058,0.3135282158653039
0.09125,0.14845007654596198,0.09820344683379424,0.31337429191590405
0.09187500000000001,0.15248954167461193,0.09810686899956304,0.31322016058926194
0.0925,0.15654331258805598,0.09801019618912146,0.3130658016921067
