theta,x,rate,center_series,lambert_rate,lambert_theta
0.0,0.0,0.0,0.0,,
0.012578616352201259,0.002096425002090792,1.3185028137258826e-05,1.3185028137118044e-05,,
0.025157232704402517,0.00419278366723522,5.273886091517957e-05,5.273886091502677e-05,,
0.03773584905660378,0.006289009671788758,0.00011865774385180133,0.00011865774385152742,,
0.050314465408805034,0.008385036718769417,0.000210935420873321,0.00021093542087308322,,
0.06289308176100629,0.010480798551149067,0.00032956313640898757,0.0003295631364087556,,
0.07547169811320756,0.012576228965137774,0.00047452963831935544,0.0004745296383194704,,
0.08805031446540881,0.014671261823441435,0.0006458211816607874,0.0006458211816605536,,
0.10062893081761007,0.016765831068505165,0.0008434215332766148,0.0008434215332768152,,
0.11320754716981132,0.018859870735678755,0.001067311977222063,0.0010673119772221717,,
0.12578616352201258,0.02095331496637021,0.0013174713210062524,0.0013174713210057953,,
0.13836477987421383,0.02304609802113933,0.001593875902657349,0.0015938759026577023,,
0.15094339622641512,0.02513815429271354,0.0018964995986061233,0.0018964995986065322,,
0.16352201257861637,0.02722941831896765,0.0022253138323703302,0.0022253138323702587,,
0.17610062893081763,0.02931982479580085,0.0025802875840460772,0.002580287584045782,,
0.18867924528301888,0.03140930858996669,0.0029613874005999033,0.0029613874005998005,,
0.20125786163522014,0.03349780475179446,0.003368577406944955,0.0033685774069454754,,
0.2138364779874214,0.03558524852782862,0.0038018193178019598,0.003801819317802089,,
0.22641509433962265,0.037671575373382254,0.004261072450330395,0.004261072450330752,,
0.2389937106918239,0.03975672096496719,0.004746293737531224,0.004746293737530936,,
0.25157232704402516,0.04184062121263645,0.005257437742397034,0.0052574377423972125,,
0.2641509433962264,0.043923212272200245,0.0057944566728195465,0.005794456672819694,,
0.27672955974842767,0.04600443055733058,0.006357300397222157,0.006357300397222612,,
0.2893081761006289,0.04808421275153291,0.00694591646092673,0.006945916460926567,,
0.30188679245283023,0.05016249581999362,0.0075602501032264865,0.007560250103226998,,
0.3144654088050315,0.052239217021291674,0.008200244275175723,0.008200244275175917,,
0.32704402515723274,0.05431431391896433,0.008865839658052876,0.008865839658053409,,
0.339622641509434,0.05638772439293348,0.009556974682520352,0.00955697468252005,,
0.35220125786163525,0.05845938665077599,0.010273585548434026,0.010273585548434052,,
0.3647798742138365,0.06052923923884173,0.011015606245322258,0.011015606245322558,,
0.37735849056603776,0.06259722105320896,0.011782968573492121,0.01178296857349187,,
0.389937106918239,0.06466327135047766,0.012575602165764907,0.012575602165764518,,
0.4025157232704403,0.06672732975838921,0.013393434509826115,0.013393434509826335,,
0.41509433962264153,0.06878933628627901,0.014236390971173242,0.014236390971173107,,
0.4276729559748428,0.07084923133534425,0.0151043948166371,0.015104394816636814,,
0.44025157232704404,0.07290695570873502,0.01599736723848053,0.015997367238480845,,
0.4528301886792453,0.07496245062146155,0.016915227379047403,0.016915227379047888,,
0.46540880503144655,0.07701565771010417,0.017857892355939844,0.017857892355940264,,
0.4779874213836478,0.0790665190423417,0.018825277287724543,0.01882527728772532,,
0.49056603773584906,0.08111497712627624,0.019817295320141568,0.019817295320141502,,
0.5031446540880503,0.08316097491956068,0.02083385765279318,0.02083385765279283,,
0.5157232704402516,0.08520445583832696,0.021874873566315983,0.02187487356631602,,
0.5283018867924528,0.0872453637659069,0.02294025045000097,0.022940250450000674,,
0.5408805031446541,0.08928364306134495,0.024029893829846712,0.024029893829846907,,
0.5534591194968553,0.0913192385677045,0.02514370739704517,0.025143707397045276,,
0.5660377358490566,0.09335209562015609,0.02628159303685745,0.02628159303685705,,
0.5786163522012578,0.09538216005385809,0.02744345085788419,0.027443450857884483,,
0.5911949685534591,0.09740937821161412,0.028629179221705735,0.028629179221706023,,
0.6037735849056605,0.09943369695131432,0.029838674772864157,0.029838674772864022,,
