vertices,isomorphism_classes,cumulative_classes
0,1,1
1,1,2
2,2,4
3,4,8
4,7,15
5,11,26
6,19,45
7,29,74
8,46,120
9,70,190
10,106,296
11,156,452
12,232,684
13,334,1018
14,482,1500
