n,g_n,"H_n (n by n, H_0=1)"
0,1,1
1,1,1
2,0,-1
3,-3,-2
4,-7,5
5,-9,17
6,-5,-3
7,8,-122
8,32,1201
9,71,-2980
10,129,-25016
11,187,-419821
12,153,-2272054
13,-185,48014247
14,-1135,-852898265
15,-2937,1501692583
16,-5409,485980238918
17,-7288,11293743280957
18,-4982,-233702709696721
19,9410,-20443084892445565
20,49570,783730537237558776
21,131355,
22,255131,
23,362627,
24,261103,
25,-473713,
26,-2552239,
27,-6794639,
28,-13299119,
29,-19239897,
30,-14559645,
31,24135725,
32,137702457,
33,375164627,
34,746500723,
35,1097202795,
36,860587887,
37,-1305507464,
38,-7799425862,
