p,I_p,minimum_level,correction
0,1/2,0,
1,13/36,2, + \frac{1}{12}h^{2}
2,5/18,2, + \frac{1}{6}h^{2}
3,1207/5400,4, + \frac{1}{4}h^{2} - \frac{1}{120}h^{4}
4,251/1350,4, + \frac{1}{3}h^{2} - \frac{1}{30}h^{4}
5,22661/142884,6, + \frac{5}{12}h^{2} - \frac{1}{12}h^{4} + \frac{1}{252}h^{6}
6,16427/119070,6, + \frac{1}{2}h^{2} - \frac{1}{6}h^{4} + \frac{1}{42}h^{6}
7,63446897/520506000,8, + \frac{7}{12}h^{2} - \frac{7}{24}h^{4} + \frac{1}{12}h^{6} - \frac{1}{240}h^{8}
8,7096441/65063250,8, + \frac{2}{3}h^{2} - \frac{7}{15}h^{4} + \frac{2}{9}h^{6} - \frac{1}{30}h^{8}
