r,base,onset,speed,k_at_onset,aps
3,1307,5,2,11,5
5,245807,7,4,29,5
8,316295807,10,7,71,5
12,81666295807,14,11,155,5
16,12003581666295807,18,15,271,5
24,4362411847003581666295807,26,23,599,5
32,311423787862411847003581666295807,34,31,1055,5
