alpha,beta,m,r,n,base_exponent,predicted_bit,actual_valuation
-4,0,3,3,24,6,0,11
-4,0,3,4,48,9,0,14
-4,0,3,5,96,12,0,17
-4,0,3,6,192,15,0,20
-4,0,3,7,384,18,0,23
-4,0,5,2,20,3,0,10
-4,0,5,3,40,6,0,13
-4,0,5,4,80,9,0,16
-4,0,5,5,160,12,0,19
-4,0,5,6,320,15,0,22
-4,0,5,7,640,18,0,25
-4,0,7,2,28,3,0,9
-4,0,7,3,56,6,0,12
-4,0,7,4,112,9,0,15
-4,0,7,5,224,12,0,18
-4,0,7,6,448,15,0,21
-4,0,7,7,896,18,0,24
-4,0,9,2,36,3,0,10
-4,0,9,3,72,6,0,13
-4,0,9,4,144,9,0,16
-4,0,9,5,288,12,0,19
-4,0,9,6,576,15,0,22
-4,0,9,7,1152,18,0,25
-4,0,11,2,44,3,0,8
-4,0,11,3,88,6,0,11
-4,0,11,4,176,9,0,14
-4,0,11,5,352,12,0,17
-4,0,11,6,704,15,0,20
-4,0,11,7,1408,18,0,23
-4,0,13,2,52,3,0,10
-4,0,13,3,104,6,0,13
-4,0,13,4,208,9,0,16
-4,0,13,5,416,12,0,19
-4,0,13,6,832,15,0,22
-4,0,13,7,1664,18,0,25
-4,0,15,2,60,3,0,10
-4,0,15,3,120,6,0,13
-4,0,15,4,240,9,0,16
-4,0,15,5,480,12,0,19
-4,0,15,6,960,15,0,22
-4,0,15,7,1920,18,0,25
-4,1,1,2,4,3,0,6
-4,1,1,3,8,6,0,8
-4,1,1,4,16,9,0,11
-4,1,1,5,32,12,0,14
-4,1,1,6,64,15,0,17
-4,1,1,7,128,18,0,20
-4,1,3,2,12,3,0,5
-4,1,3,3,24,6,0,9
-4,1,3,4,48,9,0,13
-4,1,3,5,96,12,0,16
-4,1,3,6,192,15,0,19
-4,1,3,7,384,18,0,22
-4,1,5,2,20,3,0,8
-4,1,5,3,40,6,0,8
-4,1,5,4,80,9,0,11
-4,1,5,5,160,12,0,14
-4,1,5,6,320,15,0,17
-4,1,5,7,640,18,0,20
-4,1,7,2,28,3,0,7
-4,1,7,3,56,6,0,12
-4,1,7,4,112,9,0,14
-4,1,7,5,224,12,0,17
-4,1,7,6,448,15,0,20
-4,1,7,7,896,18,0,23
-4,1,9,2,36,3,0,6
-4,1,9,3,72,6,0,8
-4,1,9,4,144,9,0,11
-4,1,9,5,288,12,0,14
-4,1,9,6,576,15,0,17
-4,1,9,7,1152,18,0,20
-4,1,11,2,44,3,0,5
-4,1,11,3,88,6,0,9
-4,1,11,4,176,9,0,15
-4,1,11,5,352,12,0,18
-4,1,11,6,704,15,0,21
-4,1,11,7,1408,18,0,24
-4,1,13,2,52,3,0,9
-4,1,13,3,104,6,0,10
-4,1,13,4,208,9,0,13
-4,1,13,5,416,12,0,16
-4,1,13,6,832,15,0,19
-4,1,13,7,1664,18,0,22
-4,1,15,2,60,3,0,8
-4,1,15,3,120,6,0,14
-4,1,15,4,240,9,0,15
-4,1,15,5,480,12,0,18
-4,1,15,6,960,15,0,21
-4,1,15,7,1920,18,0,24
-4,2,1,2,4,3,0,9
-4,2,1,3,8,6,0,12
-4,2,1,4,16,9,0,15
-4,2,1,5,32,12,0,18
-4,2,1,6,64,15,0,21
-4,2,1,7,128,18,0,24
-4,2,3,2,12,3,0,10
-4,2,3,3,24,6,0,13
-4,2,3,4,48,9,0,16
-4,2,3,5,96,12,0,19
-4,2,3,6,192,15,0,22
-4,2,3,7,384,18,0,25
-4,2,5,2,20,3,0,10
-4,2,5,3,40,6,0,13
-4,2,5,4,80,9,0,16
-4,2,5,5,160,12,0,19
-4,2,5,6,320,15,0,22
-4,2,5,7,640,18,0,25
-4,2,7,2,28,3,0,11
-4,2,7,3,56,6,0,14
-4,2,7,4,112,9,0,17
-4,2,7,5,224,12,0,20
-4,2,7,6,448,15,0,23
-4,2,7,7,896,18,0,26
-4,2,9,2,36,3,0,10
-4,2,9,3,72,6,0,13
-4,2,9,4,144,9,0,16
-4,2,9,5,288,12,0,19
-4,2,9,6,576,15,0,22
-4,2,9,7,1152,18,0,25
-4,2,11,2,44,3,0,11
-4,2,11,3,88,6,0,14
-4,2,11,4,176,9,0,17
-4,2,11,5,352,12,0,20
-4,2,11,6,704,15,0,23
-4,2,11,7,1408,18,0,26
-4,2,13,2,52,3,0,11
-4,2,13,3,104,6,0,14
-4,2,13,4,208,9,0,17
-4,2,13,5,416,12,0,20
-4,2,13,6,832,15,0,23
-4,2,13,7,1664,18,0,26
-4,2,15,2,60,3,0,12
-4,2,15,3,120,6,0,15
-4,2,15,4,240,9,0,18
-4,2,15,5,480,12,0,21
-4,2,15,6,960,15,0,24
-4,2,15,7,1920,18,0,27
-4,3,1,2,4,3,0,5
-4,3,1,3,8,6,0,9
-4,3,1,4,16,9,0,18
-4,3,1,5,32,12,0,28
-4,3,1,6,64,15,0,47
-4,3,1,7,128,18,0,82
-4,3,3,2,12,3,0,8
-4,3,3,3,24,6,0,16
-4,3,3,4,48,9,0,32
-4,3,3,5,96,12,0,60
-4,3,3,6,192,15,0,111
-4,3,3,7,384,18,0,210
-4,3,5,2,20,3,0,15
-4,3,5,3,40,6,0,27
-4,3,5,4,80,9,0,55
-4,3,5,5,160,12,0,94
-4,3,5,6,320,15,0,177
-4,3,5,7,640,18,0,340
-4,3,7,2,28,3,0,16
-4,3,7,3,56,6,0,32
-4,3,7,4,112,9,0,64
-4,3,7,5,224,12,0,125
-4,3,7,6,448,15,0,240
-4,3,7,7,896,18,0,467
-4,3,9,2,36,3,0,23
-4,3,9,3,72,6,0,43
-4,3,9,4,144,9,0,84
-4,3,9,5,288,12,0,158
-4,3,9,6,576,15,0,305
-4,3,9,7,1152,18,0,596
-4,3,11,2,44,3,0,24
-4,3,11,3,88,6,0,48
-4,3,11,4,176,9,0,96
-4,3,11,5,352,12,0,188
-4,3,11,6,704,15,0,367
-4,3,11,7,1408,18,0,722
-4,3,13,2,52,3,0,31
-4,3,13,3,104,6,0,59
-4,3,13,4,208,9,0,117
-4,3,13,5,416,12,0,222
-4,3,13,6,832,15,0,433
-4,3,13,7,1664,18,0,852
-4,3,15,2,60,3,0,32
-4,3,15,3,120,6,0,64
-4,3,15,4,240,9,0,128
-4,3,15,5,480,12,0,254
-4,3,15,6,960,15,0,497
-4,3,15,7,1920,18,0,980
-4,4,1,2,4,3,0,7
-4,4,1,3,8,6,0,10
-4,4,1,4,16,9,0,13
-4,4,1,5,32,12,0,16
-4,4,1,6,64,15,0,19
-4,4,1,7,128,18,0,22
-4,4,3,2,12,3,0,7
-4,4,3,3,24,6,0,10
-4,4,3,4,48,9,0,13
-4,4,3,5,96,12,0,16
-4,4,3,6,192,15,0,19
-4,4,3,7,384,18,0,22
-4,4,5,2,20,3,0,7
-4,4,5,3,40,6,0,10
-4,4,5,4,80,9,0,13
-4,4,5,5,160,12,0,16
-4,4,5,6,320,15,0,19
-4,4,5,7,640,18,0,22
-4,4,7,2,28,3,0,7
-4,4,7,3,56,6,0,10
-4,4,7,4,112,9,0,13
-4,4,7,5,224,12,0,16
-4,4,7,6,448,15,0,19
-4,4,7,7,896,18,0,22
-4,4,9,2,36,3,0,7
-4,4,9,3,72,6,0,10
-4,4,9,4,144,9,0,13
-4,4,9,5,288,12,0,16
-4,4,9,6,576,15,0,19
-4,4,9,7,1152,18,0,22
-4,4,11,2,44,3,0,7
-4,4,11,3,88,6,0,10
-4,4,11,4,176,9,0,13
-4,4,11,5,352,12,0,16
-4,4,11,6,704,15,0,19
-4,4,11,7,1408,18,0,22
-4,4,13,2,52,3,0,7
-4,4,13,3,104,6,0,10
-4,4,13,4,208,9,0,13
-4,4,13,5,416,12,0,16
-4,4,13,6,832,15,0,19
-4,4,13,7,1664,18,0,22
-4,4,15,2,60,3,0,7
-4,4,15,3,120,6,0,10
-4,4,15,4,240,9,0,13
-4,4,15,5,480,12,0,16
-4,4,15,6,960,15,0,19
-4,4,15,7,1920,18,0,22
-4,5,1,2,4,3,0,7
-4,5,1,3,8,6,0,8
-4,5,1,4,16,9,0,11
-4,5,1,5,32,12,0,14
-4,5,1,6,64,15,0,17
-4,5,1,7,128,18,0,20
-4,5,3,2,12,3,0,5
-4,5,3,3,24,6,0,11
-4,5,3,4,48,9,0,12
-4,5,3,5,96,12,0,15
-4,5,3,6,192,15,0,18
-4,5,3,7,384,18,0,21
-4,5,5,2,20,3,0,7
-4,5,5,3,40,6,0,9
-4,5,5,4,80,9,0,12
-4,5,5,5,160,12,0,15
-4,5,5,6,320,15,0,18
-4,5,5,7,640,18,0,21
-4,5,7,2,28,3,0,5
-4,5,7,3,56,6,0,9
-4,5,7,4,112,9,0,13
-4,5,7,5,224,12,0,16
-4,5,7,6,448,15,0,19
-4,5,7,7,896,18,0,22
-4,5,9,2,36,3,0,13
-4,5,9,3,72,6,0,9
-4,5,9,4,144,9,0,12
-4,5,9,5,288,12,0,15
-4,5,9,6,576,15,0,18
-4,5,9,7,1152,18,0,21
-4,5,11,2,44,3,0,6
-4,5,11,3,88,6,0,11
-4,5,11,4,176,9,0,13
-4,5,11,5,352,12,0,16
-4,5,11,6,704,15,0,19
-4,5,11,7,1408,18,0,22
-4,5,13,2,52,3,0,11
-4,5,13,3,104,6,0,10
-4,5,13,4,208,9,0,13
-4,5,13,5,416,12,0,16
-4,5,13,6,832,15,0,19
-4,5,13,7,1664,18,0,22
-4,5,15,2,60,3,0,5
-4,5,15,3,120,6,0,9
-4,5,15,4,240,9,0,14
-4,5,15,5,480,12,0,17
-4,5,15,6,960,15,0,20
-4,5,15,7,1920,18,0,23
-3,-5,1,2,4,3,1,3
-3,-5,1,3,8,6,1,6
-3,-5,1,4,16,9,1,9
-3,-5,1,5,32,12,1,12
-3,-5,1,6,64,15,1,15
-3,-5,1,7,128,18,1,18
-3,-5,3,2,12,3,1,3
-3,-5,3,3,24,6,1,6
-3,-5,3,4,48,9,1,9
-3,-5,3,5,96,12,1,12
-3,-5,3,6,192,15,1,15
-3,-5,3,7,384,18,1,18
-3,-5,5,2,20,3,1,3
-3,-5,5,3,40,6,1,6
-3,-5,5,4,80,9,1,9
-3,-5,5,5,160,12,1,12
-3,-5,5,6,320,15,1,15
-3,-5,5,7,640,18,1,18
-3,-5,7,2,28,3,1,3
-3,-5,7,3,56,6,1,6
-3,-5,7,4,112,9,1,9
-3,-5,7,5,224,12,1,12
-3,-5,7,6,448,15,1,15
-3,-5,7,7,896,18,1,18
-3,-5,9,2,36,3,0,6
-3,-5,9,3,72,6,0,9
-3,-5,9,4,144,9,0,12
-3,-5,9,5,288,12,0,15
-3,-5,9,6,576,15,0,18
-3,-5,9,7,1152,18,0,21
-3,-5,11,2,44,3,0,4
-3,-5,11,3,88,6,0,7
-3,-5,11,4,176,9,0,10
-3,-5,11,5,352,12,0,13
-3,-5,11,6,704,15,0,16
-3,-5,11,7,1408,18,0,19
-3,-5,13,2,52,3,0,5
-3,-5,13,3,104,6,0,8
-3,-5,13,4,208,9,0,11
-3,-5,13,5,416,12,0,14
-3,-5,13,6,832,15,0,17
-3,-5,13,7,1664,18,0,20
-3,-5,15,2,60,3,0,4
-3,-5,15,3,120,6,0,7
-3,-5,15,4,240,9,0,10
-3,-5,15,5,480,12,0,13
-3,-5,15,6,960,15,0,16
-3,-5,15,7,1920,18,0,19
-3,-4,1,2,4,3,0,infinity
-3,-4,1,3,8,6,0,8
-3,-4,1,4,16,9,0,11
-3,-4,1,5,32,12,0,14
-3,-4,1,6,64,15,0,17
-3,-4,1,7,128,18,0,20
-3,-4,3,2,12,3,0,5
-3,-4,3,3,24,6,0,10
-3,-4,3,4,48,9,0,12
-3,-4,3,5,96,12,0,15
-3,-4,3,6,192,15,0,18
-3,-4,3,7,384,18,0,21
-3,-4,5,2,20,3,0,8
-3,-4,5,3,40,6,0,11
-3,-4,5,4,80,9,0,14
-3,-4,5,5,160,12,0,17
-3,-4,5,6,320,15,0,20
-3,-4,5,7,640,18,0,23
-3,-4,7,2,28,3,0,5
-3,-4,7,3,56,6,0,9
-3,-4,7,4,112,9,0,14
-3,-4,7,5,224,12,0,17
-3,-4,7,6,448,15,0,20
-3,-4,7,7,896,18,0,23
-3,-4,9,2,36,3,0,7
-3,-4,9,3,72,6,0,8
-3,-4,9,4,144,9,0,11
-3,-4,9,5,288,12,0,14
-3,-4,9,6,576,15,0,17
-3,-4,9,7,1152,18,0,20
-3,-4,11,2,44,3,0,5
-3,-4,11,3,88,6,0,12
-3,-4,11,4,176,9,0,12
-3,-4,11,5,352,12,0,15
-3,-4,11,6,704,15,0,18
-3,-4,11,7,1408,18,0,21
-3,-4,13,2,52,3,0,8
-3,-4,13,3,104,6,0,10
-3,-4,13,4,208,9,0,13
-3,-4,13,5,416,12,0,16
-3,-4,13,6,832,15,0,19
-3,-4,13,7,1664,18,0,22
-3,-4,15,2,60,3,0,7
-3,-4,15,3,120,6,0,11
-3,-4,15,4,240,9,0,15
-3,-4,15,5,480,12,0,18
-3,-4,15,6,960,15,0,21
-3,-4,15,7,1920,18,0,24
-3,-3,1,2,4,3,1,3
-3,-3,1,3,8,6,1,6
-3,-3,1,4,16,9,1,9
-3,-3,1,5,32,12,1,12
-3,-3,1,6,64,15,1,15
-3,-3,1,7,128,18,1,18
-3,-3,3,2,12,3,0,6
-3,-3,3,3,24,6,0,9
-3,-3,3,4,48,9,0,12
-3,-3,3,5,96,12,0,15
-3,-3,3,6,192,15,0,18
-3,-3,3,7,384,18,0,21
-3,-3,5,2,20,3,1,3
-3,-3,5,3,40,6,1,6
-3,-3,5,4,80,9,1,9
-3,-3,5,5,160,12,1,12
-3,-3,5,6,320,15,1,15
-3,-3,5,7,640,18,1,18
-3,-3,7,2,28,3,0,5
-3,-3,7,3,56,6,0,8
-3,-3,7,4,112,9,0,11
-3,-3,7,5,224,12,0,14
-3,-3,7,6,448,15,0,17
-3,-3,7,7,896,18,0,20
-3,-3,9,2,36,3,0,4
-3,-3,9,3,72,6,0,7
-3,-3,9,4,144,9,0,10
-3,-3,9,5,288,12,0,13
-3,-3,9,6,576,15,0,16
-3,-3,9,7,1152,18,0,19
-3,-3,11,2,44,3,0,8
-3,-3,11,3,88,6,0,11
-3,-3,11,4,176,9,0,14
-3,-3,11,5,352,12,0,17
-3,-3,11,6,704,15,0,20
-3,-3,11,7,1408,18,0,23
-3,-3,13,2,52,3,1,3
-3,-3,13,3,104,6,1,6
-3,-3,13,4,208,9,1,9
-3,-3,13,5,416,12,1,12
-3,-3,13,6,832,15,1,15
-3,-3,13,7,1664,18,1,18
-3,-3,15,2,60,3,0,6
-3,-3,15,3,120,6,0,9
-3,-3,15,4,240,9,0,12
-3,-3,15,5,480,12,0,15
-3,-3,15,6,960,15,0,18
-3,-3,15,7,1920,18,0,21
-3,-2,1,2,4,3,0,4
-3,-2,1,3,8,6,0,8
-3,-2,1,4,16,9,0,14
-3,-2,1,5,32,12,0,17
-3,-2,1,6,64,15,0,20
-3,-2,1,7,128,18,0,23
-3,-2,3,2,12,3,0,5
-3,-2,3,3,24,6,0,9
-3,-2,3,4,48,9,0,14
-3,-2,3,5,96,12,0,17
-3,-2,3,6,192,15,0,20
-3,-2,3,7,384,18,0,23
-3,-2,5,2,20,3,0,4
-3,-2,5,3,40,6,0,8
-3,-2,5,4,80,9,0,15
-3,-2,5,5,160,12,0,18
-3,-2,5,6,320,15,0,21
-3,-2,5,7,640,18,0,24
-3,-2,7,2,28,3,0,12
-3,-2,7,3,56,6,0,12
-3,-2,7,4,112,9,0,17
-3,-2,7,5,224,12,0,20
-3,-2,7,6,448,15,0,23
-3,-2,7,7,896,18,0,26
-3,-2,9,2,36,3,0,4
-3,-2,9,3,72,6,0,8
-3,-2,9,4,144,9,0,14
-3,-2,9,5,288,12,0,17
-3,-2,9,6,576,15,0,20
-3,-2,9,7,1152,18,0,23
-3,-2,11,2,44,3,0,6
-3,-2,11,3,88,6,0,10
-3,-2,11,4,176,9,0,15
-3,-2,11,5,352,12,0,18
-3,-2,11,6,704,15,0,21
-3,-2,11,7,1408,18,0,24
-3,-2,13,2,52,3,0,4
-3,-2,13,3,104,6,0,8
-3,-2,13,4,208,9,0,17
-3,-2,13,5,416,12,0,21
-3,-2,13,6,832,15,0,24
-3,-2,13,7,1664,18,0,27
-3,-2,15,2,60,3,0,9
-3,-2,15,3,120,6,0,13
-3,-2,15,4,240,9,0,18
-3,-2,15,5,480,12,0,21
-3,-2,15,6,960,15,0,24
-3,-2,15,7,1920,18,0,27
-3,-1,1,2,4,3,1,3
-3,-1,1,3,8,6,1,6
-3,-1,1,4,16,9,1,9
-3,-1,1,5,32,12,1,12
-3,-1,1,6,64,15,1,15
-3,-1,1,7,128,18,1,18
-3,-1,3,2,12,3,1,3
-3,-1,3,3,24,6,1,6
-3,-1,3,4,48,9,1,9
-3,-1,3,5,96,12,1,12
-3,-1,3,6,192,15,1,15
-3,-1,3,7,384,18,1,18
-3,-1,5,2,20,3,0,5
-3,-1,5,3,40,6,0,8
-3,-1,5,4,80,9,0,11
-3,-1,5,5,160,12,0,14
-3,-1,5,6,320,15,0,17
-3,-1,5,7,640,18,0,20
-3,-1,7,2,28,3,0,4
-3,-1,7,3,56,6,0,7
-3,-1,7,4,112,9,0,10
-3,-1,7,5,224,12,0,13
-3,-1,7,6,448,15,0,16
-3,-1,7,7,896,18,0,19
-3,-1,9,2,36,3,0,5
-3,-1,9,3,72,6,0,8
-3,-1,9,4,144,9,0,11
-3,-1,9,5,288,12,0,14
-3,-1,9,6,576,15,0,17
-3,-1,9,7,1152,18,0,20
-3,-1,11,2,44,3,1,3
-3,-1,11,3,88,6,1,6
-3,-1,11,4,176,9,1,9
-3,-1,11,5,352,12,1,12
-3,-1,11,6,704,15,1,15
-3,-1,11,7,1408,18,1,18
-3,-1,13,2,52,3,0,5
-3,-1,13,3,104,6,0,8
-3,-1,13,4,208,9,0,11
-3,-1,13,5,416,12,0,14
-3,-1,13,6,832,15,0,17
-3,-1,13,7,1664,18,0,20
-3,-1,15,2,60,3,0,5
-3,-1,15,3,120,6,0,8
-3,-1,15,4,240,9,0,11
-3,-1,15,5,480,12,0,14
-3,-1,15,6,960,15,0,17
-3,-1,15,7,1920,18,0,20
-3,0,1,2,4,3,0,5
-3,0,1,3,8,6,0,8
-3,0,1,4,16,9,0,11
-3,0,1,5,32,12,0,14
-3,0,1,6,64,15,0,17
-3,0,1,7,128,18,0,20
-3,0,3,2,12,3,0,7
-3,0,3,3,24,6,0,10
-3,0,3,4,48,9,0,13
-3,0,3,5,96,12,0,16
-3,0,3,6,192,15,0,19
-3,0,3,7,384,18,0,22
-3,0,5,2,20,3,0,5
-3,0,5,3,40,6,0,8
-3,0,5,4,80,9,0,11
-3,0,5,5,160,12,0,14
-3,0,5,6,320,15,0,17
-3,0,5,7,640,18,0,20
-3,0,7,2,28,3,0,8
-3,0,7,3,56,6,0,11
-3,0,7,4,112,9,0,14
-3,0,7,5,224,12,0,17
-3,0,7,6,448,15,0,20
-3,0,7,7,896,18,0,23
-3,0,9,2,36,3,0,5
-3,0,9,3,72,6,0,8
-3,0,9,4,144,9,0,11
-3,0,9,5,288,12,0,14
-3,0,9,6,576,15,0,17
-3,0,9,7,1152,18,0,20
-3,0,11,2,44,3,0,9
-3,0,11,3,88,6,0,12
-3,0,11,4,176,9,0,15
-3,0,11,5,352,12,0,18
-3,0,11,6,704,15,0,21
-3,0,11,7,1408,18,0,24
-3,0,13,2,52,3,0,7
-3,0,13,3,104,6,0,10
-3,0,13,4,208,9,0,13
-3,0,13,5,416,12,0,16
-3,0,13,6,832,15,0,19
-3,0,13,7,1664,18,0,22
-3,0,15,2,60,3,0,9
-3,0,15,3,120,6,0,12
-3,0,15,4,240,9,0,15
-3,0,15,5,480,12,0,18
-3,0,15,6,960,15,0,21
-3,0,15,7,1920,18,0,24
-3,1,1,2,4,3,1,3
-3,1,1,3,8,6,1,6
-3,1,1,4,16,9,1,9
-3,1,1,5,32,12,1,12
-3,1,1,6,64,15,1,15
-3,1,1,7,128,18,1,18
-3,1,3,2,12,3,0,4
-3,1,3,3,24,6,0,7
-3,1,3,4,48,9,0,10
-3,1,3,5,96,12,0,13
-3,1,3,6,192,15,0,16
-3,1,3,7,384,18,0,19
-3,1,5,2,20,3,0,4
-3,1,5,3,40,6,0,7
-3,1,5,4,80,9,0,10
-3,1,5,5,160,12,0,13
-3,1,5,6,320,15,0,16
-3,1,5,7,640,18,0,19
-3,1,7,2,28,3,0,5
-3,1,7,3,56,6,0,8
-3,1,7,4,112,9,0,11
-3,1,7,5,224,12,0,14
-3,1,7,6,448,15,0,17
-3,1,7,7,896,18,0,20
-3,1,9,2,36,3,0,4
-3,1,9,3,72,6,0,7
-3,1,9,4,144,9,0,10
-3,1,9,5,288,12,0,13
-3,1,9,6,576,15,0,16
-3,1,9,7,1152,18,0,19
-3,1,11,2,44,3,0,5
-3,1,11,3,88,6,0,8
-3,1,11,4,176,9,0,11
-3,1,11,5,352,12,0,14
-3,1,11,6,704,15,0,17
-3,1,11,7,1408,18,0,20
-3,1,13,2,52,3,0,5
-3,1,13,3,104,6,0,8
-3,1,13,4,208,9,0,11
-3,1,13,5,416,12,0,14
-3,1,13,6,832,15,0,17
-3,1,13,7,1664,18,0,20
-3,1,15,2,60,3,0,6
-3,1,15,3,120,6,0,9
-3,1,15,4,240,9,0,12
-3,1,15,5,480,12,0,15
-3,1,15,6,960,15,0,18
-3,1,15,7,1920,18,0,21
-3,2,1,2,4,3,0,4
-3,2,1,3,8,6,0,8
-3,2,1,4,16,9,0,17
-3,2,1,5,32,12,0,27
-3,2,1,6,64,15,0,46
-3,2,1,7,128,18,0,81
-3,2,3,2,12,3,0,9
-3,2,3,3,24,6,0,17
-3,2,3,4,48,9,0,33
-3,2,3,5,96,12,0,61
-3,2,3,6,192,15,0,112
-3,2,3,7,384,18,0,211
-3,2,5,2,20,3,0,12
-3,2,5,3,40,6,0,24
-3,2,5,4,80,9,0,52
-3,2,5,5,160,12,0,91
-3,2,5,6,320,15,0,174
-3,2,5,7,640,18,0,337
-3,2,7,2,28,3,0,17
-3,2,7,3,56,6,0,33
-3,2,7,4,112,9,0,65
-3,2,7,5,224,12,0,126
-3,2,7,6,448,15,0,241
-3,2,7,7,896,18,0,468
-3,2,9,2,36,3,0,20
-3,2,9,3,72,6,0,40
-3,2,9,4,144,9,0,81
-3,2,9,5,288,12,0,155
-3,2,9,6,576,15,0,302
-3,2,9,7,1152,18,0,593
-3,2,11,2,44,3,0,27
-3,2,11,3,88,6,0,51
-3,2,11,4,176,9,0,99
-3,2,11,5,352,12,0,191
-3,2,11,6,704,15,0,370
-3,2,11,7,1408,18,0,725
-3,2,13,2,52,3,0,30
-3,2,13,3,104,6,0,58
-3,2,13,4,208,9,0,116
-3,2,13,5,416,12,0,221
-3,2,13,6,832,15,0,432
-3,2,13,7,1664,18,0,851
-3,2,15,2,60,3,0,33
-3,2,15,3,120,6,0,65
-3,2,15,4,240,9,0,129
-3,2,15,5,480,12,0,255
-3,2,15,6,960,15,0,498
-3,2,15,7,1920,18,0,981
-3,3,1,2,4,3,1,3
-3,3,1,3,8,6,1,6
-3,3,1,4,16,9,1,9
-3,3,1,5,32,12,1,12
-3,3,1,6,64,15,1,15
-3,3,1,7,128,18,1,18
-3,3,3,2,12,3,1,3
-3,3,3,3,24,6,1,6
-3,3,3,4,48,9,1,9
-3,3,3,5,96,12,1,12
-3,3,3,6,192,15,1,15
-3,3,3,7,384,18,1,18
-3,3,5,2,20,3,1,3
-3,3,5,3,40,6,1,6
-3,3,5,4,80,9,1,9
-3,3,5,5,160,12,1,12
-3,3,5,6,320,15,1,15
-3,3,5,7,640,18,1,18
-3,3,7,2,28,3,1,3
-3,3,7,3,56,6,1,6
-3,3,7,4,112,9,1,9
-3,3,7,5,224,12,1,12
-3,3,7,6,448,15,1,15
-3,3,7,7,896,18,1,18
-3,3,9,2,36,3,1,3
-3,3,9,3,72,6,1,6
-3,3,9,4,144,9,1,9
-3,3,9,5,288,12,1,12
-3,3,9,6,576,15,1,15
-3,3,9,7,1152,18,1,18
-3,3,11,2,44,3,1,3
-3,3,11,3,88,6,1,6
-3,3,11,4,176,9,1,9
-3,3,11,5,352,12,1,12
-3,3,11,6,704,15,1,15
-3,3,11,7,1408,18,1,18
-3,3,13,2,52,3,1,3
-3,3,13,3,104,6,1,6
-3,3,13,4,208,9,1,9
-3,3,13,5,416,12,1,12
-3,3,13,6,832,15,1,15
-3,3,13,7,1664,18,1,18
-3,3,15,2,60,3,1,3
-3,3,15,3,120,6,1,6
-3,3,15,4,240,9,1,9
-3,3,15,5,480,12,1,12
-3,3,15,6,960,15,1,15
-3,3,15,7,1920,18,1,18
-3,4,1,2,4,3,0,6
-3,4,1,3,8,6,0,8
-3,4,1,4,16,9,0,11
-3,4,1,5,32,12,0,14
-3,4,1,6,64,15,0,17
-3,4,1,7,128,18,0,20
-3,4,3,2,12,3,0,5
-3,4,3,3,24,6,0,10
-3,4,3,4,48,9,0,12
-3,4,3,5,96,12,0,15
-3,4,3,6,192,15,0,18
-3,4,3,7,384,18,0,21
-3,4,5,2,20,3,0,8
-3,4,5,3,40,6,0,9
-3,4,5,4,80,9,0,12
-3,4,5,5,160,12,0,15
-3,4,5,6,320,15,0,18
-3,4,5,7,640,18,0,21
-3,4,7,2,28,3,0,5
-3,4,7,3,56,6,0,9
-3,4,7,4,112,9,0,13
-3,4,7,5,224,12,0,16
-3,4,7,6,448,15,0,19
-3,4,7,7,896,18,0,22
-3,4,9,2,36,3,0,7
-3,4,9,3,72,6,0,9
-3,4,9,4,144,9,0,12
-3,4,9,5,288,12,0,15
-3,4,9,6,576,15,0,18
-3,4,9,7,1152,18,0,21
-3,4,11,2,44,3,0,6
-3,4,11,3,88,6,0,12
-3,4,11,4,176,9,0,13
-3,4,11,5,352,12,0,16
-3,4,11,6,704,15,0,19
-3,4,11,7,1408,18,0,22
-3,4,13,2,52,3,0,8
-3,4,13,3,104,6,0,10
-3,4,13,4,208,9,0,13
-3,4,13,5,416,12,0,16
-3,4,13,6,832,15,0,19
-3,4,13,7,1664,18,0,22
-3,4,15,2,60,3,0,5
-3,4,15,3,120,6,0,9
-3,4,15,4,240,9,0,14
-3,4,15,5,480,12,0,17
-3,4,15,6,960,15,0,20
-3,4,15,7,1920,18,0,23
-3,5,1,2,4,3,1,3
-3,5,1,3,8,6,1,6
-3,5,1,4,16,9,1,9
-3,5,1,5,32,12,1,12
-3,5,1,6,64,15,1,15
-3,5,1,7,128,18,1,18
-3,5,3,2,12,3,0,5
-3,5,3,3,24,6,0,8
-3,5,3,4,48,9,0,11
-3,5,3,5,96,12,0,14
-3,5,3,6,192,15,0,17
-3,5,3,7,384,18,0,20
-3,5,5,2,20,3,1,3
-3,5,5,3,40,6,1,6
-3,5,5,4,80,9,1,9
-3,5,5,5,160,12,1,12
-3,5,5,6,320,15,1,15
-3,5,5,7,640,18,1,18
-3,5,7,2,28,3,0,6
-3,5,7,3,56,6,0,9
-3,5,7,4,112,9,0,12
-3,5,7,5,224,12,0,15
-3,5,7,6,448,15,0,18
-3,5,7,7,896,18,0,21
-3,5,9,2,36,3,1,3
-3,5,9,3,72,6,1,6
-3,5,9,4,144,9,1,9
-3,5,9,5,288,12,1,12
-3,5,9,6,576,15,1,15
-3,5,9,7,1152,18,1,18
-3,5,11,2,44,3,0,7
-3,5,11,3,88,6,0,10
-3,5,11,4,176,9,0,13
-3,5,11,5,352,12,0,16
-3,5,11,6,704,15,0,19
-3,5,11,7,1408,18,0,22
-3,5,13,2,52,3,0,5
-3,5,13,3,104,6,0,8
-3,5,13,4,208,9,0,11
-3,5,13,5,416,12,0,14
-3,5,13,6,832,15,0,17
-3,5,13,7,1664,18,0,20
