alpha,beta,m,r,n,base_exponent,predicted_bit,actual_valuation
-5,4,3,6,192,15,0,111
-5,4,3,7,384,18,0,210
-5,4,5,2,20,3,0,14
-5,4,5,3,40,6,0,26
-5,4,5,4,80,9,0,54
-5,4,5,5,160,12,0,93
-5,4,5,6,320,15,0,176
-5,4,5,7,640,18,0,339
-5,4,7,2,28,3,0,18
-5,4,7,3,56,6,0,34
-5,4,7,4,112,9,0,66
-5,4,7,5,224,12,0,127
-5,4,7,6,448,15,0,242
-5,4,7,7,896,18,0,469
-5,4,9,2,36,3,0,21
-5,4,9,3,72,6,0,41
-5,4,9,4,144,9,0,82
-5,4,9,5,288,12,0,156
-5,4,9,6,576,15,0,303
-5,4,9,7,1152,18,0,594
-5,4,11,2,44,3,0,25
-5,4,11,3,88,6,0,49
-5,4,11,4,176,9,0,97
-5,4,11,5,352,12,0,189
-5,4,11,6,704,15,0,368
-5,4,11,7,1408,18,0,723
-5,4,13,2,52,3,0,33
-5,4,13,3,104,6,0,61
-5,4,13,4,208,9,0,119
-5,4,13,5,416,12,0,224
-5,4,13,6,832,15,0,435
-5,4,13,7,1664,18,0,854
-5,4,15,2,60,3,0,34
-5,4,15,3,120,6,0,66
-5,4,15,4,240,9,0,130
-5,4,15,5,480,12,0,256
-5,4,15,6,960,15,0,499
-5,4,15,7,1920,18,0,982
-5,5,1,2,4,3,1,3
-5,5,1,3,8,6,1,6
-5,5,1,4,16,9,1,9
-5,5,1,5,32,12,1,12
-5,5,1,6,64,15,1,15
-5,5,1,7,128,18,1,18
-5,5,3,2,12,3,1,3
-5,5,3,3,24,6,1,6
-5,5,3,4,48,9,1,9
-5,5,3,5,96,12,1,12
-5,5,3,6,192,15,1,15
-5,5,3,7,384,18,1,18
-5,5,5,2,20,3,1,3
-5,5,5,3,40,6,1,6
-5,5,5,4,80,9,1,9
-5,5,5,5,160,12,1,12
-5,5,5,6,320,15,1,15
-5,5,5,7,640,18,1,18
-5,5,7,2,28,3,1,3
-5,5,7,3,56,6,1,6
-5,5,7,4,112,9,1,9
-5,5,7,5,224,12,1,12
-5,5,7,6,448,15,1,15
-5,5,7,7,896,18,1,18
-5,5,9,2,36,3,1,3
-5,5,9,3,72,6,1,6
-5,5,9,4,144,9,1,9
-5,5,9,5,288,12,1,12
-5,5,9,6,576,15,1,15
-5,5,9,7,1152,18,1,18
-5,5,11,2,44,3,1,3
-5,5,11,3,88,6,1,6
-5,5,11,4,176,9,1,9
-5,5,11,5,352,12,1,12
-5,5,11,6,704,15,1,15
-5,5,11,7,1408,18,1,18
-5,5,13,2,52,3,1,3
-5,5,13,3,104,6,1,6
-5,5,13,4,208,9,1,9
-5,5,13,5,416,12,1,12
-5,5,13,6,832,15,1,15
-5,5,13,7,1664,18,1,18
-5,5,15,2,60,3,1,3
-5,5,15,3,120,6,1,6
-5,5,15,4,240,9,1,9
-5,5,15,5,480,12,1,12
-5,5,15,6,960,15,1,15
-5,5,15,7,1920,18,1,18
-4,-5,1,2,4,3,0,5
-4,-5,1,3,8,6,0,9
-4,-5,1,4,16,9,0,13
-4,-5,1,5,32,12,0,16
-4,-5,1,6,64,15,0,19
-4,-5,1,7,128,18,0,22
-4,-5,3,2,12,3,0,8
-4,-5,3,3,24,6,0,10
