n,normalized_ratio,relative_error_leading,relative_error_through_c1,relative_error_through_c2,n_cubed_residual
10,0.9860594712647443905645,0.0141376145572388,-2.286270752494e-5,-1.90738594500274e-5,0.0188079597642721
25,0.9944159989464436493323,0.00561535721415629,-1.23493212567307e-6,-6.33810738501664e-7,0.00984799279172056
50,0.9972076124300230604771,0.00280020683273002,-2.2761050968497e-7,-7.77508622903138e-8,0.00969171896861242
100,0.9986037397007986752146,0.00139821256789973,-4.70389322019915e-8,-9.62639927306261e-9,0.00961295831393337
250,0.9994414836808612601364,0.000558828433938693,-6.59352582520096e-9,-6.12538098829996e-10,0.00956556228602664
500,0.9997207401163187856379,0.000279337891548316,-1.57124855897302e-9,-7.64193013481033e-11,0.00954974506286222
1000,0.9998603696558992930296,0.000139649843456402,-3.83198292461715e-10,-9.54316592274456e-12,0.00954183340720296
