n,numerator,denominator,decimal,v2
33,-6798856161982590890728092595808915153880480197951613930924854559934533174511117413678882903511486926140878968849820959504707836709394940182395196001962231142717511028037497517166651691319832435939946684689579867086832349238467977008729512056237208684168876942971142265628398791898045022215330562130312655424873,545129180162712107288091392274628945404386614462056506967178125796778868726554757020000115525569609860202866615688158457210864845629088898891350610099389685073424969411848984532476608804844343817725819840716784072525114184503166893756411893411246229808122779526285768779368871279370804094900226792760917663574218750,-1.2472009221655029e-05,-1
34,-38352055599428965680895935121794602638126725951397696737400086355715524790818756358317070900206071789642498563536467023225215399650831949325512049132857786061171868541766722236769111842587674836591684498498966775208988664857402587263777905038826839202463563278960058980492127395310468089020482400534813700861998701824301944749,25916062429241905385402539818792356061666386804675472975355838848139516921797305300516293266140504686648763132984808522834028311558956521762449820642548856799272318498959097267486699701473064990250820319971082933289880191493217237731463484682866175710109845867154744089119346785695348042497608400107938404613766972815055847167968750,-1.4798565833116352e-06,-1
35,57287256399302343450677224150734053135583005882172535568165247496127319686083967026182637652092985035135302823034329927657648489655974568542799881595979474830862777730626689342120296639527606515804371166245606032931352216717835376450861337410423280737232635827524199919278641208269205182424132617408793302494218536090517031099469304760335556541,25088922056665238306987578701294380599463877866241195098772044529586754921647145315715458355251904570434184938847792245319798819617425925279688762051445907439777949801339223119543930309021974507056095457371671373176658135869917588234448983534040929708266095619255908965041935765928651366133138010736018837958340068839744923030640275474494934082031250,2.2833685827519698e-06,-1
36,389317586756675252508675873487835166542009547945179732634663923069982835397134033970024404473701651507420122110453237024479681304603406408066334908782409533599437705685399788937249415094138944832328018987669129722790980443814380164608603522907584445692742043789672232839553352488907345583563802445814240670100855523893620892175195098089862278146499758098470193015729,184971301030959290615377925989214555572946416219978001427040792233207759094443958280996635061464700937071627605159953350944639031258362552150227210819987539242946040557123391617966653483845754496479520637734685342799182929279684752313882850204240985387150100595604944885419970852244608749470390328202288528378510237481808837353820082182373378408199079065477180480957031250,2.104745896183721e-06,-1
37,-38881034946434758082496373908774525250975275625213532442696520753192961950907959967751754875584597648745263058286702911760498854232786798961198281658109667273107113203975927474922631600297429253067936229361291792881157871311103870700483659221037348690976484124656126666405562728190130557371712874027526286241815281567720887689483387985952575862560741187803275153531498517031909371489761,9768269891510812510446356353923149548502899864291958540401921319474044143842615107175400331117537904797131234677736866726249311190717443985114167268054582872565840170960696877045024721540750402769009552419530755805964517139525989910767915709093102200504618659188662946128759896782538368782666253270398665218439543604913753551362584207322794191865814437829732242661255150104299736022949218750,-3.980339955617382e-06,-1
38,1633796286366161350705252876672258582532500958930689784419223099877773708808644267446611869244742983160486097963329766904684116213137503867854324648828325377458954702139997693951678350266349699939538832275469726556014152386192573339833258622539686727290240471895187958308112552936042903256232507886609791298774467832523746212031059959927418772379617535215742602850015969686125094891434730110774221642103,600296967131961943631947151992519400807469623073416282281367452186211976713455719284898883650030920881828486236464271907661743023294267408088495652749302535850159501447408386436347123806215537086897709297296108677307453710892721829397571775270057154748941647641238944525567533710665362425075872605974256625561620393251628624258423428110916668787862555266467084576421395592628351564189318835120201110839843750,2.7216467445636912e-06,-1
39,-526334283346927059064634938256482912902729533281187365242067788923820910821381584567395131625195210310107618579041235136823884582284831085094644929612905658736603985162666650448070366035621301943382482981796883016834016450579500553771217854734339842275932721837009044521261604369920626354013968395152916303534541301465809503258868010306537447993759898189632846818493769119616555554031874709250990666765282975727557620842453053002861,957019941511759320107236130808937158566449321675238486155846090183927495654081740614139390528953335490849161398254549576121264793940464092190139044333420432717902745992180671394710386317088877549010088529160233077569355192277751029553725141637691307425841769220910710134371147290410355113868991092322739329049913345741985848298973539412537266941297595788716673467282566905384021524050385145179958979015554968256887232733187675476074218750,-5.4997211710709143e-07,-1
40,-36857690404257677304611254754266276478509419254540270625095056857273391994045004434707053992683315112843828241558379638434694607883786068315758305961531697806081740331790703102059261052240559268447731527688314404665140744352367577520057566751043666179173987708617127660145144144214655158931023122307011315177273695464815455949581828335258251704383795430533510069920696079225580169423649454461087450662463512465469076923651711601582592905924577049609718143,23549217819949465363913497002983255457972959700888053610892487154273906495960242777765904580239364181276057821693730974901847341258994156051589884168931029819360025475860240426180037112094161994813627605287039373879881791073774417560936978357134856908427866378114068849393594121041198058027275915565984180291062996813586954159818481153170552545168874459400425946688797591069734764509490757793082558030501909603267720454505990733664732449687486767768859863281250,-1.5651343788172058e-06,-1
41,94033884287844548100202526677266162835488021253073282349996227383231405262929714245875379923314783979652897103897131205582170114478109901725441455460650219567606267685443142095366475664474555632533693076504880207105906153333915365038458522325948794695629389235932059057856167938214335227933309945852272580631786886272426712882215296532581057027784948390333784956244628677032161725434699649401823311934814319818583442440239316905602683288762672072009443948257318212812928116228739,30304465786028429494483141143710733511875533459653100319839541185772936200762202579361121901782090312053709797031891013134003930193300632922700571714142507323674320215557340176955761099262715631679581442769773848412227389476298871968644268158493252157617425325027115854866593760701053922229082992836404040644268797801623521810592306582045488497751601992472112834471930445658034292254716905844067400686049803760058515249421207636975063925473716480494177473337051954239058494567871093750,3.1029711908400619e-06,-1
42,-293554546067461108906703048588593863159899312825623815593510384314001319002800106861007321672679995364056049655087394328085452722462819998260575767094446351355073340473093151145493319727202663834001469421098086730164055930689365027151140956976725993026831334172322648767582194868013775598904685971653951738035519070629968707049181075509265321638226271055837143557348566682653396015645895240823693496672702791800367300820820385824260701234435988508713117538065934415653963656389289669792391182361477643063957,81838855158301046921824215519884798314348777271780873008156585183475160913985721501411607061515478863516970543681687514035945026638830723369221523574889360046872614051968600947161713960898855164522613335296029662386317094616631789636868658360919550028576957682103261399137332371791809162606885382564641314916246428007604586065987223877936432259288884509493453966620937532483940373209612093769501725858456381551957964395766268364258178136551762964979911624805335605503166488179418923486573465854525566101074218750,-3.58698255858587e-06,-1
