x,cdf_a_2_5,cdf_a_2_2,cdf_a_2_1,cdf_a_2_05,cdf_a_2_02,exp1_cdf
0,0.19999999999999996,0.090909090909090939,0.047619047619047672,0.024390243902438935,0.0099009900990099098,0
0.01,0.19999999999999996,0.090909090909090939,0.047619047619047672,0.024390243902438935,0.019703950593079167,0.0099501662508320043
0.02,0.19999999999999996,0.090909090909090939,0.047619047619047672,0.024390243902438935,0.02940985207235558,0.019801326693244747
0.029999999999999999,0.19999999999999996,0.090909090909090939,0.047619047619047672,0.048185603807257449,0.039019655517183782,0.029554466451491845
0.040000000000000001,0.19999999999999996,0.090909090909090939,0.047619047619047672,0.048185603807257449,0.048534312393251233,0.039210560847676823
0.050000000000000003,0.19999999999999996,0.090909090909090939,0.09297052154195018,0.071400589080251042,0.057954764745793308,0.048770575499285984
0.059999999999999998,0.19999999999999996,0.090909090909090939,0.09297052154195018,0.071400589080251042,0.067281945292864687,0.05823546641575128
0.070000000000000007,0.19999999999999996,0.090909090909090939,0.09297052154195018,0.071400589080251042,0.076516777517687817,0.067606180094051838
0.080000000000000002,0.19999999999999996,0.090909090909090939,0.09297052154195018,0.094049355200244822,0.085660175760086998,0.076883653613364245
0.089999999999999997,0.19999999999999996,0.090909090909090939,0.09297052154195018,0.094049355200244822,0.094713045307016852,0.086068814728771814
0.10000000000000001,0.19999999999999996,0.17355371900826455,0.1361624014685241,0.11614571239048266,0.10367628248219485,0.095162581964040482
0.11,0.19999999999999996,0.17355371900826455,0.1361624014685241,0.11614571239048266,0.11255077473484643,0.10416586470347178
0.12,0.19999999999999996,0.17355371900826455,0.1361624014685241,0.11614571239048266,0.12133740072757071,0.11307956328284252
0.13,0.19999999999999996,0.17355371900826455,0.1361624014685241,0.13770313403949519,0.13003703042333736,0.1219045690794387
0.14000000000000001,0.19999999999999996,0.17355371900826455,0.1361624014685241,0.13770313403949519,0.13865052517162113,0.13064176460119414
0.14999999999999999,0.19999999999999996,0.17355371900826455,0.17729752520811826,0.15873476491658067,0.14717873779368429,0.13929202357494219
0.16,0.19999999999999996,0.17355371900826455,0.17729752520811826,0.15873476491658067,0.15562251266701421,0.14785621103378865
0.17000000000000001,0.19999999999999996,0.17355371900826455,0.17729752520811826,0.15873476491658067,0.16398268580892494,0.1563351834036163
0.17999999999999999,0.19999999999999996,0.17355371900826455,0.17729752520811826,0.1792534291869079,0.17226008495933165,0.164729788588728
0.19,0.19999999999999996,0.24868519909842235,0.17729752520811826,0.1792534291869079,0.18045552966270462,0.17304086605663771
0.20000000000000001,0.35999999999999999,0.24868519909842235,0.21647383353154115,0.19927163823112959,0.18856983134921246,0.18126924692201818
0.20999999999999999,0.35999999999999999,0.24868519909842235,0.21647383353154115,0.19927163823112959,0.19660379341506184,0.18941575402981292
0.22,0.35999999999999999,0.24868519909842235,0.21647383353154115,0.2188015982742727,0.20455821130204144,0.19748120203752151
0.23000000000000001,0.35999999999999999,0.24868519909842235,0.21647383353154115,0.2188015982742727,0.21243387257627866,0.20546639749666595
0.23999999999999999,0.35999999999999999,0.24868519909842235,0.25378460336337261,0.2188015982742727,0.22023155700621655,0.21337213893344664
0.25,0.35999999999999999,0.24868519909842235,0.25378460336337261,0.23785521782855867,0.22795203663981833,0.22119921692859512
