degree,nodes,log10_cond_A,log10_norm_sample_to_atom,log10_cond_sample_to_atom,log10_abs_det_sample_to_atom
1,equispaced,0.7655513706757259,0.3149882534713195,0.6299765069426387,0.0
1,Chebyshev--Lobatto,0.7655513706757259,0.3149882534713195,0.6299765069426387,0.0
2,equispaced,1.8512923130584245,1.347894977916824,1.7576437426712779,1.2041199826559246
2,Chebyshev--Lobatto,1.8512923130584245,1.347894977916824,1.7576437426712779,1.2041199826559246
3,equispaced,3.065262269947576,2.998820826062415,3.468825995861043,4.0668475109739
3,Chebyshev--Lobatto,3.012908573315791,2.922106468299517,3.393581853083807,4.038328680240055
4,equispaced,4.324884360425386,5.140381443795701,5.65767163640133,9.030899869919436
4,Chebyshev--Lobatto,4.192651755377081,4.966988099090977,5.48638774039626,8.931537394534827
5,equispaced,5.6085807027376395,7.706699763305547,8.262881794836746,16.505149978319906
5,Chebyshev--Lobatto,5.382589003932354,7.427236939299256,7.985873919970276,16.289043521341934
6,equispaced,6.906665266359177,10.667405563502458,11.256593512352357,26.877226106295858
6,Chebyshev--Lobatto,6.578481228919482,10.276354618673743,10.868212575136505,26.497051539534006
7,equispaced,8.213801994416839,14.005142848341109,14.624871374518817,40.52042487758214
7,Chebyshev--Lobatto,7.777674292226619,13.498862047077555,14.118014629995004,39.92815414267261
8,equispaced,9.526733707109518,17.708362301549784,17.744426624678013,57.79775916748439
8,Chebyshev--Lobatto,8.978431871599058,17.084264235634667,17.844174794445255,56.94496669608654
9,equispaced,10.843352392195522,21.7686732241724,20.819840225021046,79.06451240444736
9,Chebyshev--Lobatto,10.179593836861507,21.024823068617618,20.293318158322275,77.90252689125344
10,equispaced,12.162262366315218,26.17965007100828,25.10509696096717,104.66994928455688
10,Chebyshev--Lobatto,11.38039731351856,25.31454538627096,24.303510479741238,103.14993719165365
11,equispaced,13.482543026055751,30.936196592370763,29.054140982854843,134.9585162665187
11,Chebyshev--Lobatto,12.580374722131191,29.94863749327886,27.545424836937496,133.0315314670339
12,equispaced,14.80363354112117,36.034160278661304,31.739068049862546,170.27071595161337
12,Chebyshev--Lobatto,13.779276977397307,34.923173314911104,30.646519326847372,167.88773105468263
13,equispaced,16.125173877858238,41.470207933697694,34.6192804144054,210.94376348161128
13,Chebyshev--Lobatto,14.977054126709888,40.23486310960706,33.441356943447296,208.05569055545584
14,equispaced,17.44689965719044,47.24109670372296,39.44022230776573,257.3120917733265
14,Chebyshev--Lobatto,16.173572150283064,45.88092806766796,37.725137375023095,253.86979659226645
15,equispaced,18.8504423895854,53.34974092646375,41.36817354081519,309.7077486585112
15,Chebyshev--Lobatto,17.368763507171142,51.85862431043951,39.93038107288215,305.6620608153366
16,equispaced,20.24169319165846,59.70412324068454,46.41574760520788,368.46071469271294
16,Chebyshev--Lobatto,18.559943724460666,58.1899010458301,45.006603531322675,363.7624349720792
17,equispaced,20.629201697954766,66.04349569012027,49.33709226989326,433.89916143268454
17,Chebyshev--Lobatto,19.731444663877966,64.92138606747994,46.728135880681954,428.4990673124525
18,equispaced,21.165691089235224,72.07955674682832,51.87306773363544,506.3496641710632
18,Chebyshev--Lobatto,21.19161524739725,72.09577119618285,48.9450310438939,500.19851400929696
