N,block_index_n,atom_amplitude_exact,log10_abs_atom_amplitude
16,4,23686322978441613204242357742227240817740596425158146734409264006743706366691400207393129444293834991068642495902582027437100907181568833605832046592/1735757989816931513647841080261103633870334983149382219051048037403880100757052890115420980301028135671827137123983001708984375,22.13500847385088
16,5,-33826323234332217679027593938533989245371368365614981907646201740148908757283236334300662282807830277261259493334404379976809029697536/2204831712533341564606106350539749974073254409547502173625132696824844256658040669643031639431085730089385986328125,19.185879347725326
16,6,-78468303916468063877162920970036941340320778704251481495964825145777865593908890459581552354148151342038397514533464556037507786226691735552/71123603630107792406648591952895160453975948695080715278230086994349814730904537730420375465518894519012451171875,27.042680512502326
16,7,-475358169714521162760775246697934695089855942585606591532889101683342877422972585202235248659470032271502624475908577230273380352/2320728490735148283765757375044457423989318005406744939902265465592600852085264341745190541351318359375,26.311396628324253
16,8,36479728125031096829216764799966695680015399614154918041059513404705316351816167326141289861508179939772463716987809455555332737027014656/25528013398086631121423331125489031663882498059474194338924920121518609372937907759197095954864501953125,33.155034573852184
16,9,-417777928687513363142225214649136468126618892576615259963440488039507058120848766218381660348541070146756732477954938000346447872/15426240435197266264702896895113215441008659669804236826576454747775628513942331925987548828125,34.432685396320096
16,10,-13757410050936910788377163316724878818825531307686367966308021417306212726311786320018646812176212918336726196634979763558937723303624704/478213453491115254205789803748509678671268449763931341623870097181044483932212289705614013671875,40.45891489209839
16,11,-66585014420787049288253407633710448720797613594667417574147717842102744170030008953662443719897345137080624955954572722092902449152/1652391293795608182239374832019851131857293405108439038132113748000646314679049072265625,43.60526360006185
16,12,22504577647796405489900317253696572302557415751201705075814820231500723162961788440524041243846275345042574006456116783588959134727274496/1652391293795608182239374832019851131857293405108439038132113748000646314679049072265625,49.134157968699284
16,13,-35494443424523750350754376357021782512950312974856419625264904777487252078680549913965040519454116320141491360509616985212484707155968/53176650416409678054600157915912647200231495524208683027233344934832878837890625,53.82443939279063
16,14,824381036269968492574716781832238349304839969388681429506914791266738072994523951479860518761638112775638849716649256854773611780041080832/5146127459652549489154853991862514245183693115246001583280646284016085048828125,59.20464745424207
16,15,-8731456086787114863569929164604232837027103091306266446330654026321646199319670385246421064813049364221636445193833527104035392942864596992/71130481982053975966334834483352100942934852953690956211780132953134765625,65.08903092264492
16,16,306652321270545482951356825894756744075920893985699622373010206789449419430957229871053468258265545862277412131340522677899709453129073228251136/2294531676840450837623704338172648417514027514635192135863875256552734375,71.12595219885662
16,17,-1623865066247718705408280647810304789590487993820331095900277562615211016982979964037121868285372536453348930257489051408880712712309468831940608/6578070194465041901397572380555576450514284798425172411853035546875,77.3924514355365
16,18,327465942804509848470113968342399706486430040284880197010351919626267345192072962610013232334361099315805665144428161546776448005423978607308682821632/386945305556767170670445434150328026500840282260304259520766796875,83.92751655693083
16,19,-6447351908068882375907563636049563188343081948201406896328789620986934918575538902799253441899276146498203722956797173572747927329572500446148690968576/1217727746747836109632652395316867795515019356203154976953125,90.72383117359006
16,20,2227229097575689535491251262254590453316429889683091941445270622629476560519270163101094306242178862159717810024831507268830574175588114664702693982040739545088/37749560149182919398612224254822901660965600042297804285546875,97.77085299611973
16,21,-306601086858635613764751817969687057498407335039900895431980271645455863651199536648257862648402754625080667761393205822480206146468413176137963127423344066953216/263384337339493594269054416569495214798294784875616984375,105.06598374480535
16,22,10687361270415191848616196392475437195815397480565032419446720785165086933770261353336368424257804804919344642074381125713522240400588237008248218757668075280726709239808/263384337339493594269054416569495214798294784875616984375,112.6082805450903
16,23,-212703322948202540845757994995496094004581405643918848391356614885440602443220709291529936389145111866050457737050574220174577584966107824159824857684586441584296500142276608/85820898448841184186723498393449076180610878095671875,120.3941812179039
16,24,724131130428862752916384804888402261762415357636150339912245251717360114683867792032683793478158748619627184441440408711532486816938428594240191651925647523487610374601769551396864/2768416078994876909249145109466099231632608970828125,128.41758585525685
16,25,-31892278404797439341285865473635489860221289211052943894027067990843206454525268501871606902076054721487242867542339525713501154192302397801287967243309333855332475036106536670204002304/679904127144711302727062771982167369226467641875,136.67123786919672
16,26,307897988604566722289600843370012781988535743018110046290842957499611576647275361154533950592039018786704357418253312823311346634414477661451938528664511297167770229074727787404009442820227072/21932391198216493636356863612327979652466698125,145.14732086821442
16,27,-74138588037285199279899366675999413126553519580060241180532143421486658762395731786418081522193071328370239327429774866703511741894420427858780636519929799949874568718180885073793156019754948777476096/10792129002297004805191472571145513797245518125,153.83693718269618
16,28,57781285008548784898903461396740229102808377422083784095423796729698988611178828221612027325823906858508708147990841715606009866562412648368319977185767811447643472954138505831948266517550717047635300484907008/10792129002297004805191472571145513797245518125,162.7286800679929
16,29,-9900481266746057279427042094348077400919571733303168813901273318687278494540981254325236506042466890414380096669772915362324917884931242412345749981222194031979072047620016770303046309304101117999225675791397289984/1547258638322151226550748755719786924336275,171.80609339032503
16,30,529101362130344822026121320621802775234575975668643122906031531653997776675403561845185266890633988567117537771621481542540662583502460263979816238790142160828256663532727783493987799517036577463991036822656125421453481869312/47965017787986688023073211427313394654424525,181.0426142697253
16,31,-14488661348136855247594982621499092317933733300654934716891224765378519059769628805155611633691219829838104157130057819328595965793166635303396240079964280601988981629403099179346210816454433564619593746030528131079994803583574867968/592160713431934420037940881818683884622525,190.3885886705385
16,32,31114163326533531910353216506513473999605109410749539995031414578343006211311612506101454078790460465750671164757621776302698175339592699453222944436405505016854934325315551488168207059096625417122928910003624070298289420620698830345038987264/592160713431934420037940881818683884622525,199.72051853612192
