N,block_index_n,atom_amplitude_exact,log10_abs_atom_amplitude
9,13,-5493152739039272863345011890683222966326608027875838787584/23526983185335,44.36825543280483
9,14,269713394046010550866704291678694190349060946270435747192373248/23526983185335,49.059336272084515
9,15,-446369781304174703688656856611918933085524680817301354875421982720/522821848563,53.931341057392544
9,16,47545825095583180472166670666424885085451141627518002287100466330337280/522821848563,58.958758660092656
9,17,-102732923197718477386537097435125937059874075245021231562104875068287877120/8298759501,64.09269646698768
9,18,13465409709371356268008190435016826822311814790515422863308210184950628629872640/8298759501,69.21020639327536
10,0,68210692116023134261509935642912796233989407116622190366080638449/140307043751300920352154218229525499217006807850883300781250,5.686772982021893
10,1,-12855464119644662552857295236066909483937510178837728042/10494694246677515777175033959123834202029126015625,6.08811797022582
10,2,-189392095769799482437831734477077197490431274730409430548/11067605595131375199254068071036301577822279296875,7.233308175638197
10,3,-59020155710409122494596735923805005415093925617388352/2466949328702807592277949073729773537109375,10.378840121801547
10,4,227889554420397681535312993279906660634435898403469467136/27136442615730883515057439811027508908203125,12.924171504946834
10,5,-259676590227384211983183900766238747624743396573184/60670413490385857100226766528921875,15.631455845041748
10,6,73737027310857942540783348723934050996744965758910464/17844239261878193264772578390859375,18.616187587370746
10,7,-44402893318375562719184337024642093915379014790283264/6172090326393808327761171796875,21.85697899673168
10,8,133790350432036181595858819331611791177649820066782380032/6172090326393808327761171796875,25.33599251808383
10,9,-133748728264815247881337586742325527372438754021081088/1182138011710849352919375,29.05362147895142
10,10,103280227134811559997777464506332574202557693248664477106176/100481730995422194998146875,33.01193007632968
10,11,-75595260298783862800528272288177912086980279121989404196864/4677267187796033840625,37.208502387201385
10,12,2030863636319099313875739131419007789942717695238257026460024832/4677267187796033840625,41.63768858380579
10,13,-436298365937566745342846955519489171641845730152889821255696384/22232999110141575,46.29278553582842
10,14,163182245419907781758874635100842173533530989013448131065454836842496/111164995550707875,51.16670484987218
10,15,-104904593785713815901137048687742180824091654834851456996044039549616128/588174579633375,56.25128825565453
