degree,lcm_denominator,prime_factorization,odd_part
1,2,{2: 1},1
2,18,"{2: 1, 3: 2}",9
3,8,{2: 3},1
4,4050,"{2: 1, 3: 4, 5: 2}",2025
5,2592,"{2: 5, 3: 4}",81
6,88200,"{2: 3, 3: 2, 5: 2, 7: 2}",11025
7,6998400,"{2: 7, 3: 7, 5: 2}",54675
8,20494923750,"{2: 1, 3: 9, 5: 4, 7: 2, 17: 1}",10247461875
