ALL CHECKS PASSED
Symbolic checks: 13
Maximum period error: 1.110e-16
Maximum conserved flux component error: 2.004e-12
Predicted energy coefficient: 50.392
rho             shell energy           absolute error
0.1             50.44965278839         5.76528e-02
0.03            50.45983401438         6.78340e-02
0.01            50.41030937149         1.83094e-02
0.003           50.39514565073         3.14565e-03
0.001           50.3925454903          5.45490e-04
0.0003          50.39207277384         7.27738e-05
0.0001          50.3920109279          1.09279e-05
3e-05           50.39200130732         1.30732e-06
