n,base_N,weights,extrapolated,exact_moment
0,0,-1; 2,1/2,1/2
1,2,1/3; -2; 8/3,13/36,13/36
2,2,1/3; -2; 8/3,5/18,5/18
3,4,-1/45; 22/45; -104/45; 128/45,1207/5400,1207/5400
4,4,-1/45; 22/45; -104/45; 128/45,251/1350,251/1350
5,6,1/2835; -86/2835; 8/15; -6784/2835; 8192/2835,22661/142884,22661/142884
6,6,1/2835; -86/2835; 8/15; -6784/2835; 8192/2835,16427/119070,16427/119070
