degree,kappa_at_half,q_derivative_kappa_at_half,centered_moment_at_half,q_derivative_centered_moment_at_half,q_derivative_centered_moment_decimal
0,0,0,1,0,0
1,0,0,0,0,0
2,1/36,-2/27,1/36,-2/27,-0.07407407407407407
3,0,0,0,0,0
4,-1/1800,14/3375,19/10800,-83/10125,-0.008197530864197531
5,0,0,0,0,0
6,1/15876,-62/83349,583/3810240,-599/617400,-0.00097019760285066404
7,0,0,0,0,0
8,-1/61200,254/975375,132809/8328096000,-57910967/464551605000,-0.00012465992233521612
9,0,0,0,0,0
10,1/135036,-5110/34535457,46840699/24990950476800,-32576528018233/1901452086371376000,-1.7132447486699603e-05
11,0,0,0,0,0
12,-691/134152200,2828954/22889719125,4068990560161/16932277709867520000,-85670899858467239/34460778022582111200000,-2.4860407911373094e-06
13,0,0,0,0,0
14,1/196596,-114674/805208067,1204567303451311/36580418336803461120000,-74526233067651268207586159/197590840718174360682076051200000,-3.7717453297315902e-07
