x,estimated_G,estimated_G_at_1_minus_x,antisymmetry_residual,samples,digits,q_step
0.01,0,0,0,1500000,32,0.005
0.014999999999999999,0,0,0,1500000,32,0.005
0.02,0,0,0,1500000,32,0.005
0.025000000000000001,0,0,0,1500000,32,0.005
0.029999999999999999,0,0,0,1500000,32,0.005
0.035000000000000003,0,0,0,1500000,32,0.005
0.040000000000000001,0,0.00033333333332441484,0.00033333333332441484,1500000,32,0.005
0.045000000000000005,-6.6666666666666643e-05,0.00026666666665953187,0.00019999999999286523,1500000,32,0.005
0.050000000000000003,-0.00046666666666666672,0.00080000000000080007,0.00033333333333413335,1500000,32,0.005
0.055,-0.0008666666666666663,0.00086666666666568304,-9.8326295022710397e-16,1500000,32,0.005
0.060000000000000005,-0.0013999999999999993,0.0012000000000012001,-0.00019999999999879923,1500000,32,0.005
0.065000000000000002,-0.0014000000000000002,0.0024000000000024002,0.0010000000000024,1500000,32,0.005
0.069999999999999993,-0.0031333333333333326,0.0029999999999974492,-0.00013333333333588344,1500000,32,0.005
0.074999999999999997,-0.0044000000000000011,0.0054666666666647323,0.0010666666666647312,1500000,32,0.005
0.080000000000000002,-0.0061333333333333327,0.0062666666666655324,0.00013333333333219975,1500000,32,0.005
0.084999999999999992,-0.008466666666666664,0.0091333333333332156,0.00066666666666655161,1500000,32,0.005
0.089999999999999997,-0.010133333333333326,0.010133333333328665,-4.6612019799496807e-15,1500000,32,0.005
0.095000000000000001,-0.014800000000000002,0.012466666666666182,-0.0023333333333338206,1500000,32,0.005
0.099999999999999992,-0.016866666666666679,0.015666666666669382,-0.001199999999997297,1500000,32,0.005
0.105,-0.021666666666666664,0.022333333333335315,0.00066666666666865063,1500000,32,0.005
0.11,-0.02459999999999999,0.026999999999999247,0.0023999999999992569,1500000,32,0.005
0.11499999999999999,-0.030066666666666651,0.034333333333325111,0.0042666666666584599,1500000,32,0.005
0.12,-0.037000000000000012,0.036400000000003097,-0.0005999999999969155,1500000,32,0.005
0.125,-0.042799999999999998,0.043000000000004146,0.00020000000000414825,1500000,32,0.005
0.13,-0.049666666666666692,0.052066666666661376,0.0023999999999946842,1500000,32,0.005
