m,n,T_A143007,C_A108625
0,0,1,1
0,1,1,1
0,2,1,1
0,3,1,1
0,4,1,1
0,5,1,1
0,6,1,1
0,7,1,1
0,8,1,1
0,9,1,1
0,10,1,1
0,11,1,1
0,12,1,1
1,0,1,1
1,1,5,3
1,2,13,5
1,3,25,7
1,4,41,9
1,5,61,11
1,6,85,13
1,7,113,15
1,8,145,17
1,9,181,19
1,10,221,21
1,11,265,23
1,12,313,25
2,0,1,1
2,1,13,7
2,2,73,19
2,3,253,37
2,4,661,61
2,5,1441,91
2,6,2773,127
2,7,4873,169
2,8,7993,217
2,9,12421,271
2,10,18481,331
2,11,26533,397
2,12,36973,469
3,0,1,1
3,1,25,13
3,2,253,55
3,3,1445,147
3,4,5741,309
3,5,17861,561
3,6,46705,923
3,7,107353,1415
3,8,223465,2057
3,9,430081,2869
3,10,776821,3871
3,11,1331485,5083
3,12,2184053,6525
4,0,1,1
4,1,41,21
4,2,661,131
4,3,5741,471
4,4,33001,1251
4,5,142001,2751
4,6,494341,5321
4,7,1465661,9381
4,8,3833941,15421
4,9,9073501,24001
4,10,19789001,35751
4,11,40328641,51371
4,12,77620661,71631
5,0,1,1
5,1,61,31
5,2,1441,271
5,3,17861,1281
5,4,142001,4251
5,5,819005,11253
5,6,3713305,25493
5,7,13980205,51563
5,8,45432805,95693
5,9,131091505,166003
5,10,342981013,272755
5,11,826861993,428605
5,12,1859914733,648855
6,0,1,1
6,1,85,43
6,2,2773,505
6,3,46705,3067
6,4,494341,12559
6,5,3713305,39733
6,6,21460825,104959
6,7,100961365,242845
6,8,402680125,507781
6,9,1403375905,980407
6,10,4372671073,1775005
6,11,12398731885,3047815
6,12,32443313449,5006275
7,0,1,1
7,1,113,57
7,2,4873,869
7,3,107353,6637
7,4,1465661,33111
7,5,13980205,124223
7,6,100961365,380731
7,7,584307365,1004307
7,8,2825369965,2360501
7,9,11778632605,5064013
7,10,43370491253,10089705
7,11,143745588229,18912785
7,12,435347376049,33681595
8,0,1,1
8,1,145,73
8,2,7993,1405
8,3,223465,13237
8,4,3833941,79459
8,5,45432805,350683
8,6,402680125,1240399
8,7,2825369965,3716695
8,8,16367912425,9793891
8,9,80843126905,23301307
8,10,349032353473,51019255
8,11,1343520004465,104285215
8,12,4684608730309,201186025
9,0,1,1
9,1,181,91
9,2,12421,2161
9,3,430081,24691
9,4,9073501,176251
9,5,131091505,907753
9,6,1403375905,3685123
9,7,11778632605,12494233
9,8,80843126905,36808723
9,9,468690849005,96918753
9,10,2354354542013,232834755
9,11,10457377728953,518344905
9,12,41752902994973,1082218305
10,0,1,1
10,1,221,111
10,2,18481,3191
10,3,776821,43561
10,4,19789001,365751
10,5,342981013,2181257
10,6,4372671073,10106977
10,7,43370491253,38619087
10,8,349032353473,126825227
10,9,2354354542013,368750757
10,10,13657436403073,970336269
10,11,69555586698533,2349638259
10,12,316286898468113,5303497629
11,0,1,1
11,1,265,133
11,2,26533,4555
11,3,1331485,73327
11,4,40328641,716959
11,5,826861993,4914427
11,6,12398731885,25848901
11,7,143745588229,110863105
11,8,1343520004465,404607259
11,9,10457377728953,1296061383
11,10,69555586698533,3728940249
11,11,403676083788125,9807518757
11,12,2079506849058809,23905438725
12,0,1,1
12,1,313,157
12,2,36973,6319
12,3,2184053,118587
12,4,77620661,1337961
12,5,1859914733,10467237
12,6,32443313449,62165039
12,7,435347376049,298060283
12,8,4684608730309,1205189519
12,9,41752902994973,4243039347
12,10,316286898468113,13322839089
12,11,2079506849058809,38003358693
12,12,12073365010564729,99912156111
