family,offset,terms,certified_decimal_places,lower_numerator,lower_denominator,upper_numerator,upper_denominator,common_prefix
zeta3,0,60,181,63624282207124732111281912543360934157491213580469170039092633855158071506869992240746263461228459471143312851165281232039153111072317725368204071657762782568819,52929509443262591434180821306446091066980447758630292382388081381856598292987302057063609958614267395164009548663603556794286813746007889680629799379711232000000,3934530796337682245002668574606129447120060414335002839893824043713584202991282883359921599191875010309125900418962204133025356965570112951588241365367949402333970972903226554255138682357146824197744422704680361345510302734788141012725011962708649,3273165177119159880208290658182501282525335887015064463111593875260892187484388277074600126130247693808017609017280756086831406947876644440598260256573425912425282517309184450802800017005479591616297653928299122574436511918297237308276297472000000,1.2020569031595942853997381615114499907649862923404988817922715553418382057863130901864558736093352581461991577952607194184919959986732832137763968372079001614539417829493600667191915
zeta3,1,60,182,903958381690017241179610199796029827397208149785508318101900617382958034904842510980866211740393950683296801108563241403349928398664700533224068785074309227676211291309,752009642234050545370524899791901303009260725810641780586779439793731135445332615740928097248841400200735285104691343882353124649290578322298669821192232406493952000000,13023258353366859526069034422058895676453397105617392737251692601706665061953141616675697715241632453084504526734624531949260350624574654613664786242885761318829371879077985116604737506660382417716565295242706653599895986538085275551332337836120885879891,10834144639189174852615304204194702219996096670888197157138025659895506987680228147589671406163411413326368986100575963347846731155486490803308598282269620262518387670351817065257041735677695311699851759769790085710138920247539366751113831151752448000000,1.20205690315959428539973816151144999076498629234049888179227155534183820578631309018645587360933525814619915779526071941849199599867328321377639683720790016145394178294936006671919157
zeta3,3,60,186,2487364965168998957372807541957859344417771286951846635179589886155550756564038869716017332444433725419012503034160345356628740396097991182830922254679010187026739437619,2069257252823044871113134295849490167036393538288333821072865230601606911951142538076304857366053656836821944523331131981033381852793128988759283622319826391397632000000,49375897124541029944921263554959810507841051339816823227552918677146001389905513999316625032670080533192508782333190758085310354809270399137018882018636165454397588029617892149489829867935424841780914260033284900885323575376566488566542077409954548316707,41076172845692237160803428138515833215343248124348376842343529121682764100820725467773232463778872309968745999538388315612030407169034267749497074263682272536935983133643747771518521139051716977395500607211627660520606866754059668177410051677783296000000,1.202056903159594285399738161511449990764986292340498881792271555341838205786313090186455873609335258146199157795260719418491995998673283213776396837207900161453941782949360066719191575522
zeta3,10,60,194,10435966292079467570377746679976649918762545153171211653306471695655116262762832242155804862452217675325501798210159798259558605117152325679067679779129363683456371115707731126528429,8681757298384657850368075174418447547213952135439210200367166397277312388626654242485783331194639316853901379656951197661235367403771187134362003090926932556718971407534477312000000,1523676056740517617226924894367941726233921836632936648451641862897842864432511852074803477477087931338022133051208170941744366618899320184067477714065904767973392683320225313157473800528158102609484507058057956835873731070033884660800065752560246537847957092318349663702787659,1267557345027136962869826489794866060912360090212383176225285562353944206367706424484121061850727734718117658115866051935138951488681455741711818327571920516831045420643916181238871337081747656545111435744655344187799540101747380320799466711080617691504816634553753546752000000,1.20205690315959428539973816151144999076498629234049888179227155534183820578631309018645587360933525814619915779526071941849199599867328321377639683720790016145394178294936006671919157552224249424
zeta2_upper,0,60,124,246641350953220747419476848970311675274057910171156058402576994322657160625236770968880515076654791726449,149939961682353357035310973281616461886736211493087224127759577598363778230096036573551055120689506053120,3290972220775242066194240231469639465489070694834152563687041898193809209760376143023804407842503434487171892977,2000671204458002792607891549715080888887448269560237821189703941516314669436982278831714039853808463730805468160,1.6449340668482264364724151666460251892189499012067984377355582293700074704032008738336289006197587053040043189623371906796287
zeta2_upper,1,60,125,120876901778775490753498428093745931865416936975119411227385204107830804821309284216269063595725717989840775627,73484344579464820333016281434899401878857990266526118868509173524478402423683616310263963329537738527355560960,48861575438955598698952738910957608090667688178740152729206326039178984705189517810959523706206132611882715655389,29704275948626166128081328487376292853801828123847027345237355604360000085484865120441344943535606241399477304320,1.64493406684822643647241516664602518921894990120679843773555822937000747040320087383362890061975870530400431896233719067962872
zeta2_upper,3,60,127,221638328489369113382155596798039319851522820053420380716172299265696314797768061627423920207559554209700096692659,134739946698312908879693951522105398631642339310567105620246964604788943706762720484162346073698170667727705195520,3223760152542243920022727830175887794071035850731390523595719682242841465991613106261097323080794691241999630567,1959811166607501141028956237561037406200366278188317814393902099027467073727757880623726663598839485736932520960,1.6449340668482264364724151666460251892189499012067984377355582293700074704032008738336289006197587053040043189623371906796287246
zeta2_upper,10,60,131,26565246271146776716138208866029610579825259177751162962095386920170059781091716003733643691431003172595660959651396099,16149733175656747627093367630141852929295250341275325184269209972265454738490694653643363314925917953484362291343257600,68660480411817980586992515154532857285781938576582621552863925197803717770975456693076896249227143492556135779715378079,41740566868661669686430501666955151260721043350293979193765394142628978377625644248909967025792749000470603864696729600,1.64493406684822643647241516664602518921894990120679843773555822937000747040320087383362890061975870530400431896233719067962872468700
zeta2_lower,0,60,124,246641350953220747419476848970311675274057910171156058402576994322657160625236770968880515076654791726449,149939961682353357035310973281616461886736211493087224127759577598363778230096036573551055120689506053120,3290972220775242066194240231469639465489070694834152563687041898193809209760376143023804407842503434487171892977,2000671204458002792607891549715080888887448269560237821189703941516314669436982278831714039853808463730805468160,1.6449340668482264364724151666460251892189499012067984377355582293700074704032008738336289006197587053040043189623371906796287
zeta2_lower,1,60,125,1897667196173042092122626423319436517343528493764278946082177109941424068828276189948904219440260133596959510509,1153643318852934091287639446454044697952621694182313199516283558851914903368949961662213932309805703879786347520,3290972220775242066194240231469639465489070694834152563687041898193809209760376143023804407842503434487171892977,2000671204458002792607891549715080888887448269560237821189703941516314669436982278831714039853808463730805468160,1.64493406684822643647241516664602518921894990120679843773555822937000747040320087383362890061975870530400431896233719067962872
zeta2_lower,3,60,128,8757063309151403406689039567570703452307133691338355423440753430893785132112599335571812512768480075825863744149,5323656118284644698015443173125454503895571369018369433563052462289041862388505434558606346512637750778756229120,132744002810330388272957668128840001299143536566115005864394240985304602390086384563386167982104092122377109492587,80698676916986918990358551593869980159362154827938968628436209959834031369775311037114570850694663618071290536960,1.64493406684822643647241516664602518921894990120679843773555822937000747040320087383362890061975870530400431896233719067962872468
zeta2_lower,10,60,136,713768941910457991875034080897942337677280330533999979747657903162092886423380764686124352600683470953801002410523910511,433919484249039811687213704738192506519740402545530827919033457618609419011706740078613563049568655825455130278423214080,534867688207592477764223451100964165991978577349617349513653849731796459837314030679450736716840579525972753757076426013237,325160563567404829737462209490868894751223081215028863759921315151764955415201910423623533628894831708756542825720437237760,1.6449340668482264364724151666460251892189499012067984377355582293700074704032008738336289006197587053040043189623371906796287246870050077
