order_m,derivative,spine_sum,normalized_derivative,normalized_spine,relative_gap,taylor_coefficient_mth_root
2,1.438763273457481340e+01,1.438763273457481162e+01,1.266195479114443634e-01,1.266195479114443356e-01,1.130950901016539970e-16,2.682129073569615940e+00
3,3.510072764306257341e+03,2.207120177720450556e+03,1.024562011049156451e+00,6.442406296837477342e-01,3.712038678615047216e-01,8.363504399979364123e+00
4,7.087007101477567339e+05,2.050533936844994896e+05,3.430565500707285942e+00,9.925898028666167994e-01,7.106629205412423600e-01,1.310879906557554087e+01
5,1.097048242290018201e+08,-2.999030506466206629e+06,4.403310355805672316e+00,-1.203744883537099658e-01,1.027337270968192939e+00,1.556714232285497346e+01
6,7.775989094796632767e+09,-4.045380070386122227e+09,1.293987081913688275e+00,-6.731837569079862638e-01,1.520239936176495110e+00,1.486747411591234957e+01
7,-5.077347676642512695e+12,-2.855740672487844727e+12,-1.751466893139767667e+00,-9.851078873847464168e-01,4.375526644304463808e-01,1.932735118909842242e+01
8,-3.213972311438804000e+15,5.485228636745414375e+14,-1.149126648490459868e+00,1.961193746789118841e-01,1.170668198267390547e+00,2.305102283451201828e+01
9,3.697230766809303040e+18,4.593478293456468480e+18,6.850670250462014277e-01,8.511344591639425916e-01,1.951130427510441578e-01,2.788341401837988798e+01
10,2.185698268482255821e+22,1.502396231318701815e+22,1.049415460260460842e+00,7.213428565680802818e-01,3.126241380234232592e-01,3.784275251407597551e+01
11,-1.194181018597082432e+26,-1.525886922068775649e+26,-7.428449281099925861e-01,-9.491838701805731526e-01,2.173856389187550087e-01,4.782209369230758966e+01
12,-1.249456688317975046e+30,-9.396251458331205821e+29,-5.034889666860313806e-01,-3.786372894482695206e-01,2.479730152967137002e-01,6.091141477025912820e+01
13,7.366490054286761211e+34,7.647504135381197920e+34,9.614796930908217076e-01,9.981578573798846055e-01,3.674585539539940854e-02,8.485760917920650570e+01
14,2.433590398207383469e+37,-2.069256536145818471e+38,5.144080477433864672e-03,-4.373957983328236737e-02,1.117606993415140915e+00,7.744413072375391494e+01
15,-2.248355521775370462e+44,-2.244647008864029727e+44,-3.848362930117049108e-01,-3.842015311390543086e-01,1.649433497248956699e-03,1.409367843420988038e+02
16,-1.455900122417778283e+50,-1.446801918418030072e+50,-1.008935470249358257e+00,-1.002630435591028268e+00,6.249195160887279984e-03,2.007506681042977448e+02
17,-5.208907432295410768e+54,-4.543057848128998224e+54,-7.307506702033382540e-02,-6.373395208963897329e-02,1.278290299493750892e-01,2.305085020543595533e+02
18,3.042846989985161757e+61,3.045347934218207353e+61,4.320793154669799740e-01,4.324344454737769627e-01,8.212343177424401112e-04,3.448321321337746213e+02
19,-1.389596390031261728e+68,-1.391352531098940645e+68,-9.986258932009072220e-01,-9.998879344345190656e-01,1.262182680827708160e-03,4.866898832654111970e+02
20,1.911024622418520843e+72,2.802322346518995287e+72,3.475211302014534227e-03,5.096042288657599839e-03,3.180568164142972276e-01,4.951731449714404221e+02
21,3.970638440373403801e+80,3.970468804903614299e+80,9.135789160593570102e-02,9.135398857142519591e-02,4.272246701302133523e-05,7.935026865588404235e+02
22,3.992058594116434366e+88,3.991749177346794885e+88,5.810632770390107282e-01,5.810182399440135814e-01,7.750807317699865784e-05,1.176180852865462384e+03
