scale_r,degree_n,max_abs_residual
0,0,7.24454326306136989400729543271e-71
1,0,1.81113581576534247350182385818e-71
1,1,4.51291440501115062950286896839e-20
2,0,4.52783953941335618375455964544e-71
2,1,1.41052676105172013323352053686e-19
2,2,2.35223331513205688886241934596e-19
3,0,2.71670372364801371025273578727e-71
3,1,1.11118799169704251371224967737e-19
3,2,1.5678398620638710403274306394e-19
3,3,4.71332487044641304301347182559e-18
4,0,3.62227163153068494700364771636e-71
4,1,3.32996341228088306706882445523e-19
4,2,1.24826654993403680102941723763e-19
4,3,5.6693841561212944446814561881e-17
4,4,4.23754876123016868779494312321e-17
5,0,1.81113581576534247350182385818e-71
5,1,4.23377629195058004679816741767e-19
5,2,8.7905926429862114256453527058e-19
5,3,2.88844888783290627970297677741e-16
5,4,1.19709963721209022134879846513e-15
5,5,5.22042146281049376607660912312e-14
