n,U_n
40,335108737855281061616322518975960072974026880897082248946994774788697517655418591339929127030758037537790080362491122950975838643882319550651617363800841394520542836534980990832030117250738483459011708142436849492456776732848520872503312178156244086436600734656599335883953266987926045892246601287586905245385268649905637180718787238717797623109390225478712231143800854412957370182558100215998282529377211901971086564196670523145408336863869495397374838261486299277709956800
41,309933895891205209231401408287983817795344445607296398364192664028081051133612810016042861287089612761018819750858903805590126091280539929560600967202360344652133470921621735233996077139737961241337828645678136393566240439464968852212660496441816943876444740031577903276481885659127680056582178725203683107510323530210667977646829458038582998899997557290021429886095906145067367057085401574123703686782372197029300813745564961544951630712365309104626189135592178923221118455427797784000
42,287239920136781495142178354434370778133475625231408098325568097905447449616200264625291953463365436539916001305749694537327436082202193166990018417922956864298008116762724860598072232389511200294012638301296040724916662126708289896772746331062658857256773456444426784137320810384999548706107609624700901216588188485233178518279836338437119912346335059266158585346554988353440843101759297680866756019041594716527689081448953833486712427931277024794692626186220658653478133963168306155136965500572416
43,266729583960790493187041924179536170428541232086141282070897139621611986678686194055120489761926959386728941460535606721458194059143135331531862433254986306458336509608720767683496221728754345315945493378796186668587631764741412161030824610644241389047859123636904435362757150022645293233918269366307193024748872249360131989615799801925494884337910495259781794697014552668315937127663330049976403760101820391110878934291816895068358349625260271740647358703620683601661095046828076718939415929442556958257573378
44,248147198411486982367675489956358360296502045495763198506936166033594266483784098053185357358258693193837355949214977433971440373517738121830822388687653208896468591870048882851876716678984060469236813695413829187650284809412901353815113042822892829221510327201961831620244726664764231411764601431214263340903618654320551129471786847219966151923344407012356401740896304696820205447980316856089245765840560526296996620068816606382379293004075350194837173171200380632675264515395267283533061865345178287660172188111269452320
45,231272022668335563541246060595157328885908748277034448614817798518326076937481156595413777460213658230243652990947185442098682106951363702682785767715816053486927432144220425877573163172487659200612421852077688441935923244516427225428473016604602804449437316025042326186254228968957102476668290182509130453702276970672496961996816267510126012686769593516957104140357457910836711288059584186251733797867623353803152207766221685768392046063450836444075368619953453310721957850329915454187420937353490368962862463879099880314868425720730
46,215912838342127515210299319638628276352022540787298006650310546553143483228796767666940108687520352347152706605741095457263142903054689439238388476275795845118330974468379753809616111529681925305862859641642537610091227250600447378276344267738408158427667349778287466654102721206324510583258193860065439560529076339568654049644112484062709440263124891489062876554756132741640178637066484178742384543979102820202162003214375624492430734459820727915830527778928013105872845075928773478030141795759248041866434280892732198972653850906949447788450400
47,201903462085075591434774839841535535929758827492925891650223062889925766099910202989777375364618955857238014379268092042313986435172687745608730127331109139807927467035421387412540571787560355523451484881859246462075115177341925518613877168188594766093391457360210246721206516596387624730878884951309252423847493520268883239490471479178016476177960950097122778691528844026466994032196511277833601598628020081629313591059708401691792276804612156787790189725260896396565002849821018790175319512373511726631636567460036505818430970395370173976026873261002294040
48,189099018383110129229346989728354016444611600065333064127475600198810226764695506448495703589460847048645842226651698914690201078477273831312124505252498981784993094675661549778851830693499240807750383911975679118399088090728031228706255417986018481939775628587514740499774518644368394907102371656559433704855929577980559729785243968774272693961077673804462302934160073756870270774778294007919799174395580636327041150840701638629643329247222504937367342813249828050999997617490568723577561438047183807710579185645935472528709417050949758391664039919923800895974886360480
49,177372831100784525575573866059968810401886786497646984398919881126506028317106554032235730916860909980762661924828055611513858362312254363698002276893237636591463751674265970882449960429098625053199475625536615303330804738536694856669959771571367882251590136336350547476069020554251500858874276669039419046993809475599581736758564790054805282553497325177368940117391118512698675910266958228175529116667917992647118532704590567209539220719735501159225539809464849884120576782056015247658443528648669941264654362823284850671571857535162705013839479412365214354220167338259553790855200
50,166613820917210174574343791219287005359453870102070184341183043303161815824536634953351063499828704782446082102725435406996446400468784670593634469059403266341594214231317322915982530981973316348947955772913487718739746426325567630696121483470177746838205279994867620817103714963452589017766822998789101248641875346882570482827992781197723886227416766792382158254723933965640519359188734993522497578941730829100673928306820372449659138127429903216087057329455514285611685845722150747243337633215065032774873979134412407808080139443654419167243274336246782850591326998829881752212930118512536320
