N,degree,grid_level,max_abs_error,argmax,min_interpolant,max_interpolant
4,9,12,0.01148142691050562859137691983,0.093994140625,0.0,1.0
8,17,12,0.003735834728830925375599306445,0.040283203125,-0.003732178384077347662068200213,1.0037321783840773476620682
16,33,12,2.271984802199490161869775607,0.98388671875,-2.271984799517809668411631321,3.271984799517809668411631321
32,65,12,15380869.96070053810242433347,0.992919921875,-15380868.96070053810363956035,15380869.96070053810363956035
64,129,12,135218318045452411339304.0069,0.003173828125,-135218318045452411339304.0069,135218318045452411339305.0069
