function,N,m,degree,grid_level,max_abs_error,argmax,max_boundary_error,min_interpolant,max_interpolant
up,8,0,8,12,0.2021697143226398388561378454,0.038818359375,0.2021697143226398388561378454,0.0,1.0
up,8,1,10,12,0.03074189153474762493989874881,0.065185546875,0.03074189153474762493989874881,0.0,1.0
up,8,2,12,12,0.01964054708413556105580648316,0.195068359375,0.01964054708413556105580648316,0.0,1.0
up,8,3,14,12,0.01649688350144429995720022062,0.302978515625,0.01605131939051763196957600088,0.0,1.0
up,8,4,16,12,0.0133915712996543415746545542,0.302490234375,0.01165378135846267879017795711,0.0,1.0
up,8,5,18,12,0.003715409893504439426976811498,0.294677734375,0.002067582103393002058332393439,0.0,1.000167114160408474471052114
up,8,6,20,12,0.02492178895582208147607327871,0.312255859375,0.02195801681707131230686359386,0.0,1.008060372433557780679498028
up,8,7,22,12,0.09513704698958581833093516007,0.31201171875,0.06344901608089952347422164489,0.0,1.04256932735467816704986001
up,8,8,24,12,0.2552363887596082103119275056,0.3134765625,0.1350885890243453681891754468,0.0,1.139403242404687207694317794
up,16,0,16,12,0.1969342842235653202052425297,0.01708984375,0.1969342842235653202052425297,-0.1969331680064021535057063617,1.000324634230580055955962739
up,16,1,18,12,0.02666835656757682171163258654,0.028564453125,0.02666835656757682171163258654,-0.02663156601818053781448057116,1.000321958445757845898849089
up,16,2,20,12,0.004172839975462212931628309515,0.036376953125,0.004172839975462212931628309515,-0.004019873477411635497831484214,1.000317815518038262180691585
up,16,3,22,12,0.001199746896633410200045544871,0.091064453125,0.001199746896633410200045544871,-0.0005162260960990614799130695159,1.000312672965173942015578798
up,16,4,24,12,0.0009845629542437746044074346274,0.280517578125,0.0002572046969085281294808043747,-0.00001576307299343623267825720227,1.000306376191492866989208194
up,16,5,26,12,0.001130585017662985548774702706,0.21923828125,0.0001843614262091594265010584239,0.0,1.000298965029244964432182097
up,16,6,28,12,0.001005680729869519767006950224,0.2802734375,0.00008459715499342519941219451918,0.0,1.00030628307664312672797902
up,16,7,30,12,0.001270574923988512204959064793,0.15576171875,0.001009213326840936635120393214,0.0,1.000474421363270090553468254
up,16,8,32,12,0.01057579076127501305816579921,0.21875,0.00372710951543666931792163503,0.0,1.001820252786979270809833455
up,16,9,34,12,0.04869198299816756660043542183,0.280517578125,0.009419160898428751444519138285,0.0,1.009819180960449710048399633
up,16,10,36,12,0.2073897208663852247090085616,0.28125,0.02018480078445657996485821468,0.0,1.04975345029158181502919725
