function,N,m,degree,grid_level,max_abs_error,argmax,max_boundary_error,min_interpolant,max_interpolant
up,16,0,16,12,0.1969342842235653202052425297,0.01708984375,0.1969342842235653202052425297,-0.1969331680064021535057063617,1.000324634230580055955962739
up,16,1,18,12,0.02666835656757682171163258654,0.028564453125,0.02666835656757682171163258654,-0.02663156601818053781448057116,1.000321958445757845898849089
up,16,2,20,12,0.004172839975462212931628309515,0.036376953125,0.004172839975462212931628309515,-0.004019873477411635497831484214,1.000317815518038262180691585
up,16,3,22,12,0.001199746896633410200045544871,0.091064453125,0.001199746896633410200045544871,-0.0005162260960990614799130695159,1.000312672965173942015578798
up,16,4,24,12,0.0009845629542437746044074346274,0.280517578125,0.0002572046969085281294808043747,-0.00001576307299343623267825720227,1.000306376191492866989208194
up,16,5,26,12,0.001130585017662985548774702706,0.21923828125,0.0001843614262091594265010584239,0.0,1.000298965029244964432182097
up,16,6,28,12,0.001005680729869519767006950224,0.2802734375,0.00008459715499342519941219451918,0.0,1.00030628307664312672797902
up,16,7,30,12,0.001270574923988512204959064793,0.15576171875,0.001009213326840936635120393214,0.0,1.000474421363270090553468254
up,16,8,32,12,0.01057579076127501305816579921,0.21875,0.00372710951543666931792163503,0.0,1.001820252786979270809833455
up,16,9,34,12,0.04869198299816756660043542183,0.280517578125,0.009419160898428751444519138285,0.0,1.009819180960449710048399633
up,16,10,36,12,0.2073897208663852247090085616,0.28125,0.02018480078445657996485821468,0.0,1.04975345029158181502919725
