rank,d,max_cdf_error_on_-4_4,berry_esseen_rate_factor
3,2,7.604270814626e-03,4.090265755483e-01
5,4,2.462383479236e-03,2.253819906083e-01
7,6,9.359835576790e-04,1.241900764576e-01
9,8,6.475223801196e-04,6.843126661950e-02
