n,a_n
3,6
4,16
5,30
6,36
7,70
8,96
9,144
10,220
11,308
12,456
13,650
14,924
15,1320
16,1856
17,2618
18,3672
19,5130
20,7160
21,9954
22,13816
23,19136
24,26448
25,36500
26,50284
27,69174
28,95032
29,130384
30,178680
31,244590
32,334464
33,456918
34,623628
35,850430
36,1158768
37,1577680
38,2146468
39,2918292
40,3965040
41,5383874
42,7306068
43,9908920
44,13431792
45,18197730
46,24642568
47,33354114
48,45124896
49,61023130
50,82488200
51,111459072
52,150546968
53,203267508
54,274352724
55,370170350
56,499287152
57,673225632
58,907480296
59,1222882262
60,1647431280
61,2218754830
62,2987408372
63,4021303734
64,5411650304
65,7280924560
66,9793558764
67,13170274420
68,17707300504
69,23802137466
70,31988091660
71,42980559432
72,57739050144
73,77550289290
74,104139552056
75,139819798650
76,187691422024
77,251909752402
78,338043260568
79,453553156800
80,608435454560
81,816080439636
82,1094423035324
83,1467482358054
84,1967421921192
85,2637306281200
86,3534789189336
87,4737047536446
88,6347381268448
89,8504040969926
90,11392033936860
91,15258912280430
92,20435884282896
93,27366041391312
94,36642095981492
95,49056830224340
96,65670531964992
97,87901130174130
98,117644661331652
99,157436260699608
100,210665294616400
101,281862819734066
102,377085656987112
103,504429515163890
104,674714476095088
105,902400674635530
106,1206811391446312
107,1613766652589056
108,2157764968753704
109,2884896946081140
110,3856736025873060
111,5155533719552478
112,6891156278530272
113,9210345954673472
114,12309085109376456
115,16449101749027750
116,21979902384591568
117,29368181485521918
118,39237074969984964
119,52418549817772838
120,70023321918990240
121,93534161571782800
122,124930403147905788
123,166854085738281396
124,222831632914856296
125,297569622544838250
126,397349389095813756
127,530553457313513320
128,708367815741979136
129,945718718705821914
130,1262522279010638360
131,1685351210845623018
132,2249657875968101016
133,3002739172209229250
134,4007690641463186744
135,5348679608781938880
136,7137977050674846576
137,9525334365499196948
138,12710486457063824652
139,16959822768430545430
140,22628614735424132120
141,30190650375357911184
142,40277742768972289976
143,53732400173506694926
144,71678039559311354688
145,95612583270321248950
146,127533221210523854764
147,170102709572456021214
148,226871026286393172912
149,302570799003509098704
150,403511044407220680900
151,538101915315979563540
152,717554020179630489104
153,956810358297649023138
154,1275788202290588054068
155,1701033953820629000440
156,2267928225957663857328
157,3023623998249544544130
158,4030961420491069126088
159,5373683731714962671202
160,7163386501591717428160
161,9548775900426562335354
162,12728002823665538127048
163,16965094233089914059520
164,22611842062671489028152
165,30136961478185944510260
166,40164931465412425949428
167,53527731300867314427854
168,71333752534679885645136
169,95059585695940644128480
170,126672271186638596147880
171,168792120751362948710262
172,224909567163331540102448
173,299673961809835359869678
174,399278180716189207575444
175,531970809125753014809750
176,708738205199353101219392
177,944212762796023055985552
178,1257882357151020764641036
179,1675700803622785524579572
180,2232232235727039302838840
181,2973506339227130305207130
182,3960819990757229677005292
183,5275798869187489106244744
184,7027136459845088847785824
185,9359566105585443131035690
186,12465805753126626317802744
187,16602459940931985192180570
188,22111189528446842160396264
189,29446893493654113087114546
190,39215224514615053277493720
191,52222528491431229536199872
192,69542320853100893866656384
193,92603773520612783027299540
194,123309497658694125193593436
195,164192317733111904609609990
196,218623940008035410225236104
197,291092687065366259309594672
198,387573149929274044554843288
199,516018167575690401045565150
200,687013600856327263090826400
201,914649750195379906831140006
202,1217681072795993354873514364
203,1621069547603809590379086414
204,2158038560045764413672508752
205,2872806121315881056446843600
206,3824222041256067576476569556
207,5090607919332114733281449556
208,6776197597094520316542630368
209,9019707132165145145345090706
210,12005738188919675996605394340
211,15979951335359199981094009880
212,21269255165154824924318871056
213,28308668802871451443687007442
214,37677062950683563206987555752
215,50144713090688855616361867730
216,66736567482317128418236841232
217,88816421614204536373280087530
218,118198905424430677050516976232
219,157298470398115896109009870848
220,209327597462892023989645995080
221,278560481975565497492938056436
222,370683819586858961981997739332
223,493263456015733256381844192190
224,656365159441294425691688878528
225,873380403905718995146443945600
226,1162124849913173383189546294152
227,1546299549529010163837487920966
228,2057434616578164856234605477264
229,2737474620080325991142402535390
230,3642217515048444240970063732580
231,4845888820055905769390991570438
232,6447225704708181897125804922592
233,8577569267443034153273009195152
234,11411627677740914253544118705436
235,15181791474069311858324106664500
236,20197173030499459136756404005128
237,26868928806705148506820840129098
238,35743937091802377532945079320924
239,47549587577415040768469134997928
240,63253348140636054972583102860480
241,84141982996661457964170673833850
242,111926903700390057798761312132568
243,148884271706870081532327419619786
244,198041313006834517483397519755576
245,263424083959171669984371448951970
246,350386951593060169331764116089976
247,466050731827700719841517219696320
248,619885310983498940285457458956176
249,824484385161810991863068763489684
250,1096595653104161293470044823555500
251,1458490673317627135807635544063478
252,1939786350299984021365971159651576
253,2579866913887067266279859834139600
254,3431104312823940096865573597939064
255,4563140163686341860680868032918190
256,6068579103382615139839579792823296
257,8070558665215901470273445564208278
258,10732814043239855350249631225613132
259,14273059833975743899534175651127230
260,18980781673332274682979264123044080
261,25240890718763724888934140570707664
262,33565172537561763734390777401489636
263,44634098198520643073519925720941716
264,59352411128127359414352589293482928
265,78923027572760795461394561776939650
266,104945283004874516780506707362900244
267,139545543409368414320258681046216504
268,185550841092540215188019320142823792
269,246719704800949704837911110733386274
270,328049019725293791898907582167818120
271,436181954795101596709194204203463490
272,579950238136335432864593996204251744
273,771095018645392227681995140677312858
274,1025225115443140642384827277038016008
275,1363090814516816435748257794490643200
276,1812277100725233321951754848651660888
277,2409454410206749466145792805768038580
278,3203370439613838984786613731687714708
279,4258826957815475627995187819595410862
280,5661965854439170066031715360240543280
281,7527295368684596679766042805004247584
282,10007029263756720149023852167796455528
283,13303500198997630427881308241750702870
284,17685659055198673350771085214482326512
285,23511004890130288713985659474013571790
286,31254732652827523982717133774420564788
287,41548473795462256723818433994643935094
288,55231786368964971037848032631088085376
289,73420589697054295569661997393400072080
290,97598118840567680761873395314534006060
291,129735808140790939811781699031477678452
292,172453950462526944194868751021071635928
293,229235217732270746778133692041803191098
294,304708432602994525074255477372676393164
295,405025700870614785040814399071803891400
296,538363615085854039124472794430398169632
297,715589340149103045250486859773536427722
