n,x,exact,approximate,absolute_error
1,2^-1,1/2,0.5,0.000000e+00
2,2^-2,5/72,0.069444444447670881,3.226433e-12
3,2^-3,1/288,0.0034722222238386747,1.616453e-12
4,2^-4,143/2073600,6.8962191582585281e-05,2.245606e-13
5,2^-5,19/33177600,5.7267555135174258e-07,1.122829e-14
6,2^-6,1153/561842749440,2.0521758560452156e-09,2.230069e-16
7,2^-7,583/179789679820800,3.2426796328498453e-12,1.851894e-18
8,2^-8,1616353/704200217922109440000,2.2953098168763359e-15,6.636242e-21
