n,friendly_order_type,naturally_labelled_posets
0,0,1
1,0,1
2,0,1
2,1,1
3,0,1
3,1,2
3,2,4
4,0,1
4,1,3
4,2,9
4,3,27
5,0,1
5,1,4
5,2,15
5,3,62
5,4,275
6,0,1
6,1,5
6,2,22
6,3,106
6,4,620
6,5,4070
7,0,1
7,1,6
7,2,30
7,3,160
7,4,1047
7,5,8906
7,6,86278
