truncation_K,r,partial_sum,absolute_error
4,0,0.4999569170677206520714444167839483565653,0.0000430829322793479285555832160516
4,1,-0.02727551068566384381750643092477372005502,0.0272755106856638438175064309248
4,2,-6.090572820743989708724334634433951606448,6.09057282074398970872433463443
4,3,-45.47062133481446676984812776760273749991,45.4706213348144667698481277676
4,4,2338.943049336566080520006079026582521772,2338.94304933656608052000607903
8,0,0.4999839820677969414325940889166782925957,0.0000160179322030585674059110833217
8,1,-0.00604885953851490506571178148492488253871,0.00604885953851490506571178148492
8,2,-1.780133221745009485010189890347541504805,1.78013322174500948501018989035
8,3,660.3564999690617350928040462862229910258,660.356499969061735092804046286
8,4,108726.5676832657812675393747970613374371,108726.567683265781267539374797
12,0,0.5000002222461843999695712752157063726816,0.000000222246184399969571275215706373
12,1,0.0004178041277744480623122431998154367722127,0.000417804127774448062312243199815
12,2,0.7460287937638771600228423104353477188932,0.746028793763877160022842310435
12,3,1626.237343707932369232595369029694219853,1626.23734370793236923259536903
12,4,467575.743496574349768280810792031956244,467575.743496574349768280810792
16,0,0.4999999270407758343277956845868825002893,0.0000000729592241656722043154131174997
16,1,0.00003163064778126412828370735854898547701537,0.000031630647781264128283707358549
16,2,0.350273214085526972791713064095984347325,0.350273214085526972791713064096
16,3,1260.232559689811792858427838541886714494,1260.23255968981179285842783854
16,4,147289.8023277876429393288947905575387134,147289.802327787642939328894791
24,0,0.5000000276222325065164179491315259077286,0.0000000276222325065164179491315259077
24,1,0.0000811658799568009135421143246111205891785,0.0000811658799568009135421143246111
24,2,0.2586719479195546887228848896056568282303,0.258671947919554688722884889606
24,3,840.8663450110318798664701032774975733941,840.866345011031879866470103277
24,4,-976621.0937063873908726715605339962111858,976621.093706387390872671560534
32,0,0.500000002025341478858139113960479659265,0.00000000202534147885813911396047965927
32,1,0.00001298156697467040865962916197948031007876,0.0000129815669746704086596291619795
32,2,0.07844299502064934044717174874037702386412,0.0784429950206493404471717487404
32,3,369.3793434607672882193050317159116459839,369.379343460767288219305031716
32,4,-2192425.0026089505293675890443885816348,2192425.00260895052936758904439
48,0,0.5000000000037061259875079527112408479973,3.70612598750795271124084799728e-12
48,1,-0.0000001696780521407596115746925960288229995313,0.000000169678052140759611574692596029
48,2,-0.005321468092228503964672881216271443074827,0.00532146809222850396467288121627
48,3,-153.906465174532116837399781728142663442,153.906465174532116837399781728
48,4,-5390950.534526461322315805321648968046122,5390950.53452646132231580532165
64,0,0.5000000000050749531363985173501222509179,5.07495313639851735012225091791e-12
64,1,0.00000005915085052482883445178821362493004483305,0.0000000591508505248288344517882136249
64,2,-0.0004100180901598432977960416677005700555787,0.000410018090159843297796041667701
64,3,-72.68037318479315529655507087892070887963,72.6803731847931552965550708789
64,4,-4184033.820156187961132801992163752459818,4184033.82015618796113280199216
96,0,0.4999999999995007355699378892319072436162,4.99264430062110768092756383778e-13
96,1,-0.00000002238850260785061268392312495439256066615,0.0000000223885026078506126839231249544
96,2,-0.001052613835841232480164337278714025081011,0.00105261383584123248016433727871
96,3,-53.67498791112657694018169989387037822742,53.6749879111265769401816998939
96,4,-2791733.265450370997376551432166945036377,2791733.26545037099737655143217
128,0,0.4999999999999845881800418534297124993543,1.54118199581465702875006456914e-14
128,1,-0.000000001641679581691258034984041694908598127047,0.00000000164167958169125803498404169491
128,2,-0.0001683593712620842005336784293977110152486,0.000168359371262084200533678429398
128,3,-16.27737444045284405499155313571010899022,16.2773744404528440549915531357
128,4,-1226373.585532883913989774264017363673319,1226373.58553288391398977426402
