n,number_of_downsets_including_empty,natural_label_relations_count,exponent_parameter,maximal_order_type
0,1,1,,1
1,2,1,,omega^2
2,3,1,3,omega^(omega^3)
2,4,1,4,omega^(omega^4)
3,4,1,5,omega^(omega^5)
3,5,2,6,omega^(omega^6)
3,6,3,7,omega^(omega^7)
3,8,1,9,omega^(omega^9)
4,5,1,7,omega^(omega^7)
4,6,3,8,omega^(omega^8)
4,7,7,9,omega^(omega^9)
4,8,9,10,omega^(omega^10)
4,9,5,11,omega^(omega^11)
4,10,8,12,omega^(omega^12)
4,12,6,14,omega^(omega^14)
4,16,1,18,omega^(omega^18)
5,6,1,9,omega^(omega^9)
5,7,4,10,omega^(omega^10)
5,8,12,11,omega^(omega^11)
5,9,24,12,omega^(omega^12)
5,10,36,13,omega^(omega^13)
5,11,36,14,omega^(omega^14)
5,12,50,15,omega^(omega^15)
5,13,28,16,omega^(omega^16)
5,14,53,17,omega^(omega^17)
5,15,20,18,omega^(omega^18)
5,16,35,19,omega^(omega^19)
5,17,2,20,omega^(omega^20)
5,18,25,21,omega^(omega^21)
5,20,20,23,omega^(omega^23)
5,24,10,27,omega^(omega^27)
5,32,1,35,omega^(omega^35)
