D_1 in [0.9507512829493799642092, 0.9507512829493799642093]
D_2 in [0.9957515381845803419200, 0.9957515381845803419201]
D_3 in [0.9995286736012645755348, 0.9995286736012645755349]
D_4 in [0.9999490670315285725891, 0.9999490670315285725892]
D_5 in [0.9999943339810219762533, 0.9999943339810219762534]
D_6 in [0.9999993726003352876937, 0.9999993726003352876938]
D_7 in [0.9999999302753017322457, 0.9999999302753017322458]
D_8 in [0.9999999922562091801059, 0.9999999922562091801060]
D_9 in [0.9999999991395558862174, 0.9999999991395558862175]
D_10 in [0.9999999999044008479636, 0.9999999999044008479637]
Mean in [1.054025810088371518561523, 1.054025810088371612974597]
All density enclosures certified using exact rational arithmetic.
