degree,m,shift_count,right_inverse_exact,row_unital_exact,max_decoder_row_l1,max_decoder_row_l1_exact,max_decoder_row_shift_index,adjacent_tv,two_row_lower_bound,max_numerator_bits,max_denominator_bits
1,2,7,True,True,1.5,3/2,-3,1.0,1.0,3,3
2,4,15,True,True,4.902777777777778,353/72,-7,0.8402777777777778,1.1900826446280992,10,9
4,16,63,True,True,86.25161337770062,357702691/4147200,-31,0.4924045138888889,2.0308505949757603,30,26
8,256,1023,True,True,18281.39410421731,26365463986400862913139184809/1442202046304480133120000,-511,0.24986172244596627,4.002213665265413,98,89
