p,G(1/p),A_p/G,relative_error_order_0,relative_error_order_1,relative_error_order_2,relative_error_order_3
256,0.127993868324072,0.926181249681,-7.381875e-02,4.836394e-02,-1.473831e-02,6.457226e-03
512,0.111693861376789,0.927932141633,-7.206786e-02,4.322576e-02,-1.203666e-02,6.373247e-03
1024,0.0981124519272744,0.929423770145,-7.057623e-02,3.912761e-02,-9.783704e-03,4.874607e-03
2048,0.0866515631482899,0.930893929842,-6.910607e-02,3.595135e-02,-8.366921e-03,3.349412e-03
4096,0.0768903866816164,0.932353108557,-6.764689e-02,3.329932e-02,-7.551821e-03,2.526130e-03
8192,0.0685214846713162,0.933709394661,-6.629061e-02,3.090103e-02,-6.860696e-03,2.385580e-03
16384,0.0613024480824926,0.934927035319,-6.507296e-02,2.874457e-02,-6.104853e-03,2.285114e-03
32768,0.0550356381640473,0.936049706461,-6.395029e-02,2.689296e-02,-5.391303e-03,1.973818e-03
65536,0.0495626932296114,0.937129951946,-6.287005e-02,2.533471e-02,-4.834088e-03,1.602960e-03
