order,p,computed_ratio,absolute_error_from_1
0,1,1,0.000e+00
0,2,1,0.000e+00
0,4,1,0.000e+00
0,8,1,0.000e+00
0,inf,1,0.000e+00
1,1,1.0000000000000002,2.220e-16
1,2,1,0.000e+00
1,4,1,0.000e+00
1,8,1,0.000e+00
1,inf,1,0.000e+00
2,1,1,0.000e+00
2,2,1,0.000e+00
2,4,1,0.000e+00
2,8,1,0.000e+00
2,inf,1,0.000e+00
3,1,1,0.000e+00
3,2,1,0.000e+00
3,4,1,0.000e+00
3,8,0.99999999999999989,1.110e-16
3,inf,1,0.000e+00
4,1,1,0.000e+00
4,2,1.0000000000000002,2.220e-16
4,4,1,0.000e+00
4,8,1,0.000e+00
4,inf,1,0.000e+00
5,1,1.0000000000000002,2.220e-16
5,2,1.0000000000000002,2.220e-16
5,4,1,0.000e+00
5,8,1,0.000e+00
5,inf,1,0.000e+00
6,1,1,0.000e+00
6,2,1,0.000e+00
6,4,1,0.000e+00
6,8,1,0.000e+00
6,inf,1,0.000e+00
