N,determinant_equals_closed_form,quotient,decimal_log10_determinant
0,True,1,0
1,True,1,1.68124124
2,True,1,7.54887369
3,True,1,20.03232662
4,True,1,41.54497964
5,True,1,74.49634817
6,True,1,121.29499046
