q,mean,variance,m_0,m_1,m_2,m_3,m_4,m_5,m_6
1/2,1/2,1/36,1,1/2,5/18,1/6,143/1350,19/270,1153/23814
-1/2,1/2,1/4,1,1/2,1/2,1/2,29/50,7/10,439/490
2,1/2,-1/36,1,1/2,2/9,1/12,16/675,1/270,-16/59535
-2,1/2,-1/4,1,1/2,0,-1/4,-2/25,3/10,10/49
1/4,1/2,1/20,1,1/2,3/10,1/5,121/850,9/85,44017/541450
-1/4,1/2,5/36,1,1/2,7/18,1/3,283/918,137/459,1573771/5262894
4,1/2,-1/20,1,1/2,1/5,1/20,-1/425,-1/170,121/54145
-4,1/2,-5/36,1,1/2,1/9,-1/12,-31/459,49/918,213523/2631447
