q,kolmogorov_distance,kolmogorov_over_1_minus_q,edgeworth_sup_error,edgeworth_error_over_1_minus_q_squared,candidate_limit
0.7,0.011799645972296602,0.03933215324098867,0.0023885518593682598,0.026539465104091768,0.027529391975040975
0.8,0.006847105668093767,0.03423552834046884,0.0008124419054836574,0.020311047637091444,0.027529391975040975
0.9,0.0030497161557649366,0.030497161557649373,0.00016199573398426037,0.016199573398426044,0.027529391975040975
0.95,0.0014467673608682952,0.02893534721736588,3.645742142782682e-05,0.014582968571130702,0.027529391975040975
0.97,0.0008506831035053897,0.02835610345017963,1.2608509567746395e-05,0.014009455075273748,0.027529391975040975
0.98,0.000561514339173147,0.028075716958657324,5.5065162636869225e-06,0.013766290659217282,0.027529391975040975
0.99,0.0002780347512017223,0.027803475120172203,1.3872388462399243e-06,0.013872388462399219,0.027529391975040975
