p,finite_newton_sum,compact_moment_form,equal
0,1/2,1/2,True
1,13/36,13/36,True
2,5/18,5/18,True
3,1207/5400,1207/5400,True
4,251/1350,251/1350,True
5,22661/142884,22661/142884,True
6,16427/119070,16427/119070,True
7,63446897/520506000,63446897/520506000,True
8,7096441/65063250,7096441/65063250,True
9,9627163661/97620900300,9627163661/97620900300,True
10,4390472951/48810450150,4390472951/48810450150,True
11,8200168229308093/99212564706255000,8200168229308093/99212564706255000,True
12,631908988326089/8267713725521250,631908988326089/8267713725521250,True
