kind,r,n,row_sum
subset,8,28,203822532380104264902081803177956897734145940556892302188859169754159037130276944899454242308703162839417665030573412572043276631650375944907759556790777648050999836375659890857683443710263266808423439207397671069105809361683832062430138540259500994371244293330277561848139
subset,8,29,1294936929437605943554841376002306521391794229602026438844039231853644680798535369776932650650440411415698757018278601258187938071681541318596651233131886633870386634150782376226857749810973323127701870959046985830186415520426775411183527003740400905007932946694356664747910491384855961
subset,8,30,10473526300926690398491445750570938361737137674123303475930105648712118871481624238102002654264709197903521524844726014895124104884579443171472716782105649059936895396755194207867215065787837402243317889087038852668429944082047334172984753940477436384397185630067799153439728502245341568200363734695
cycle,1,0,1
cycle,1,1,1
cycle,1,2,2
cycle,1,3,6
cycle,1,4,24
cycle,1,5,120
cycle,1,6,720
cycle,1,7,5040
cycle,1,8,40320
cycle,1,9,362880
cycle,1,10,3628800
cycle,1,11,39916800
cycle,1,12,479001600
cycle,1,13,6227020800
cycle,1,14,87178291200
cycle,1,15,1307674368000
cycle,1,16,20922789888000
cycle,1,17,355687428096000
cycle,1,18,6402373705728000
cycle,1,19,121645100408832000
cycle,1,20,2432902008176640000
cycle,1,21,51090942171709440000
cycle,1,22,1124000727777607680000
cycle,1,23,25852016738884976640000
cycle,1,24,620448401733239439360000
cycle,1,25,15511210043330985984000000
cycle,1,26,403291461126605635584000000
cycle,1,27,10888869450418352160768000000
cycle,1,28,304888344611713860501504000000
cycle,1,29,8841761993739701954543616000000
cycle,1,30,265252859812191058636308480000000
cycle,2,0,1
cycle,2,1,1
cycle,2,2,5
cycle,2,3,41
cycle,2,4,469
cycle,2,5,6889
cycle,2,6,123605
cycle,2,7,2620169
cycle,2,8,64074901
cycle,2,9,1775623081
cycle,2,10,54989743445
cycle,2,11,1882140936521
cycle,2,12,70552399533589
cycle,2,13,2874543652787689
cycle,2,14,126484802362553045
cycle,2,15,5977683917752887689
cycle,2,16,301983995802099667861
cycle,2,17,16239818347465293071401
cycle,2,18,926248570498763547197525
cycle,2,19,55847464116157184894240201
cycle,2,20,3549267486338577612411420949
cycle,2,21,237132047288197387879243615849
cycle,2,22,16615896802164716183970575359445
cycle,2,23,1218425951795286021396197948096009
cycle,2,24,93316380628128441076214686332165781
cycle,2,25,7450975562425627109647534792462267561
cycle,2,26,619214297640087683318076051834725436245
cycle,2,27,53477754650860092430484757886783463838281
cycle,2,28,4792818446303567205684329157388948239920149
cycle,2,29,445163848865350769183386587099301177099368169
cycle,2,30,42798149816155882103436879919980027211483400405
cycle,3,0,1
cycle,3,1,2
cycle,3,2,46
cycle,3,3,2684
cycle,3,4,300868
cycle,3,5,55352744
cycle,3,6,15161519896
cycle,3,7,5789608803632
cycle,3,8,2940138637049296
cycle,3,9,1916402283362890784
cycle,3,10,1559546495966016295648
