quantity,value
a,3
support_half_width,0.5
central_gap_half_width,0.16666666666666666
iterations,15
last_sup_update,1.6064927166326015e-13
mass,1.0000000000000002
symmetry_sup_error,4.5075054799781356e-14
plateau_sup_error,2.2204460492503131e-16
