degree,exact_probability,empirical_probability
0,0.33333333333333337,0.33404
1,0.22222222222222224,0.22181500000000001
2,0.14814814814814814,0.14784
3,0.098765432098765413,0.098972500000000005
4,0.065843621399176946,0.065597500000000003
5,0.043895747599451293,0.043455000000000001
6,0.029263831732967528,0.02988
7,0.019509221155311684,0.019462500000000001
8,0.013006147436874454,0.012869999999999999
9,0.0086707649579163045,0.0085424999999999997
10,0.005780509971944201,0.0059550000000000002
11,0.0038536733146294676,0.0036625
12,0.0025691155430863119,0.0027274999999999999
13,0.0017127436953908743,0.00166

sample_mean,1.9998825
exact_mean,1.9999999999999998
sample_variance,6.0196674861937502
exact_variance,5.9999999999999982
