degree,scale,center,coefficient_of_raw_up
0,1,0,1
0,1,1,1
1,2,0,-1/2
1,2,1,1
1,2,2,1/2
2,4,1,13/9
2,4,2,-31/9
2,4,3,49/9
2,4,4,5/9
3,8,4,-14
3,8,5,136/3
3,8,6,-208/3
3,8,7,280/3
3,8,8,-106/3
4,16,11,257824/675
4,16,12,-358624/225
4,16,13,2010496/675
4,16,14,-2528896/675
4,16,15,661024/135
4,16,16,-2567968/675
5,32,26,-726272/27
5,32,27,18650624/135
5,32,28,-42633472/135
5,32,29,20406272/45
5,32,30,-73144576/135
5,32,31,19291648/27
5,32,32,-95557888/135
6,64,57,276451975168/59535
6,64,58,-337946877952/11907
6,64,59,4620157362176/59535
6,64,60,-2585546989568/19845
6,64,61,9883203166208/59535
6,64,62,-114274181120/567
6,64,63,192981671936/735
6,64,64,-16661088722944/59535
7,128,120,-2306990145536/1215
7,128,121,114586512523264/8505
7,128,122,-366525897244672/8505
7,128,123,238520759222272/2835
7,128,124,-202638162919424/1701
7,128,125,415394793783296/2835
7,128,126,-8164397809664/45
7,128,127,387410997280768/1701
7,128,128,-2115990194487296/8505
8,256,247,58386059559251738624/32531625
8,256,248,-67422078561287143424/4647375
8,256,249,1733305762554658684928/32531625
8,256,250,-1295941045272168103936/10843875
8,256,251,6189105783601985748992/32531625
8,256,252,-1611097990352324263936/6506325
8,256,253,9902256106966890840064/32531625
8,256,254,-12232823534709263826944/32531625
8,256,255,4922847432178174787584/10843875
8,256,256,-5506781597207445372928/10843875
