n,a_n,b_n,h_n
0,-1,,1
1,1,-2,-2
2,-1,1,-2
3,1,-1,2
4,-1,-1,-2
5,1,-1,2
6,-1,1,2
7,1,-1,-2
8,-1,1,-2
9,1,-3,6
10,-1,1/3,2
11,1,-1/3,-2/3
12,-1,-3,2
13,1,1,2
14,-1,-1,-2
15,1,1,-2
16,-1,1,-2
17,1,-3,6
18,-1,1,6
19,1,-1,-6
20,-1,-1/3,2
21,1,-5/3,-10/3
22,-1,1/5,-2/3
23,1,-1/5,2/15
24,-1,15,2
25,1,-17,-34
26,-1,-1/17,2
27,1,1/17,2/17
28,-1,-17,-2
29,1,15,-30
30,-1,1/15,-2
31,1,-1/15,2/15
32,-1,-15,-2
33,1,13,-26
34,-1,-3/13,6
35,1,3/13,18/13
36,-1,13/3,6
37,1,-19/3,-38
38,-1,3/19,-6
39,1,-3/19,18/19
40,-1,19/9,2
41,1,-37/9,-74/9
42,-1,15/37,-10/3
43,1,-15/37,50/37
44,-1,-37/75,-2/3
45,1,-113/75,226/225
46,-1,15/113,2/15
47,1,-15/113,-2/113
48,-1,-113,2
49,1,111,222
50,-1,-17/111,-34
51,1,17/111,-578/111
52,-1,-111/289,2
53,1,-467/289,-934/289
54,-1,-17/467,2/17
55,1,17/467,2/467
56,-1,-467,-2
57,1,465,-930
58,-1,1/31,-30
59,1,-1/31,30/31
60,-1,-31/15,-2
61,1,1/15,-2/15
62,-1,-1,2/15
63,1,1,2/15
64,-1,-15,-2
65,1,13,-26
66,-1,1,-26
67,1,-1,26
68,-1,3/13,6
69,1,-29/13,-174/13
70,-1,-3/29,18/13
71,1,3/29,54/377
72,-1,377/9,6
73,1,-395/9,-790/3
74,-1,57/395,-38
75,1,-57/395,2166/395
76,-1,-395/361,-6
77,1,-327/361,1962/361
78,-1,19/109,18/19
79,1,-19/109,-18/109
80,-1,-109/9,2
81,1,91/9,182/9
82,-1,-37/91,-74/9
83,1,37/91,-2738/819
84,-1,1365/1369,-10/3
85,1,-4103/1369,41030/4107
86,-1,555/4103,50/37
87,1,-555/4103,-750/4103
88,-1,4103/1125,-2/3
89,1,-6353/1125,12706/3375
90,-1,1695/6353,226/225
91,1,-1695/6353,-25538/95295
92,-1,-6353/12769,2/15
93,1,-19185/12769,-2558/12769
94,-1,113/1279,-2/113
95,1,-113/1279,2/1279
