s,numeric,theory,absolute_error
-1.5,1.3895826384921020728212743113975,1.3895826384921020728213550840947,8.0772697e-23
(-1.4 + 0.3j),(0.86615231853442065745448290699763 + 0.78545722973986242110455155185042j),(0.86615231853442065745448290831189 + 0.7854572297398624211045515543844j),2.8545247e-27
