x,u_plus,u_minus,up
-0.748125,0,0,0.068060201
-0.746875,0,0,0.0660296518
-0.745625,0,0,0.064321906
-0.744375,0,0,0.0636045142
-0.743125,0,0,0.064109939
-0.741875,0,0,0.0658048997
-0.740625,0,0,0.068611066
-0.739375,0,0,0.0723528865
-0.738125,0,0,0.076616665
-0.736875,0,0,0.0807112392
-0.735625,0,0,0.0838895591
-0.734375,0,0,0.085861006
-0.733125,0,0,0.087080942
-0.731875,0,0,0.0882325943
-0.730625,0,0,0.0894275543
-0.729375,0,0,0.0902382537
-0.728125,0,0,0.0905125467
-0.726875,0,0,0.090765223
-0.725625,0,0,0.0916484462
-0.724375,0,0,0.0934151617
-0.723125,0,0,0.096044667
-0.721875,0,0,0.0993761664
-0.720625,0,0,0.102752383
-0.719375,0,0,0.10495389
-0.718125,0,0,0.104998452
-0.716875,0,0,0.102952489
-0.715625,0,0,0.0999069476
-0.714375,0,0,0.0973414942
-0.713125,0,0,0.0965058664
-0.711875,0,0,0.0980993662
-0.710625,0,0,0.102226302
-0.709375,0,0,0.108356553
-0.708125,0,0,0.115202321
-0.706875,0,0,0.120947317
-0.705625,0,0,0.124103201
-0.704375,0,0,0.124452076
-0.703125,0,0,0.123204782
-0.701875,0,0,0.122180252
-0.700625,0,0,0.122677857
-0.699375,0,0,0.124901267
-0.698125,0,0,0.12829185
-0.696875,0,0,0.132229989
-0.695625,0,0,0.136253848
-0.694375,0,0,0.139846842
-0.693125,0,0,0.142595722
-0.691875,0,0,0.14453197
-0.690625,0,0,0.145817728
-0.689375,0,0,0.1461401
-0.688125,0,0,0.145020749
-0.686875,0,0,0.142932687
-0.685625,0,0,0.141704812
-0.684375,0,0,0.143336952
-0.683125,0,0,0.148257488
-0.681875,0,0,0.154903236
-0.680625,0,0,0.16110728
-0.679375,0,0,0.165742899
-0.678125,0,0,0.168988344
-0.676875,0,0,0.17135021
-0.675625,0,0,0.17278093
-0.674375,0,0,0.172813821
-0.673125,0,0,0.1714546
-0.671875,0,0,0.169707065
-0.670625,0,0,0.169054827
-0.669375,0,0,0.170475427
-0.668125,0,0,0.173881864
-0.666875,0,0,0.178285421
-0.665625,0,0,0.182622453
-0.664375,0,0,0.186584507
-0.663125,0,0,0.190461729
-0.661875,0,0,0.194273266
-0.660625,0,0,0.197648338
-0.659375,0,0,0.200635898
-0.658125,0,0,0.203889081
-0.656875,0,0,0.207695933
-0.655625,0,0,0.211373432
-0.654375,0,0,0.213921556
-0.653125,0,0,0.214825647
-0.651875,0,0,0.214030205
-0.650625,0,0,0.211818065
-0.649375,0,0,0.209321223
-0.648125,0,0,0.208688001
-0.646875,0,0,0.211871651
-0.645625,0,0,0.218838207
-0.644375,0,0,0.227028237
-0.643125,0,0,0.232963853
-0.641875,0,0,0.234861895
-0.640625,0,0,0.233817432
-0.639375,0,0,0.232285595
-0.638125,0,0,0.231583077
-0.636875,0,0,0.231250991
-0.635625,0,0,0.230651257
-0.634375,0,0,0.230454115
-0.633125,0,0,0.232156537
-0.631875,0,0,0.23638099
-0.630625,0,0,0.242130325
-0.629375,0,0,0.247782944
-0.628125,0,0,0.252495535
-0.626875,0,0,0.256488092
-0.625625,0,0,0.260160747
-0.624375,0,0,0.263331513
-0.623125,0,0,0.265491001
-0.621875,0,0,0.266415095
-0.620625,0,0,0.266166021
-0.619375,0,0,0.264903208
-0.618125,0,0,0.263188133
-0.616875,0,0,0.262204867
-0.615625,0,0,0.263018703
-0.614375,0,0,0.265477432
-0.613125,0,0,0.268217401
-0.611875,0,0,0.27005294
-0.610625,0,0,0.271169159
-0.609375,0,0,0.272758926
-0.608125,0,0,0.275841455
-0.606875,0,0,0.280609055
-0.605625,0,0,0.286398894
-0.604375,0,0,0.291896794
-0.603125,0,0,0.295694705
-0.601875,0,0,0.297053124
-0.600625,0,0,0.296277984
-0.599375,0,0,0.294534342
-0.598125,0,0,0.293201895
-0.596875,0,0,0.29315175
-0.595625,0,0,0.294741007
-0.594375,0,0,0.298457948
-0.593125,0,0,0.304741741
-0.591875,0,0,0.312782809
-0.590625,0,0,0.320281925
-0.589375,1.07066063e-07,0,0.325121601
-0.588125,6.98158433e-07,0,0.327150429
-0.586875,3.54554108e-06,0,0.328028744
-0.585625,1.4129953e-05,0,0.329486745
-0.584375,4.44270215e-05,0,0.332107894
-0.583125,0.000110759298,0,0.335668741
-0.581875,0.000226456999,0,0.339826172
-0.580625,0.000401838687,0,0.344098853
-0.579375,0.000671402437,0,0.347848022
-0.578125,0.0011175765,0,0.350809226
-0.576875,0.00182890554,0,0.353288795
-0.575625,0.00282156194,0,0.355673738
-0.574375,0.00405600394,0,0.35809351
-0.573125,0.00555140709,0,0.3603553
-0.571875,0.00740798493,0,0.361859293
-0.570625,0.009682918,0,0.362101425
-0.569375,0.0123259659,0,0.361630053
-0.568125,0.0152847015,0,0.362030445
-0.566875,0.0185813439,0,0.364737361
-0.565625,0.0222096715,0,0.369946881
-0.564375,0.0260562162,0,0.376509114
-0.563125,0.030040265,0,0.382765619
-0.561875,0.0342622803,0,0.38767611
-0.560625,0.0388618158,0,0.391174622
-0.559375,0.043773556,0,0.393636085
-0.558125,0.0488393171,0,0.395614607
-0.556875,0.0542112131,0,0.398025944
-0.555625,0.0603839946,0,0.401412038
-0.554375,0.0676011805,0,0.404339503
-0.553125,0.0754824462,0,0.403477093
-0.551875,0.083650085,0,0.396763722
-0.550625,0.0925158351,0,0.386758215
-0.549375,0.102888232,0,0.379802767
-0.548125,0.114884091,0,0.381124473
-0.546875,0.127697647,0,0.390737999
-0.545625,0.140409398,0,0.403852603
