a,D=log(2)/log(a),central_gap_length,mean_degree,variance_degree,n,Linf_derivative,L1_derivative
2.05,0.9656014993512615,0.04645760743321704,40.00000000000014,1640.000000000012,0,1.025,1
2.05,0.9656014993512615,0.04645760743321704,40.00000000000014,1640.000000000012,1,2.153781249999999,2.05
2.05,0.9656014993512615,0.04645760743321704,40.00000000000014,1640.000000000012,2,9.27754734570312,8.615124999999997
2.05,0.9656014993512615,0.04645760743321704,40.00000000000014,1640.000000000012,3,81.92541082856683,74.22037876562496
2.05,0.9656014993512615,0.04645760743321704,40.00000000000014,1640.000000000012,4,1483.057322494064,1310.806573257069
2.05,0.9656014993512615,0.04645760743321704,40.00000000000014,1640.000000000012,5,55036.53810332153,47457.83431981006
2.2,0.8791181557867741,0.1515151515151516,9.999999999999991,109.9999999999998,0,1.1,1
2.2,0.8791181557867741,0.1515151515151516,9.999999999999991,109.9999999999998,1,2.662000000000001,2.2
2.2,0.8791181557867741,0.1515151515151516,9.999999999999991,109.9999999999998,2,14.17248800000001,10.648
2.2,0.8791181557867741,0.1515151515151516,9.999999999999991,109.9999999999998,3,165.9995174464001,113.3799040000001
2.2,0.8791181557867741,0.1515151515151516,9.999999999999991,109.9999999999998,4,4277.502125481632,2655.992279142402
2.2,0.8791181557867741,0.1515151515151516,9.999999999999991,109.9999999999998,5,242491.3901734518,136880.0680154122
2.6,0.7254200712792533,0.2884615384615385,3.333333333333333,14.44444444444444,0,1.3,1
2.6,0.7254200712792533,0.2884615384615385,3.333333333333333,14.44444444444444,1,4.394,2.6
2.6,0.7254200712792533,0.2884615384615385,3.333333333333333,14.44444444444444,2,38.61447200000001,17.576
2.6,0.7254200712792533,0.2884615384615385,3.333333333333333,14.44444444444444,3,882.2943478336003,308.9157760000001
2.6,0.7254200712792533,0.2884615384615385,3.333333333333333,14.44444444444444,4,52414.35444642896,14116.70956533761
2.6,0.7254200712792533,0.2884615384615385,3.333333333333333,14.44444444444444,5,8095810.488678828,1677259.342285727
3,0.6309297535714574,0.3333333333333333,2,6.000000000000001,0,1.5,1
3,0.6309297535714574,0.3333333333333333,2,6.000000000000001,1,6.75,3
3,0.6309297535714574,0.3333333333333333,2,6.000000000000001,2,91.125,27
3,0.6309297535714574,0.3333333333333333,2,6.000000000000001,3,3690.5625,729
3,0.6309297535714574,0.3333333333333333,2,6.000000000000001,4,448403.34375,59049
3,0.6309297535714574,0.3333333333333333,2,6.000000000000001,5,163443018.796875,14348907
4,0.5,0.3333333333333333,1,2,0,2,1
4,0.5,0.3333333333333333,1,2,1,16,4
4,0.5,0.3333333333333333,1,2,2,512,64
4,0.5,0.3333333333333333,1,2,3,65536,4096
4,0.5,0.3333333333333333,1,2,4,33554432,1048576
4,0.5,0.3333333333333333,1,2,5,68719476736,1073741824
