degree,max_grid_error,grid_points,cutoff,gauss_nodes_per_lobe
0,2.70816702396814435e-12,17,80,48
1,2.70883315778291944e-12,17,80,48
2,1.50279788613261189e-11,17,80,48
3,2.87976642532328242e-10,17,80,48
4,1.62272062453894250e-08,17,80,48
5,5.08335511995028355e-06,17,80,48
6,6.94405855028890073e-04,17,80,48
