r,shift,coefficient_x5
27,5,-169896852700419366444801878385750
27,6,-608104034177328934402015409798520
27,7,-2146073887571097821933692006253070
27,8,-7470001516159819214029339620328050
27,9,-25655818559648653030158427213617600
27,10,-86985553202598575746919011196788500
27,11,-291289818540844592470988010991899135
27,12,-963931167327945094154707860938646360
27,13,-3153794469711896949494200704895071600
27,14,-10207181318116587328294027974964447200
27,15,-32694409246954295352090010920893496000
27,16,-103689964620008851490632893162174282240
27,17,-325750673252329350480403087619252048640
27,18,-1014140935196553086063411517230205331200
27,19,-3129998281495681433832226380914473562400
27,20,-9580337460486868009779783832791192750000
27,21,-29090875295949625871224612854153765329952
27,22,-87661962947591950786439519748104593037568
27,23,-262225281614984740744335439175864331266400
27,24,-778878014016860407432321590362342630896800
27,25,-2297793432773224814062200592148531760736000
27,26,-6734532732400129459715664432064511129387840
27,27,-19613760343911725439176886211200798316060240
27,28,-56776328347413306559173732433477805014552800
27,29,-163387011947743313243204147533043520060081600
27,30,-467516898682827276264746717753107025691024000
27,31,-1330417114455367425014415357918340105245651840
27,32,-3765875634315504399567855994006765710273287040
27,33,-10604855010232508623087116587524752552939993600
27,34,-29714841461583231338704515768310586055982675200
27,35,-82858664306340113736579050928366458760066687000
27,36,-229964610928292658487651125370691061937397646945
27,37,-635334509068052857297915290214260526577558031870
27,38,-1747508399343886013549570190247630325006595784200
27,39,-4785925583170848595688559886254055065938182305150
27,40,-13052523801188704417874351581096258167496809413250
28,1,-13933218468729870123434010293904
28,2,-52847831171479105284959377249308
28,3,-197975591050477253828577330809241
28,4,-731883765351081186683042863353057
28,5,-2668872439393175999883028622491089
28,6,-9598698062492594772445908519159183
28,7,-34051684288944777290858627043025041
28,8,-119184441236206980357772764665233557
28,9,-411732306836728917614022681905899689
28,10,-1404473626403328424908165599188701288
28,11,-4732825564716470601363966388373787456
28,12,-15763314716022433177379494185510369312
28,13,-51916689792401361548768137075909247424
28,14,-169163677376335969387599223367599146048
28,15,-545568607661606249841798927624586376256
28,16,-1742314983722009952843518317806102395712
28,17,-5512167997325502395311361061364278249024
28,18,-17282647046695816122403853569080101233248
28,19,-53722202413372564321934138394665535687696
28,20,-165617850447802287775287378872400138194448
28,21,-506541551266014510852388234056666923516304
28,22,-1537494815652190204647039461792833070650608
28,23,-4632663166289262993718381414505602971843216
28,24,-13860740083781396855245061224011512275047632
28,25,-41190186463815870030235314817994936436661264
28,26,-121607156620254478591416485615835320949480288
28,27,-356765473779664951250051583170128807491149376
28,28,-1040301965566745067480885980114426921905244352
28,29,-3015631750102238092807663108864000656110051904
28,30,-8692085954713167877979163955015223672179462848
28,31,-24915900208322211181944299497267167548294001216
28,32,-71041466040291929044826290041165413445876224832
28,33,-201512529960998499453928020168663553281029734464
28,34,-568742227054690137101909286999762320596850623128
28,35,-1597413371948836051940190722365488588698977245561
28,36,-4465495194393403084372755120724276880268723340497
28,37,-12426006136146068681528207372888078802493468713969
28,38,-34423861506736933401260298591792911610731909731263
28,39,-94952767092980455888365164244529396032335487611601
28,40,-260811807679015438229014007825957428933066783423317
29,1,-215950208548485944771036524673640
29,2,-821186708347004974991398706732793
29,3,-3085813624319654402854060633500381
29,4,-11448902611719044470556807357683386
29,5,-41919551802799297703626401257862624
29,6,-151443743518660901251013980524297291
29,7,-539870854456524359540150707193692407
29,8,-1899436824142141925679892890342632928
29,9,-6597768905239301691500239944778531728
29,10,-22634894389787440103100661155890646624
29,11,-76728895272799311008010300706582129728
29,12,-257120829870564188757388411859745836160
29,13,-852146585054500137842225570822041116672
29,14,-2794399913618162340063689881122702493632
29,15,-9070955666701682429552259487046186645184
29,16,-29160397308522953857492205884948591648512
29,17,-92872459409614347848095600701673959671616
29,18,-293158020294338244498484396836010934703120
29,19,-917480829810167812253363265078247569923280
29,20,-2847886253704346788142158828807132876106784
29,21,-8770412368185999888511352056427798545008000
29,22,-26805388833179260515190718968070927528937648
29,23,-81330616709944188093074905941631621445720176
29,24,-245038114124107510046595237452987057991893376
29,25,-733283194213492260335710679141084999970995904
29,26,-2180082047577138651267527845928458344231980736
29,27,-6440736552327437642101001458743013467443276352
29,28,-18912672479654377964995675067421596261132681088
29,29,-55209387531457263769444985942038056708473388288
29,30,-160250317158383834583202259602182002369796233664
29,31,-462583055355830582565134317433115340873160941248
29,32,-1328190168960876711771431173444468033765458535680
29,33,-3793862846321504646617528265685784379959694832272
29,34,-10782548690114208152032622406830085025440652540857
29,35,-30496080616746500823107198059224934797835976861709
29,36,-85844159964673936464875021816388152568882547535082
29,37,-240536017513114222399116476836269754489720925950416
29,38,-670977521832286731569329500935262509831998838167035
29,39,-1863578571423736753406146713930063352576885296723975
29,40,-5154070986384284979872396588548128866432386758811344
30,1,-3350027077792226471420009704958329
30,2,-12769176099820808132377668207378290
30,3,-48120889007857175596470691265826532
30,4,-179134575949589448994841630438830238
30,5,-658381661493743957513853055033620841
30,6,-2388547201851322418114604872313018272
30,7,-8553630283427730888309268782457665280
30,8,-30241369513796271211599768911624891936
30,9,-105586894615360029435412374124987385536
30,10,-364193353979643603423540156712059437696
30,11,-1241489854168854419656526037848779180288
30,12,-4184366419484002759010849301065723308160
30,13,-13950237160626223839940154140189321850944
30,14,-46024368927836836836973223083433986994432
30,15,-150325732326484365713735209683772266597376
30,16,-486291503866717535688640835370773837511680
30,17,-1558651564559180694105387641721963118666000
30,18,-4951689010188204793234841368970969692748960
30,19,-15597829172460601018278498857528145821130304
30,20,-48733490600117123427561654227083636750607456
30,21,-151071068130378328475256847509211999128377104
30,22,-464788594889284006905787643544407765955285120
30,23,-1419621182118358976673763878306179883837100032
30,24,-4305739236136510075275989857927079750451159168
30,25,-12971494343904718673060537693763562149007503936
30,26,-38824149204926678252118377136942350298424432512
30,27,-115472991155538877641597605770497174629293451520
30,28,-341363410571284416626003560530870871669717332096
30,29,-1003224702241341897260192322644684616957300926016
30,30,-2931609941784253289346230462675536409614404477696
30,31,-8519589046132390580365318278255406383084268059648
30,32,-24626881583862023075697156381082613159411234733120
30,33,-70818816839643607929493375934313352397809039041849
30,34,-202629709615353240793921690480610646155228790395202
30,35,-576947574120528073933760987139153074158367410930596
30,36,-1634966866591354227243484697873968830562218217656270
30,37,-4611888174137124593836013488286299410810972685170825
30,38,-12950932353085152343974736973147150159861751531189360
30,39,-36210004546665928349113735752740401550233581047531904
30,40,-100811935645243136267516554384335681920755384042374576
