n,a_n,a_n_over_2n,tree_count,unicyclic_count
3,6,1,0,6
4,16,2,16,0
5,30,3,20,10
6,36,3,24,12
7,70,5,56,14
8,96,6,64,32
9,144,8,108,36
10,220,11,160,60
11,308,14,220,88
12,456,19,336,120
13,650,25,468,182
14,924,33,672,252
15,1320,44,960,360
16,1856,58,1344,512
17,2618,77,1904,714
18,3672,102,2664,1008
19,5130,135,3724,1406
20,7160,179,5200,1960
21,9954,237,7224,2730
22,13816,314,10032,3784
23,19136,416,13892,5244
24,26448,551,19200,7248
25,36500,730,26500,10000
26,50284,967,36504,13780
27,69174,1281,50220,18954
28,95032,1697,68992,26040
29,130384,2248,94656,35728
30,178680,2978,129720,48960
31,244590,3945,177568,67022
32,334464,5226,242816,91648
33,456918,6923,331716,125202
34,623628,9171,452744,170884
35,850430,12149,617400,233030
36,1158768,16094,841248,317520
37,1577680,21320,1145372,432308
38,2146468,28243,1558304,588164
39,2918292,37414,2118636,799656
40,3965040,49563,2878560,1086480
41,5383874,65657,3908612,1475262
42,7306068,86977,5304096,2001972
43,9908920,115220,7193728,2715192
44,13431792,152634,9751280,3680512
45,18197730,202197,13211280,4986450
46,24642568,267854,17890136,6752432
47,33354114,354831,24214588,9139526
48,45124896,470051,32760000,12364896
49,61023130,622685,44301880,16721250
50,82488200,824882,59885200,22603000
51,111459072,1092736,80917620,30541452
52,150546968,1447567,109294848,41252120
53,203267508,1917618,147569172,55698336
54,274352724,2540303,199175976,75176748
55,370170350,3365185,268738140,101432210
56,499287152,4457921,362475008,136812144
57,673225632,5905488,488751744,184473888
58,907480296,7823106,658817128,248663168
59,1222882262,10363409,887794240,335088022
60,1647431280,13728594,1196010480,451420800
61,2218754830,18186515,1610782836,607971994
62,2987408372,24092003,2168813816,818594556
63,4021303734,31915109,2919406392,1101897342
64,5411650304,42278518,3928777216,1482873088
65,7280924560,56007112,5285842380,1995082180
66,9793558764,74193627,7109977248,2683581516
67,13170274420,98285630,9561422332,3608852088
68,17707300504,130200739,12855235440,4852065064
69,23802137466,172479257,17279995956,6522141510
70,31988091660,228486369,23222876320,8765215340
71,42980559432,302679996,31203243584,11777315848
72,57739050144,400965626,41917687200,15821362944
73,77550289290,531166365,56300350640,21249938650
74,104139552056,703645622,75603757896,28535794160
75,139819798650,932131991,101507083500,38312715150
76,187691422024,1234811987,136261166384,51430255640
77,251909752402,1635777613,182882714168,69027038234
78,338043260568,2166943978,245414353392,92628907176
79,453553156800,2870589600,329272811172,124280345628
80,608435454560,3802721591,441715043840,166720410720
81,816080439636,5037533578,592462198692,223618240944
82,1094423035324,6673311191,794534761912,299888273412
83,1467482358054,8840255169,1065370252940,402112105114
84,1967421921192,11710844769,1428318901632,539103019560
85,2637306281200,15513566360,1914644932160,722661349040
86,3534789189336,20551099938,2566204106008,968585083328
87,4737047536446,27224411129,3439025692128,1298021844318
88,6347381268448,36064666298,4608103906912,1739277361536
89,8504040969926,47775511067,6173806607908,2330234362018
90,11392033936860,63289077427,8270446326120,3121587610740
91,15258912280430,83840177365,11077742193336,4181170087094
92,20435884282896,111064588494,14836146470880,5599737812016
93,27366041391312,147129254792,19867336925052,7498704466260
94,36642095981492,194904765859,26601613879584,10040482101908
95,49056830224340,258193843286,35614525338380,13442304885960
96,65670531964992,342034020651,47675824425600,17994707539392
97,87901130174130,453098609145,63814906375780,24086223798350
98,117644661331652,600227863937,85408265327392,32236396004260
99,157436260699608,795132629796,114296371580160,43139889119448
100,210665294616400,1053326473082,152939854424400,57725440192000
101,281862819734066,1395360493733,204628193249744,77234626484322
102,377085656987112,1848459102878,273758549504568,103327107482544
103,504429515163890,2448686966815,366208286737564,138221228426326
104,674714476095088,3243819596611,489832622596512,184881853498576
105,902400674635530,4297146069693,655129398805560,247271275829970
106,1206811391446312,5692506563426,876127028239696,330684363206616
107,1613766652589056,7540965666304,1171570463807700,442196188781356
108,2157764968753704,9989652633119,1566505108514304,591259860239400
109,2884896946081140,13233472229730,2094392053358644,790504892722496
110,3856736025873060,17530618299423,2799932696196680,1056803329676380
111,5155533719552478,23223124862849,3742840404653244,1412693314899234
112,6891156278530272,30764090529153,5002876434741248,1888279843789024
113,9210345954673472,40753743162272,6686573467504896,2523772487168576
114,12309085109376456,53987215392002,8936211767360712,3372873342015744
115,16449101749027750,71517833691425,11941801954087040,4507299794940710
116,21979902384591568,94740958554274,15957080529486800,6022821855104768
117,29368181485521918,125505049083427,21320860701254868,8047320784267050
118,39237074969984964,166258792245699,28485529830035928,10751545139949036
119,52418549817772838,220246007637701,38055083505169976,14363466312602862
120,70023321918990240,291763841329126,50835884857560000,19187437061430240
121,93534161571782800,386504799883400,67904402956096300,25629758615686500
122,124930403147905788,512009848966827,90697604963427488,34232798184478300
123,166854085738281396,678268641212526,121133571760815900,45720513977465496
124,222831632914856296,898514648850227,161772434141111696,61059198773744600
125,297569622544838250,1190278490179353,216031097272100500,81538525272737750
126,397349389095813756,1576783290062753,288469716070675104,108879673025138652
127,530553457313513320,2088793139029580,385173878182657216,145379579130856104
128,708367815741979136,2767061780242106,514264444059380224,194103371682598912
129,945718718705821914,3665576429092333,686577651191524848,259141067514297066
130,1262522279010638360,4855854919271686,916572299728087080,345949979282551280
131,1685351210845623018,6432638209334439,1223539782905702220,461811427939920798
132,2249657875968101016,8521431348364019,1633217985343854096,616439890624246920
133,3002739172209229250,11288493128606125,2179943747774636088,822795424434593162
134,4007690641463186744,14954069557698458,2909523490328595632,1098167151134591112
135,5348679608781938880,19809924476970144,3883061432683579140,1465618176098359740
136,7137977050674846576,26242562686304583,5182064625323117824,1955912425351728752
137,9525334365499196948,34763994034668602,6915250344656303044,2610084020842893904
138,12710486457063824652,46052487163274727,9227623144791672024,3482863312272152628
139,16959822768430545430,61006556720973185,12312577778843435244,4647244989587110186
140,22628614735424132120,80816481197943329,16428035997877078400,6200578737547053720
141,30190650375357911184,107059043884247912,21917960819284096704,8272689556073814480
142,40277742768972289976,141823037918916514,29241039094013631352,11036703674958658624
143,53732400173506694926,187875525082191241,39008919221239267872,14723480952267427054
144,71678039559311354688,248882081803164426,52037185126239835200,19640854433071519488
145,95612583270321248950,329698563001107755,69413306036624109700,26199277233697139250
146,127533221210523854764,436757606885355667,92587211964499302984,34946009246024551780
147,170102709572456021214,578580644804272181,123492024097177262520,46610685475278758694
148,226871026286393172912,766456169886463422,164704973339514823072,62166052946878349840
149,302570799003509098704,1015338251689627848,219661876613010083036,82908922390499015668
150,403511044407220680900,1345036814690735603,292942985709396813600,110568058697823867300
151,538101915315979563540,1781794421576091270,390653945842249834028,147447969473729729512
152,717554020179630489104,2360375066380363451,520933491146445142176,196620529033185346928
153,956810358297649023138,3126831236266826873,694630015714076303556,262180342583572719582
154,1275788202290588054068,4142169487956454721,926203161702458149664,349585040588129904404
155,1701033953820629000440,5487206302647190324,1234925219846989347200,466108733973639653240
156,2267928225957663857328,7269000724223281594,1646481986292727282608,621446239664936574720
157,3023623998249544544130,9629375790603645045,2195105819249678571792,828518178999865972338
158,4030961420491069126088,12756207026870471918,2926417728002377360664,1104543692488691765424
159,5373683731714962671202,16898376514826926639,3901214052118829758716,1472469679596132912486
160,7163386501591717428160,22385582817474116963,5200511506814947738240,1962874994776769689920
161,9548775900426562335354,29654583541697398557,6932268548560291754552,2616507351866270580802
162,12728002823665538127048,39283959332301043602,9240339765073093207056,3487663058592444919992
163,16965094233089914059520,52040166359171515520,12316404783377215933748,4648689449712698125772
164,22611842062671489028152,68938542873998442159,16415859288211785306880,6195982774459703721272
165,30136961478185944510260,91324125691472559122,21878983482591601291860,8257977995594343218400
166,40164931465412425949428,120978709233169957679,29159139774169378026856,11005791691243047922572
167,53527731300867314427854,160262668565471001281,38860332679523079095068,14667398621344235332786
168,71333752534679885645136,212302834924642516801,51787237893482648256000,19546514641197237389136
169,95059585695940644128480,281241377798640958960,69011838064992526404480,26047747630948117724000
170,126672271186638596147880,372565503490113518082,91962175118447088784680,34710096068191507363200
171,168792120751362948710262,493544212723283475761,122540556206496912880320,46251564544866035829942
172,224909567163331540102448,653806881288754477042,163280983340181045905328,61628583823150494197120
173,299673961809835359869678,866109716213396993843,217558816118407101318452,82115145691428258551226
174,399278180716189207575444,1147351094012037952803,289869989951441127721656,109408190764748079853788
175,531970809125753014809750,1519916597502151470885,386202854408792677593400,145767954716960337216350
176,708738205199353101219392,2013460810225434946646,514533341268074497629568,194204863931278603589824
177,944212762796023055985552,2667267691514189423688,685484349715201504620684,258728413080821551364868
178,1257882357151020764641036,3533377407727586417531,913203785825297974182048,344678571325722790458988
179,1675700803622785524579572,4680728501739624370334,1216533731536469970145340,459167072086315554434232
180,2232232235727039302838840,6200645099241775841219,1620567231043897977067440,611665004683141325771400
181,2973506339227130305207130,8214105909467210787865,2158721148063392711181556,814785191163737594025574
182,3960819990757229677005292,10881373600981400211553,2875496098636960413372576,1085323892120269263632716
183,5275798869187489106244744,14414751008708986629084,3830151105312313953367872,1445647763875175152876872
184,7027136459845088847785824,19095479510448610999418,5101596013458570357568096,1925540446386518490217728
185,9359566105585443131035690,25296124609690386840637,6794905066210890098019120,2564661039374553033016570
186,12465805753126626317802744,33510230519157597628502,9049988611734124809068808,3415817141392501508733936
187,16602459940931985192180570,44391604120138997840055,12053137708689293419879852,4549322232242691772300718
188,22111189528446842160396264,58806355128847984469139,16052393033169871136499440,6058796495276971023896824
189,29446893493654113087114546,77901834639296595468557,21378004442406491691374136,8068889051247621395740410
190,39215224514615053277493720,103197959248986982309194,28469666726103853750083440,10745557788511199527410280
191,52222528491431229536199872,136708189768144579937696,37912774952784292519710564,14309753538646937016489308
192,69542320853100893866656384,181099793888283577777751,50486685274738108097587200,19055635578362785769069184
193,92603773520612783027299540,239906149017131562246890,67228955140340765155335140,25374818380272017871964400
194,123309497658694125193593436,317807983656428157715447,89520851810958092965264376,33788645847736032228329060
195,164192317733111904609609990,421005942905415140024641,119201167982759254794593100,44991149750352649815016890
196,218623940008035410225236104,557714132673559719962337,158717711996187169354107264,59906228011848240871128840
197,291092687065366259309594672,738813926561843297740088,211328938944833421649494848,79763748120532837660099824
198,387573149929274044554843288,978720075578974859986978,281372312591515116923878872,106200837337758927630964416
199,516018167575690401045565150,1296528059235403017702425,374621475137024976126747232,141396692438665424918817918
200,687013600856327263090826400,1717534002140818157727066,498761603300033305238189600,188251997556293957852636800
201,914649750195379906831140006,2275248134814377877689403,664022044537113170948949732,250627705658266735882190274
202,1217681072795993354873514364,3014062061376221175429491,884018254396747433152897832,333662818399245921720616532
203,1621069547603809590379086414,3992782136955196035416469,1176872256409404320750278840,444197291194405269628807574
204,2158038560045764413672508752,5289310196190599053118894,1566703731702122833788132192,591334828343641579884376560
205,2872806121315881056446843600,7006844198331417210845960,2085614295338098750254277180,787191825977782306192566420
206,3824222041256067576476569556,9282092333145795088535363,2776328029452047228787835168,1047894011804020347688734388
207,5090607919332114733281449556,12296154394522016263964854,3695705244340430810079794508,1394902674991683923201655048
208,6776197597094520316542630368,16288936531477212299381323,4919418150662613049642636992,1856779446431907266899993376
209,9019707132165145145345090706,21578246727667811352500217,6548172532433207339154438948,2471534599731937806190651758
210,12005738188919675996605394340,28585090925999228563346177,8715986438175720156360341280,3289751750743955840245053060
211,15979951335359199981094009880,37867183259145023651881540,11601205767609016759684409856,4378745567750183221409600024
212,21269255165154824924318871056,50163337653667039915846394,15441161272422333092439499280,5828093892732491831879371776
213,28308668802871451443687007442,66452274185144252215227717,20551670333470609583569994832,7756998469400841860117012610
214,37677062950683563206987555752,88030520912812063567727934,27352984426357951819935962104,10324078524325611387051593648
215,50144713090688855616361867730,116615611838811292131074111,36404312035392220940459456860,13740401055296634675902410870
216,66736567482317128418236841232,154482795097956315782955651,48449750273841036038843253600,18286817208476092379393587632
217,88816421614204536373280087530,204646132751623355698802045,64479394277576052992657434680,24337027336628483380622652850
218,118198905424430677050516976232,271098406936767607914029762,85810638252745009879089969872,32388267171685667171427006360
219,157298470398115896109009870848,359128927849579671481757696,114196337881255443899100000660,43102132516860452209909870188
220,209327597462892023989645995080,475744539688390963612831807,151968706289658696003796679680,57358891173233327985849315400
221,278560481975565497492938056436,630227334786347279395787458,202230745407350561545576542324,76329736568214935947361514112
222,370683819586858961981997739332,834873467537970635094589503,269110911260090127902545267848,101572908326768834079452471484
223,493263456015733256381844192190,1105971874474738243008619265,358101894729696998448809068924,135161561286036257933035123266
224,656365159441294425691688878528,1465100802324317914490376961,476511293029966785215156969472,179853866411327640476531909056
225,873380403905718995146443945600,1940845342012708878103208768,634061116111650855250438771200,239319287794068139896005174400
226,1162124849913173383189546294152,2571072676799056157498996226,843685267154877620330437044616,318439582758295762859109249536
227,1546299549529010163837487920966,3405946144337026792593585729,1122590355626007465131715334400,423709193903002698705772586566
228,2057434616578164856234605477264,4511918018811765035602204994,1493666772783606041146431256464,563767843794558815088174220800
229,2737474620080325991142402535390,5977018821136082950092581955,1987365648660488746794742978964,750108971419837244347659556426
230,3642217515048444240970063732580,7917864163148791828195790723,2644195464411080896509821625240,998022050637363344460242107340
231,4845888820055905769390991570438,10488936839947847985694786949,3518042836840776014839320276024,1327845983215129754551671294414
232,6447225704708181897125804922592,13894882984284874778288372678,4680589474952640694868830238528,1766636229755541202256974684064
233,8577569267443034153273009195152,18406801003096639813890577672,6227187052650005528478962976236,2350382214793028624794046218916
234,11411627677740914253544118705436,24383819824232722763983159627,8284671089071168988170562189472,3126956588669745265373556515964
235,15181791474069311858324106664500,32301683987381514592178950350,11021753640881865892041879924060,4160037833187445966282226740440
236,20197173030499459136756404005128,42790620827329362577873737299,14662845670397075412241757915600,5534327360102383724514646089528
237,26868928806705148506820840129098,56685503811614237356162109977,19506440620510006827368940497748,7362488186195141679451899631350
238,35743937091802377532945079320924,75092304814710877170052687649,25949563953234061868569957298848,9794373138568315664375122022076
239,47549587577415040768469134997928,99476124638943599934035847276,34520289710139955082359429547456,13029297867275085686109705450472
240,63253348140636054972583102860480,131777808626325114526214797626,45920985106256161207381715640000,17332363034379893765201387220480
241,84141982996661457964170673833850,174568429453654477104088534925,61085821724562010357964437439600,23056161272099447606206236394250
242,111926903700390057798761312132568,231253933265268714460250644902,81257258768141081643932694164968,30669644932248976154828617967600
243,148884271706870081532327419619786,306346238079979591630303332551,108087755424518257483824021516300,40796516282351824048503398103486
244,198041313006834517483397519755576,405822362718923191564339179827,143775032505636050763123731175376,54266280501198466720273788580200
245,263424083959171669984371448951970,537600171345248306090553977453,191241946738104390400426133095480,72182137221067279583945315856490
246,350386951593060169331764116089976,712168600798902783194642512378,254375688536787352926652220699184,96011263056272816405111895390792
247,466050731827700719841517219696320,943422534064171497654893157280,338345863802118451197445881255876,127704868025582268644071338440444
248,619885310983498940285457458956176,1249768772144151089285196489831,450027468426969839279452239216384,169857842556529101006005219739792
249,824484385161810991863068763489684,1655591134863074280849535669658,598563337503916858837698586947588,225921047657894133025370176542096
250,1096595653104161293470044823555500,2193191306208322586940089647111,796112049939544396463168022879000,300483603164616897006876800676500
251,1458490673317627135807635544063478,2905359907007225370134732159489,1058842424247975848783125196578220,399648249069651287024510347485258
252,1939786350299984021365971159651576,3848782441071396867789625316769,1408255890318928416000736997225856,531530459981055605365234162425720
253,2579866913887067266279859834139600,5098551213215547957074821806600,1872944810215065501898537492278208,706922103672001764381322341861392
254,3431104312823940096865573597939064,6754142348078622237924357476258,2490930435759460576149706951617592,940173877064479520715866646321472
255,4563140163686341860680868032918190,8947333654286944824864447123369,3312771539437006335251389149724320,1250368624249335525429478883193870
256,6068579103382615139839579792823296,11852693561294170194999179282858,4405697703194627646066333474530304,1662881400187987493773246318292992
257,8070558665215901470273445564208278,15701476002365567062788804599627,5859104935292035640119055519375684,2211453729923865830154390044832594
258,10732814043239855350249631225613132,20800027215581115019863626406227,7791862538754747966687926315109384,2940951504485107383561704910503748
259,14273059833975743899534175651127230,27554169563659737257787983882485,10362028055802333582921437442574264,3911031778173410316612738208552966
260,18980781673332274682979264123044080,36501503217946682082652431005854,13779763730265466320895144943373600,5201017943066808362084119179670480
261,25240890718763724888934140570707664,48354196779240852277651610288712,18324509307995865831715615897206684,6916381410767859057218524673500980
262,33565172537561763734390777401489636,64055672781606419340440414888339,24367813459602152914640793943504672,9197359077959610819749983457984964
263,44634098198520643073519925720941716,84855699997187534360304041294566,32403688007918799148805176088991852,12230410190601843924714749631949864
264,59352411128127359414352589293482928,112409869560847271618092025177051,43088963154571156039286873537791200,16263447973556203375065715755691728
265,78923027572760795461394561776939650,148911372778793953700744456182905,57296938110712772070464596838464900,21626089462048023390929964938474750
266,104945283004874516780506707362900244,197265569558034805978396066471617,76188706519120559477216928572274464,28756576485753957303289778790625780
267,139545543409368414320258681046216504,261321242339641225318836481359956,101307978295448885409700560879304320,38237565113919528910558120166912184
268,185550841092540215188019320142823792,346176942336828759679140522654522,134707136629655755843825031162199152,50843704462884459344194288980624640
269,246719704800949704837911110733386274,458586811897676031297232547831573,179114817201365006475991458900118416,67604887599584698361919651833267858
270,328049019725293791898907582167818120,607498184676469984997977004014478,238158683955092022849618188296011480,89890335770201769049289393871806640
271,436181954795101596709194204203463490,804763754234504790976373070486095,316661578217638748205033965262316988,119520376577462848504160238941146502
272,579950238136335432864593996204251744,1066084996574146016295209551846051,421035202573239972510776212899177536,158915035563095460353817783305074208
273,771095018645392227681995140677312858,1412261938910974775974350074500573,559803455589336138535962225012835896,211291563056056089146032915664476962
274,1025225115443140642384827277038016008,1870848750808650807271582622332146,744298106594279649786194219064541584,280927008848860992598633057973474424
275,1363090814516816435748257794490643200,2478346935485120792269559626346624,989583552995964421713215075069568500,373507261520852014035042719421074700
276,1812277100725233321951754848651660888,3283110689719625583245932696832719,1315686081403622084873850556434931968,496591019321611237077904292216728920
277,2409454410206749466145792805768038580,4349195686293771599541142248678770,1749227880227033311236269972194712212,660226529979716154909522833573326368
278,3203370439613838984786613731687714708,5761457625204746375515492323179343,2325599048452981113805236381019610024,877771391160857870981377350668104684
279,4258826957815475627995187819595410862,7632306376013397182787074945511489,3091844701487450932398675319047800796,1166982256328024695596512500547610066
280,5661965854439170066031715360240543280,10110653311498517975056634571858113,4110502563370198271996537780790033920,1551463291068971794035177579450509360
281,7527295368684596679766042805004247584,13393764001218143558302567268690832,5464703903850622189710637240000676992,2062591464833974490055405565003570592
282,10007029263756720149023852167796455528,17742959687511915157843709517369602,7264953639404628587638799317831703016,2742075624352091561385052849964752512
283,13303500198997630427881308241750702870,23504417312716661533359201840548945,9658142255821194452168931988299688768,3645357943176435975712376253451014102
284,17685659055198673350771085214482326512,31136723688730058716146276786060434,12839524071712420304099748315759514480,4846134983486253046671336898722812032
285,23511004890130288713985659474013571790,41247377000228576691202911357918547,17068638058373176413513074491634237940,6442366831757112300472584982379333850
286,31254732652827523982717133774420564788,54641141001446720249505478626609379,22690468644591158273480749029495315576,8564264008236365709236384744925249212
287,41548473795462256723818433994643935094,72384100688958635407349188143978981,30163570821690119618068477750823733048,11384902973772137105749956243820202046
288,55231786368964971037848032631088085376,95888518001675296940708389984527926,40097451183169231577911235432068512000,15134335185795739459936797199019573376
289,73420589697054295569661997393400072080,127025241690405355656854666770588360,53302250474943344309216950449185141580,20118339222110951260445046944214930500
290,97598118840567680761873395314534006060,168272618690633932348057578128506907,70854775176668770987352780037261184160,26743343663898909774520615277272821900
291,129735808140790939811781699031477678452,222913759692080652597563056755116286,94186257146979539195713321461058705020,35549550993811400616068377570418973432
292,172453950462526944194868751021071635928,295297860381039288004912244899095267,125198989832083601505610521009681357808,47254960630443342689258230011390278120
293,229235217732270746778133692041803191098,391186378382714584945620634883623193,166421340984324693283024303932493879732,62813876747946053495109388109309311366
294,304708432602994525074255477372676393164,518211620073119940602475301654211553,221213766648401590218949768573780146336,83494665954592934855305708798896246828
295,405025700870614785040814399071803891400,686484238763753872950532879782718460,294042603657556164097633817899584260160,110983097213058620943180581172219631240
296,538363615085854039124472794430398169632,909397998455834525548095936537834746,390843935962741116119558201043488100128,147519679123112923004914593386910069504
297,715589340149103045250486859773536427722,1204695858836873813553008181436930013,519507162816444073143208505533813512624,196082177332658972107278354239722915098
298,951145813382874685505182774527049710776,1595882237219588398498628816320553206,690517640791459982143775140437695456968,260628172591414703361407634089354253808
299,1264228126661039586782460262548909325882,2114093857292708339101104117974764759,917810719619686340706975754174964792940,346417407041353246075484508373944532942
300,1680346857633877327230982198654489931400,2800578096056462212051636997757483219,1219906697289553076040191686526581172400,460440160344324251190790512127908759000
301,2233405608896402636035039226445781414930,3709976094512296737599732934295317965,1621419082422810176221543063704946526776,611986526473592459813496162740834888154
302,2968461859822899012896255633902277778712,4914671953349170551152741115732247978,2155058931431389588944584528854281348336,813402928391509423951671105047996430376
303,3945395839484667923488730178823997517504,6510554190568758949651369932052801184,2864298395405676126385734959878886178852,1081097444078991797102995218945111338652
304,5243786013099772111561504222416760093344,8624648047861467288752474050027565943,3806910250388013790734336849804249534976,1436875762711758320827167372612510558368
305,6969387947789936995490507739148879988820,11425226143917929500804111047785049162,5059671457052528761651736786533261389860,1909716490737408233838770952615618598960
306,9262743769919298457903152517033184681724,15135202238430226238403843982080367127,6724613498020816816812281276575515853368,2538130271898481641090871240457668828356
307,12310622753752549628787743250056945674470,20049874191779396789556585097812615105,8937328074189819624275700191382626447372,3373294679562730004512043058674319227098
308,16361223883526463935352100298397096434024,26560428382348155739207955029865416289,11878003937515935524477644827801251245440,4483219946010528410874455470595845188584
309,21744377233869547031279545171373863019376,35185076430209623027960429079892982232,15786092791187040412669817489895637962816,5958284442682506618609727681478225056560
310,28898387595959082567834014879160379464280,46610302574127552528764540127678031394,20979797360897622166656598338921467217560,7918590235061460401177416540238912246720
311,38405703993410938393178734916269723880062,61745504812557778767168384109758398521,27881966930121969854742925104326858872544,10523737063288968538435809811942865007518
312,51040316498706397547396380785524312502624,81795379004337175556724969207571013626,37054506720252933568811505170492190367200,13985809778453463978584875615032122135424
313,67830735424065017391254010572635205126790,108355807386685331295932924237436429915,49244099841630452956898239549615885279140,18586635582434564434355771023019319847650
314,90143675037010031315405025883282870828316,143540883816894954323893353317329412147,65442960419962168330634982403124104090856,24700714617047862984770043480158766737460
315,119795247426344179317174472870354689430830,190151186391022506852657893445007443541,86969558680662518450693550168150720022200,32825688745681660866480922702203969408630
