n,size,k_zeros,trees,unicyclic,total
49,33,18,466480,606424,1072904
49,34,17,3136,11760,14896
50,27,25,200,0,200
50,28,24,50600,2300,52900
50,29,23,1463000,154000,1617000
50,30,22,10852800,2034900,12887700
50,31,21,25194000,7752000,32946000
50,32,20,18475600,9237800,27713400
50,33,19,3712800,3182400,6895200
50,34,18,136000,238000,374000
50,35,17,200,1600,1800
51,28,25,4896,102,4998
51,29,24,361284,25806,387090
51,30,23,5372136,746130,6118266
51,31,22,23721120,5534928,29256048
51,32,21,34263840,12848940,47112780
51,33,20,15418728,9422556,24841284
51,34,19,1747872,1893528,3641400
51,35,18,27744,69360,97104
51,36,17,0,102,102
52,28,26,208,0,208
52,29,25,57408,2496,59904
52,30,24,1841840,184184,2026024
52,31,23,15519504,2738736,18258240
52,32,22,42325920,12093120,54419040
52,33,21,38429248,17467840,55897088
52,34,20,10480704,7860528,18341232
52,35,19,636480,891072,1527552
52,36,18,3536,14144,17680
53,29,26,5300,106,5406
53,30,25,429088,29256,458344
53,31,24,7133588,938630,8072218
53,32,23,36155328,7908978,44064306
53,33,22,62313160,21569940,83883100
53,34,21,35607520,19584136,55191656
53,35,20,5751984,5341128,11093112
53,36,19,172992,324360,497352
53,37,18,212,1802,2014
54,29,27,216,0,216
54,30,26,64800,2700,67500
54,31,25,2295216,218592,2513808
54,32,24,21804552,3634092,25438644
54,33,23,69070320,18418752,87489072
54,34,22,76186656,31744440,107931096
54,35,21,27209520,18139680,45349200
54,36,20,2511648,2930256,5441904
54,37,19,33048,88128,121176
54,38,18,0,108,108
55,30,27,5720,110,5830
55,31,26,506000,33000,539000
55,32,25,9350880,1168860,10519740
55,33,24,53934540,11104170,65038710
55,34,23,109432400,35174700,144607100
55,35,22,77597520,38798760,116396280
55,36,21,17054400,13856700,30911100
55,37,20,852720,1279080,2131800
55,38,19,3960,16830,20790
56,30,28,224,0,224
56,31,27,72800,2912,75712
56,32,26,2833600,257600,3091200
56,33,25,30149504,4760448,34909952
56,34,24,109830336,27457584,137287920
56,35,23,144848704,55711040,200559744
56,36,22,65840320,39504192,105344512
56,37,21,8682240,8682240,17364480
56,38,20,217056,434112,651168
56,39,19,224,2016,2240
57,31,28,6156,114,6270
57,32,27,592800,37050,629850
57,33,26,12113640,1442100,13555740
57,34,25,78911712,15343944,94255656
57,35,24,186319320,55895796,242215116
57,36,23,160838496,73717644,234556140
57,37,22,46395720,33508020,79903740
57,38,21,3534912,4418640,7953552
57,39,20,38988,110466,149454
57,40,19,0,114,114
58,31,29,232,0,232
58,32,28,81432,3132,84564
58,33,27,3468400,301600,3770000
58,34,26,41087200,6163080,47250280
58,35,25,170629272,40148064,210777336
58,36,24,265423312,94794040,360217352
58,37,23,150021872,81830112,231851984
58,38,22,26976960,23604840,50581800
58,39,21,1124040,1798464,2922504
58,40,20,4408,19836,24244
59,32,29,6608,118,6726
59,33,28,690300,41418,731718
59,34,27,15524080,1764100,17288180
59,35,26,113445200,20897800,134343000
59,36,25,308570944,86785578,395356522
59,37,24,319090408,134999788,454090196
59,38,23,117391120,76304228,193695348
59,39,22,12806304,13721040,26527344
59,40,21,269040,571710,840750
59,41,20,236,2242,2478
60,32,30,240,0,240
60,33,29,90720,3360,94080
60,34,28,4212000,351000,4563000
60,35,27,55255200,7893600,63148800
60,36,26,259578000,57684000,317262000
60,37,25,470701440,156900480,627601920
60,38,24,324498720,162249360,486748080
60,39,23,76744800,59690400,136435200
60,40,22,4883760,6511680,11395440
60,41,21,45600,136800,182400
60,42,20,0,120,120
61,33,30,7076,122,7198
61,34,29,799344,46116,845460
61,35,28,19698120,2141100,21839220
61,36,27,160503200,28088060,188591260
61,37,26,498485900,131952150,630438050
61,38,25,609059136,239273232,848332368
61,39,24,279152104,164953516,444105620
61,40,23,41612736,39011940,80624676
61,41,22,1460340,2482578,3942918
61,42,21,4880,23180,28060
62,33,31,248,0,248
62,34,30,100688,3596,104284
62,35,29,5077800,406224,5484024
62,36,28,73410480,10010520,83421000
62,37,27,387444200,81567200,469011400
62,38,26,810652480,253328900,1063981380
62,39,25,670630688,309521856,980152544
62,40,24,202663120,141864184,344527304
62,41,23,18504024,21147456,39651480
62,42,22,329840,742140,1071980
62,43,21,248,2480,2728
63,34,31,7560,126,7686
63,35,30,920808,51156,971964
63,36,29,24766560,2579850,27346410
63,37,28,223783560,37297260,261080820
63,38,27,787386600,196846650,984233250
63,39,26,1123264800,411863760,1535128560
63,40,25,629028288,340723656,969751944
63,41,24,123559128,102965940,226525068
63,42,23,6636168,9401238,16037406
63,43,22,52920,167580,220500
63,44,21,0,126,126
64,34,32,256,0,256
64,35,31,111360,3840,115200
64,36,30,6080256,467712,6547968
64,37,29,96445440,12579840,109025280
64,38,28,568339200,113667840,682007040
64,39,27,1359804160,399942400,1759746560
64,40,26,1331276800,570547200,1901824000
64,41,25,502081536,319506432,821587968
64,42,24,62760192,62760192,125520384
64,43,23,1872640,3370752,5243392
64,44,22,5376,26880,32256
65,35,32,8060,130,8190
65,36,31,1055600,56550,1112150
65,37,30,30876300,3087630,33963930
65,38,29,307850400,48976200,356826600
65,39,28,1218574500,288609750,1507184250
65,40,27,2008801600,690525550,2699327150
65,41,26,1352078000,676039000,2028117000
65,42,25,339951040,254963280,594914320
65,43,24,26246220,31870410,58116630
65,44,23,400400,950950,1351350
65,45,22,260,2730,2990
66,35,33,264,0,264
66,36,32,122760,4092,126852
66,37,31,7234920,535920,7770840
66,38,30,125405280,15675660,141080940
66,39,29,820539720,156293280,976833000
66,40,28,2227179240,618660900,2845840140
66,41,27,2549632800,1019853120,3569485920
66,42,26,1176753600,686439600,1863193200
66,43,25,194164344,172590528,366754872
66,44,24,8883336,13325004,22208340
66,45,23,60984,203280,264264
66,46,22,0,132,132
67,36,33,8576,134,8710
67,37,32,1204660,62310,1266970
67,38,31,38191608,3672270,41863878
67,39,30,418289040,63652680,481941720
