n,size,k_zeros,trees,unicyclic,total
96,61,37,1457778124800,1069037291520,2526815416320
96,62,36,160214745600,160214745600,320429491200
96,63,35,6971982336,10070641152,17042623488
96,64,34,91137024,212653056,303790080
96,65,33,190464,952320,1142784
96,66,32,0,192,192
97,51,48,18236,194,18430
97,52,47,5889840,200790,6090630
97,53,46,474042492,28905030,502947522
97,54,45,14868380384,1369456088,16237836472
97,55,44,218801734060,28131651522,246933385582
97,56,43,1660857813888,285459936762,1946317750650
97,57,42,6836589627680,1532339054480,8368928682160
97,58,41,15607433881728,4502144388960,20109578270688
97,59,40,19796193710280,7315984632060,27112178342340
97,60,39,13713962354400,6514132118340,20228094472740
97,61,38,4995800571960,3085641529740,8081442101700
97,62,37,896586364800,736481656800,1633068021600
97,63,36,71228805648,80941824600,152170630248
97,64,35,2087291008,3522303576,5609594584
97,65,34,15876960,46043184,61920144
97,66,33,12416,96224,108640
98,51,49,392,0,392
98,52,48,423752,9212,432964
98,53,47,63968520,2975280,66943800
98,54,46,3192863520,239464764,3432328284
98,55,45,69475189784,7510831328,76986021112
98,56,44,751595234936,110528711020,862123945956
98,57,43,4334781820096,838990029696,5173771849792
98,58,42,13814139866240,3453534966560,17267674832800
98,59,41,24638023846800,7884167630976,32522191477776
98,60,40,24444784444080,10000139090760,34444923534840
98,61,39,13162576239120,6927671704800,20090247943920
98,62,38,3670766305920,2523651835320,6194418141240
98,63,37,490657658400,452914761600,943572420000
98,64,36,27678124320,35981561616,63659685936
98,65,35,527202368,1054404736,1581607104
98,66,34,2138752,8020320,10159072
98,67,33,392,6272,6664
99,52,49,19008,198,19206
99,53,48,6421140,214038,6635178
99,54,47,542818584,32310630,575129214
99,55,46,17970329520,1612721880,19583051400
99,56,45,280736481168,35092060146,315828541314
99,57,44,2277793722204,379632287034,2657426009238
99,58,43,10105417586880,2189507143824,12294924730704
99,59,42,25119180858816,6977550238560,32096731097376
99,60,41,35138022004800,12444716126700,47582738131500
99,61,40,27293612706360,12347110510020,39640723216380
99,62,39,11397332778480,6648444120780,18045776899260
99,63,38,2418406372800,1854111552480,4272517925280
99,64,37,237918897216,247832184600,485751081816
99,65,36,9320184720,13980277080,23300461800
99,66,35,110189376,266290992,376480368
99,67,34,209088,1080288,1289376
99,68,33,0,198,198
100,52,50,400,0,400
100,53,49,451200,9600,460800
100,54,48,71346000,3243000,74589000
100,55,47,3746727600,274150800,4020878400
100,56,46,86221278000,9075924000,95297202000
100,57,45,992502711200,141786101600,1134288812800
100,58,44,6135471305600,1150400869800,7285872175400
100,59,43,21144091632000,5103746256000,26247837888000
100,60,42,41230978682400,12686454979200,53917433661600
100,61,41,45352104720000,17746475760000,63098580480000
100,62,40,27569305764000,13784652882000,41353958646000
100,63,39,8895989772000,5756228676000,14652218448000
100,64,38,1424986920000,1221417360000,2646404280000
100,65,37,101674742400,120161059200,221835801600
100,66,36,2689808000,4707164000,7396972000
100,67,35,18550400,55651200,74201600
100,68,34,13200,105600,118800
